year,certains_DET airs_NOUN,certains_DET fers_NOUN
1800,5.345079756580162e-08,5.973912209356058e-08
1801,4.286128785224719e-08,2.8574191901498125e-08
1802,3.8043282302169246e-08,2.4616241489638924e-08
1803,2.145373079187607e-08,3.900678446910888e-09
1804,4.943701981119375e-08,1.730295728918918e-08
1805,6.254330742194725e-08,2.842877711017877e-09
1806,5.4751712497136396e-08,3.7461699520235925e-08
1807,2.562259560079383e-08,7.402083213037258e-08
1808,1.5862518409903714e-08,6.798221985349073e-09
1809,3.6144488291256494e-08,0.0
1810,7.254392642153107e-08,2.106114038724627e-08
1811,6.267691787797958e-08,2.5070767684098882e-09
1812,6.401299401659344e-08,2.400487453257938e-08
1813,6.039057609541487e-08,2.5881675469463516e-08
1814,5.664018942752591e-08,4.72001566720337e-08
1815,3.236668177919455e-08,2.697223555614414e-09
1816,3.708166040894412e-08,0.0
1817,4.981994838892945e-08,6.383180739533145e-08
1818,4.530047559292427e-08,1.5497530370112145e-08
1819,4.0369095288816936e-08,5.175524897538253e-09
1820,6.40789963313182e-08,2.3732961373923445e-08
1821,7.889190811738445e-08,1.7750679148775816e-08
1822,3.709477880420309e-08,1.2030739071633434e-08
1823,5.830785232419089e-08,3.162459805139406e-08
1824,9.263223965660927e-09,1.3473780313688621e-08
1825,8.717388766399381e-08,2.113306396545056e-08
1826,4.227832306469281e-08,1.3211976401805714e-08
1827,6.267745789045875e-08,8.295545583791863e-09
1828,9.814362300630819e-08,1.5592912405715253e-08
1829,3.1720752247110795e-08,1.7146352337960025e-08
1830,5.3227864116323076e-08,3.652892388572582e-08
1831,3.585977337294821e-08,4.053713453799901e-08
1832,3.788391467196561e-08,4.058990921151917e-09
1833,6.139323005527331e-08,2.20088942626262e-08
1834,2.333632664885954e-08,1.8669061851994684e-09
1835,8.092504089063368e-08,1.1344631900556124e-08
1836,5.578222433966218e-08,1.2097349788575684e-08
1837,4.800944708449606e-08,2.5744196108234974e-08
