year,moins_ADV in_ADJ,moins_ADV fines_ADJ
1800,1.1947824418712116e-07,3.20704771183955e-07
1801,8.572257570449437e-08,2.333558910549982e-07
1802,4.4756802708434407e-08,1.5217312920867698e-07
1803,2.9255089017965474e-08,1.8138155155611457e-07
1804,6.921182915675672e-08,1.5819846055364906e-07
1805,7.675770063997334e-08,2.7291625315228885e-07
1806,6.051504897186533e-08,1.2679343797117326e-07
1807,8.825561081948763e-08,1.195721210933698e-07
1808,2.7192887941396293e-08,2.22075257738652e-07
1809,6.551188391767937e-08,1.7394535234416253e-07
1810,4.914266327205041e-08,1.2402671245581587e-07
1811,3.008491944456182e-08,6.016983888912364e-08
1812,5.867858021701977e-08,8.268345652595599e-08
1813,6.039057609541487e-08,6.614205716459765e-08
1814,4.72001566720337e-08,7.866692897096073e-08
1815,7.552225866902518e-08,6.203614333344376e-08
1816,6.257530316133852e-08,2.549364239712304e-07
1817,4.670620157298799e-08,1.323342360137758e-07
1818,7.27191817873063e-08,9.06009489654025e-08
1819,5.796588098405664e-08,8.384350280721264e-08
1820,4.390598018488845e-08,6.40789963313182e-08
1821,8.185035227370463e-08,2.859831660373402e-08
1822,4.511527151862538e-08,1.012587205195814e-07
1823,4.941343334508019e-08,3.656594316225892e-08
1824,9.768490816242092e-08,1.1368501873221248e-07
1825,3.78634048558979e-08,1.7346722813726956e-07
1826,6.34174881497529e-08,9.776862697208344e-08
1827,3.7790819362726324e-08,1.0323346089080587e-07
1828,9.997808092521154e-08,9.906085551847355e-08
1829,5.2296373287408215e-08,9.687688873327716e-08
1830,5.9489963177838945e-08,1.8160093873120786e-07
1831,5.7687463472788636e-08,9.510635834431014e-08
1832,6.629685167514054e-08,7.712082350508354e-08
1833,5.09679658478035e-08,1.030942939905799e-07
1834,3.080395316601425e-08,1.0454674281845655e-07
1835,4.310960122211327e-08,1.3159773004645103e-07
1836,4.099657502365517e-08,9.409050250042128e-08
1837,5.0096815584765864e-08,8.488626690450474e-08
1838,6.185918821621783e-08,9.278878110308142e-08
1839,4.264799713382672e-08,1.1885507689157748e-07
1840,4.331388153699933e-08,7.45253601053264e-08
1841,3.852328944731198e-08,8.282507479862034e-08
1842,4.494537630961304e-08,6.305769062464606e-08
1843,3.189732128427991e-08,7.856191786004274e-08
1844,3.073594367908328e-08,9.00124064173724e-08
1845,3.57134588568897e-08,7.310098482093963e-08
1846,3.337065779263071e-08,6.088681203664237e-08
1847,4.853901369727964e-08,9.438141290729618e-08
1848,2.976732105253177e-08,5.953464210506354e-08
1849,6.200767188602185e-08,7.876649732452279e-08
1850,4.820187093912409e-08,1.0590834165213892e-07
1851,3.9986521205293e-08,1.1995956583632505e-07
1852,3.906327394886944e-08,5.5339636872986375e-08
1853,3.2845626662947325e-08,1.2182741215838178e-07
1854,4.676098053213451e-08,9.819805768529477e-08
1855,3.555647865027822e-08,9.127931832608738e-08
1856,3.986435581637693e-08,8.852993715890989e-08
1857,3.8563920168321886e-08,1.0739319833419358e-07
1858,3.3766363816134515e-08,9.54266852204455e-08
1859,4.277425702525761e-08,6.467060131853941e-08
1860,3.20402872011627e-08,9.657858157652299e-08
1861,3.112536212102057e-08,9.809204470911936e-08
1862,3.478849569527043e-08,8.222735203844422e-08
1863,3.4462882880781365e-08,1.218687515347483e-07
1864,4.3632024215867204e-08,1.1123768928200661e-07
1865,3.4830647810402127e-08,8.990073041559299e-08
1866,3.551897559406214e-08,8.612134649865766e-08
1867,3.882249011155636e-08,1.198644383748615e-07
1868,2.914525754071917e-08,1.0670127892353776e-07
1869,4.541672637969896e-08,1.0792577143092785e-07
1870,6.020751186497364e-08,1.1697459711967895e-07
1871,3.7174120004479505e-08,8.815577245968598e-08
1872,3.0236694925633856e-08,1.2094677970253542e-07
1873,3.052862140862089e-08,1.3588230274308444e-07
1874,4.301718448118663e-08,1.3263631615245686e-07
1875,2.9179789251543298e-08,1.5619768589658634e-07
1876,3.869449471949338e-08,1.3180311952964985e-07
1877,2.6594708990579363e-08,1.1812998224058902e-07
1878,4.468925496325937e-08,9.36058768274961e-08
1879,2.993569458986656e-08,1.0996785704264767e-07
1880,2.2462462112571302e-08,1.296404974482357e-07
1881,4.392679742171168e-08,1.3596390147085913e-07
1882,2.795261777599478e-08,8.851662158804174e-08
1883,2.464542170343975e-08,1.377615888031869e-07
1884,3.234831424947515e-08,1.6372209188375564e-07
1885,3.674012205578947e-08,1.1408775435484131e-07
1886,2.3232470169887165e-08,1.2906927793210343e-07
1887,2.9380160138092748e-08,1.2535535631741368e-07
1888,2.3460273723685532e-08,1.2681229577538033e-07
1889,3.383173891036151e-08,1.428451241736184e-07
1890,3.342736931699619e-08,1.1076912898033697e-07
1891,3.1871099537283953e-08,1.593554941337061e-07
1892,2.5074049503359674e-08,9.152027757863834e-08
1893,1.4780200174868696e-08,1.3055843339770945e-07
1894,1.5753848003896564e-08,1.2098955437522818e-07
1895,2.347259631108045e-08,7.703826554461557e-08
1896,2.94851449922362e-08,9.671127543242619e-08
1897,3.088158351260972e-08,8.856604694074122e-08
1898,3.225262190653666e-08,7.525611778191887e-08
1899,3.150719685152126e-08,1.0944604866836016e-07
1900,3.218453115128028e-08,1.3289096045809856e-07
1901,3.073806453812722e-08,8.941982088117584e-08
1902,2.2096277529914943e-08,1.2373915581065376e-07
1903,3.0781254878320397e-08,1.0314420961776705e-07
1904,2.1498500757388683e-08,1.1125474230766486e-07
1905,2.2707340008309984e-08,9.39258129051268e-08
1906,2.3663248860383845e-08,1.2603251775544777e-07
1907,1.7999951751335175e-08,1.1777111552646602e-07
1908,2.1118972570732808e-08,1.0854169829599414e-07
1909,2.2003934119219082e-08,9.791750699150725e-08
1910,2.1911017000775246e-08,1.555147832732473e-07
1911,2.074945903984826e-08,1.1864434412700575e-07
1912,2.8651816919023076e-08,1.416962618350226e-07
1913,1.113627856597077e-08,1.1295367841057669e-07
1914,2.8126322881849575e-08,1.151839938984267e-07
1915,2.1205371680821372e-08,8.717763932963862e-08
