year,es_VERB au_ADP,es_VERB faux_ADJ
1800,4.4018303668735825e-08,0.0
1801,4.286128785224719e-08,2.3811825844433088e-09
1802,3.3567602031325805e-08,0.0
1803,7.801356893821776e-09,0.0
1804,4.449331569844617e-08,0.0
1805,2.842877755426798e-08,0.0
1806,1.4408345627714425e-08,2.881669125542885e-09
1807,3.131650672116848e-08,0.0
1808,2.7192887941396293e-08,0.0
1809,2.9367397402779716e-08,4.518061036407062e-09
1810,3.042164919975221e-08,0.0
1811,5.264861258069686e-08,0.0
1812,2.6672083208723052e-08,0.0
1813,3.4508900625951355e-08,0.0
1814,1.8880061958270744e-08,3.1466771410748606e-09
1815,1.8880564667256294e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,2.9580593974287694e-08,1.556873407970727e-09
1818,7.152706427149269e-09,0.0
1819,2.5877625375869684e-08,0.0
1820,3.678609061807947e-08,1.6613073583471305e-08
1821,1.1833785507064931e-08,0.0
1822,5.012807946513931e-08,0.0
1823,2.075364236020505e-08,9.882686891060644e-10
1824,1.1789557774477544e-08,0.0
1825,2.3774695989686734e-08,7.924898959288385e-09
1826,1.6735169694470642e-08,0.0
1827,1.1060727445055818e-08,9.217273055917019e-10
1828,1.2841221419535032e-08,0.0
1829,3.1720752247110795e-08,0.0
1830,3.5485243188304594e-08,2.0873671680021744e-09
1831,1.153749238369528e-07,0.0
1832,3.92369123858316e-08,0.0
1833,3.59092489077284e-08,0.0
1834,3.360431222176885e-08,0.0
1835,4.235329242874286e-08,0.0
1836,1.0753200108126748e-08,0.0
1837,2.852735292435682e-08,9.045257876039159e-09
1838,3.9135404250600914e-08,6.312161904276081e-10
1839,2.3771015378315496e-08,0.0
1840,2.7389662093924017e-08,6.369688665408546e-10
1841,2.6966304744746594e-08,0.0
1842,2.2137275124123335e-08,0.0
1843,3.071593823733565e-08,0.0
1844,2.25031016043431e-08,1.097712254427563e-09
1845,4.464182268293371e-08,0.0
1846,1.5221703009160592e-08,5.854501328173001e-10
1847,3.4516631330916425e-08,0.0
1848,2.494018680465615e-08,1.6090443422100975e-09
1849,2.0948537127196687e-08,0.0
1850,2.5798184921654865e-08,2.7155984128057753e-09
1851,1.7413483988093503e-08,1.2898877521649865e-09
1852,2.8646400807019745e-08,0.0
1853,5.01642283268211e-08,1.7915795513800958e-09
1854,2.909572138776184e-08,1.0391328908454511e-09
1855,2.7596072982305486e-08,0.0
1856,1.501384794266869e-08,2.0708756931497874e-09
1857,2.2943092758964667e-08,4.881509085841174e-10
1858,5.334106845111819e-08,0.0
1859,5.14309519417111e-08,0.0
1860,4.622955884769908e-08,4.577183909670879e-10
1861,3.301174444914068e-08,1.4147891747029462e-09
1862,3.7047488632424574e-08,0.0
1863,5.1444594362237694e-08,1.4983863039219614e-09
1864,5.0824116470948866e-08,0.0
1865,3.859612363044107e-08,4.706844358715045e-10
