year,ses_DET eaux_NOUN
1800,7.29131750176748e-06
1801,6.350613830363727e-06
1802,9.786074770090636e-06
1803,7.477600348693159e-06
1804,9.55370396127364e-06
1805,6.604005093890919e-06
1806,6.0025169261734845e-06
1807,7.222724946132075e-06
1808,6.415255626279759e-06
1809,6.250737442314858e-06
1810,6.056247940477988e-06
1811,6.232593023014488e-06
1812,7.428174882306848e-06
1813,6.306501518338337e-06
1814,5.210897285223837e-06
1815,4.34252993386508e-06
1816,5.0037069598829476e-06
1817,4.376371066427964e-06
1818,5.666135464821309e-06
1819,4.332949657737117e-06
1820,5.325676738721086e-06
1821,4.665470214604284e-06
1822,5.791798173504503e-06
1823,4.699217583947757e-06
1824,4.559190628583565e-06
1825,5.242760593660023e-06
1826,6.053727787502794e-06
1827,4.123807855194173e-06
1828,4.8539817782966566e-06
1829,5.31022510585899e-06
1830,5.133879398044883e-06
1831,5.466277002597053e-06
1832,5.0480313689149625e-06
1833,7.221234170629032e-06
1834,5.709932622721681e-06
1835,5.971057817077963e-06
1836,5.223366983386768e-06
1837,5.070911015536694e-06
1838,5.344507485460781e-06
1839,4.167618499195669e-06
1840,4.895742691246596e-06
1841,4.443019719246877e-06
1842,4.607236263609593e-06
1843,4.280147635427056e-06
1844,3.849127978128308e-06
1845,4.2560396451563065e-06
1846,4.042533049641861e-06
1847,3.7757957898065797e-06
1848,4.015369981402728e-06
1849,3.980222174959636e-06
1850,3.942370099707659e-06
1851,4.119901419130656e-06
1852,4.3275595658087695e-06
1853,4.1289937087185535e-06
1854,4.1461400144271465e-06
1855,4.2359970109373535e-06
1856,4.155729655508367e-06
1857,4.142448688071454e-06
1858,3.978558709150093e-06
1859,4.140446108635842e-06
1860,3.826067924705967e-06
1861,4.2778507634011476e-06
1862,4.4524755082875345e-06
1863,3.770439263917069e-06
1864,4.161344378417198e-06
1865,3.77018224639869e-06
1866,3.763064995609966e-06
1867,3.5808896683420244e-06
1868,3.7473885186045663e-06
1869,3.711474647616342e-06
1870,3.5453623326020534e-06
1871,3.5092370609390855e-06
1872,3.4149324648069523e-06
1873,3.577834775114752e-06
1874,3.416281614931904e-06
1875,3.694962131817192e-06
1876,4.102220998447592e-06
1877,4.404207629704615e-06
1878,3.4531508958934864e-06
1879,3.714469713145263e-06
1880,3.897558059406947e-06
1881,4.195357604430683e-06
1882,3.5526445998357303e-06
1883,3.6816469730638346e-06
1884,3.677145201663734e-06
1885,3.5670148719191275e-06
1886,3.4713181236156743e-06
1887,3.410710263551664e-06
1888,3.1373361650821607e-06
1889,3.5454407765200813e-06
1890,3.3938612631345677e-06
1891,2.7708734151588033e-06
1892,3.497203081792577e-06
1893,3.103226063672082e-06
1894,3.398420233224897e-06
1895,3.113429173140503e-06
1896,3.1112725480397785e-06
1897,2.7851690589386635e-06
1898,2.899906910158734e-06
1899,2.7765027112991447e-06
1900,2.951113614813039e-06
1901,2.8262253195521225e-06
1902,2.4242071816615862e-06
1903,3.0840658098441054e-06
1904,2.8206032425259764e-06
1905,2.8337727684402125e-06
1906,2.9260121863217137e-06
1907,2.5642215888410647e-06
1908,2.8972284695782946e-06
1909,2.320314870019047e-06
1910,2.7249824228192665e-06
1911,2.569208696456826e-06
1912,2.618776001384049e-06
1913,2.3577093415383388e-06
1914,2.5983365787851653e-06
1915,2.2100709529127016e-06
1916,2.2831945756252026e-06
1917,2.443319353062634e-06
1918,2.103155537724888e-06
1919,2.2982788436820556e-06
1920,2.448859746095877e-06
1921,2.3513379758810515e-06
1922,2.1145162705238363e-06
1923,2.1221280803729314e-06
1924,2.1902869633549926e-06
1925,2.725348473120448e-06
1926,1.9550327365891462e-06
1927,2.1863631118890225e-06
1928,2.4554561974809985e-06
1929,2.4709420358703937e-06
1930,2.214159593449949e-06
1931,2.197812243309727e-06
1932,2.552476132677839e-06
1933,1.956894983834445e-06
1934,2.2213849817376286e-06
1935,2.008278102039185e-06
1936,2.0769636392969915e-06
1937,1.9440685932181623e-06
1938,2.1094404232258057e-06
1939,1.858227179241112e-06
1940,2.0260905699842624e-06
1941,1.7000654892740386e-06
1942,1.8387323379442932e-06
1943,1.6577472834455875e-06
1944,1.783318339221296e-06
1945,1.8735134901248784e-06
1946,1.7234327032156216e-06
1947,1.5330240614730428e-06
1948,1.5677261941959841e-06
1949,1.8554145384541698e-06
1950,1.976050256757844e-06
