year,des_DET oeufs_NOUN,des_DET feux_NOUN
1800,6.75995366794524e-07,3.2196243466842134e-06
1801,7.643596244832906e-07,2.7978895218438993e-06
1802,7.272980724337685e-07,4.08629614412348e-06
1803,2.5042354536708444e-06,2.3911159132694593e-06
1804,7.020056649320594e-07,3.307336641000802e-06
1805,6.368045848414994e-07,3.7810273596505795e-06
1806,1.930718314113733e-07,3.400369550377036e-06
1807,2.4483813554354583e-07,2.7188421682922126e-06
1808,1.8808413937421165e-07,2.7102244501975292e-06
1809,2.2816208944398397e-07,3.05872737271784e-06
1810,2.854954681552613e-07,2.9977024098570837e-06
1811,1.4791753022436183e-07,3.6177117550550975e-06
1812,1.3069320115022265e-07,2.723219530764709e-06
1813,3.0770436332261397e-07,2.3235992898662516e-06
1814,1.0195234145804477e-06,2.6085952953280866e-06
1815,1.75319526007911e-07,2.0579815753762887e-06
1816,1.5064425440414198e-07,1.9815513283560904e-06
1817,2.55327228915192e-07,2.4053694502867984e-06
1818,2.8730037815449805e-07,2.6774964254627776e-06
1819,2.2461777915427916e-07,2.256529000987939e-06
1820,8.781196214613374e-08,3.0401924391298962e-06
1821,1.0650407566981102e-07,1.9190456583828563e-06
1822,1.1830226753772877e-07,2.438229785184376e-06
1823,9.685033042217128e-08,2.7216919846750898e-06
1824,1.389483594849139e-07,3.1326539442488865e-06
1825,1.3384273800376434e-07,3.201658984153255e-06
1826,1.4268934023231594e-07,2.8934228453181277e-06
1827,3.235262795442395e-07,2.5670106325037523e-06
1828,1.48591282056465e-07,2.3912190414421275e-06
1829,1.4488668137468963e-07,2.5050820653405026e-06
1830,1.5863989943909473e-07,2.591466326862246e-06
1831,1.65266789364793e-07,2.279434283991577e-06
1832,1.4341767085035428e-07,2.7844676822041947e-06
1833,1.3437008417049867e-07,3.0337523924117704e-06
1834,1.3068343962530093e-07,2.4335122361662798e-06
1835,1.376482003934143e-07,2.4148939914425682e-06
1836,1.3508707175091672e-07,2.467859431476427e-06
1837,1.3498307982473534e-07,2.1979977162800424e-06
1838,1.899960706541748e-07,2.66625715283908e-06
1839,1.22350813480665e-07,2.3022927777560653e-06
1840,8.216898089719038e-08,2.2860811625946553e-06
1841,8.218302083307094e-08,2.084110050759591e-06
1842,1.2276124916610343e-07,2.22647324932268e-06
1843,9.687334251440305e-08,1.922699574663511e-06
1844,1.2459034215428488e-07,2.358983572037232e-06
1845,1.0323421739677485e-07,2.2438095896859522e-06
1846,8.840296894518929e-08,2.155627463196197e-06
1847,1.5047094237274905e-07,1.933470642256907e-06
1848,1.0619692353275312e-07,1.9131536959093864e-06
1849,1.4245005330870697e-07,1.8325780359873534e-06
1850,8.7578046148451e-08,2.315047552770011e-06
1851,1.1866967120077732e-07,2.421119262407956e-06
1852,8.789236183304183e-08,1.861364953725797e-06
1853,8.599581535762013e-08,1.8011346583080012e-06
1854,6.234797461646124e-08,2.0969701139961217e-06
1855,1.2948926197964283e-07,2.268184971399023e-06
1856,7.248064709530766e-08,2.05223788185549e-06
1857,8.103304849349513e-08,2.121503946739267e-06
1858,5.62772732859429e-08,2.1674091001955276e-06
1859,7.129042822739962e-08,2.136675895769713e-06
1860,2.0643099157835465e-07,2.0638522002514037e-06
1861,8.630213615967719e-08,1.862805696362102e-06
1862,7.138418592345097e-08,2.049358585054506e-06
1863,6.642845851168033e-08,2.0043413258008513e-06
1864,5.609831521535824e-08,1.7845977140495961e-06
1865,5.6011446758486017e-08,1.7424737990268113e-06
1866,5.4494866008614196e-08,1.9540301323672793e-06
1867,5.192508290008391e-08,1.7402182521664145e-06
1868,6.71822905085051e-08,1.8638145249383342e-06
1869,5.762552635069085e-08,1.7961583367309686e-06
1870,7.11022067889644e-08,2.2414397591319357e-06
1871,8.2845185600533e-08,2.201769952137056e-06
1872,7.256807366129436e-08,1.8813272077977672e-06
1873,6.764184790064576e-08,1.6820672072981324e-06
1874,8.961914049754327e-08,1.6908144075955533e-06
1875,1.069925540941874e-07,1.6523770369758495e-06
1876,5.441413342133217e-08,1.5417337948520071e-06
1877,9.091679553652199e-08,1.674848135735374e-06
1878,9.783323362544394e-08,1.857623693979349e-06
1879,6.292605003732632e-08,1.6372991211710541e-06
1880,7.637237398050445e-08,1.7719674048066736e-06
1881,7.809208546483148e-08,1.6615485236570748e-06
1882,1.0515508397368478e-07,1.7037785653428728e-06
1883,1.0553296309057103e-07,1.6676735654641561e-06
1884,7.2618664859192e-08,1.8385725510938755e-06
1885,6.123353768483497e-08,1.8795474119315259e-06
1886,5.4209097932744754e-08,1.6856447331292657e-06
1887,9.336362533085563e-08,1.658346882038586e-06
1888,7.608737284670042e-08,1.7557161733350313e-06
1889,1.2342319644087496e-07,1.7410814479035253e-06
1890,6.161123400350021e-08,1.5645320701196397e-06
1891,1.0581205045490094e-07,1.5514851554598863e-06
1892,1.1346007089407806e-07,1.5552179348787831e-06
1893,1.98301009834978e-07,1.5075803574404745e-06
1894,5.797416324782034e-08,1.5041774474866543e-06
1895,7.162151538508965e-08,1.7929452980069982e-06
1896,5.661147717272996e-08,1.560943587719521e-06
1897,7.225125120413622e-08,1.630897116911001e-06
1898,9.958704505486082e-08,1.5667984243350475e-06
1899,7.904436927219649e-08,1.5200840834950213e-06
1900,7.111742805765431e-08,1.4768546776622316e-06
1901,7.265360607577875e-08,1.3284432931470747e-06
1902,8.93671647794747e-08,1.4274195514474286e-06
1903,1.0206416622970949e-07,1.3133335841075677e-06
1904,1.0265534200470938e-07,1.4248131634531092e-06
1905,1.2282606465241486e-07,1.3319919247578582e-06
1906,9.310974258269766e-08,1.459919516832997e-06
1907,1.2239967145388775e-07,1.1972539866178522e-06
1908,1.051037288313239e-07,1.3958167670580224e-06
1909,1.4907665457641883e-07,1.2894305214672386e-06
1910,1.239842983835615e-07,1.381997357441378e-06
1911,1.4684232008121967e-07,1.476935914013211e-06
1912,1.406543785331671e-07,1.4560332175506119e-06
1913,1.3416564526025354e-07,1.4047619885104723e-06
1914,1.6072185371474035e-07,1.4505146310739292e-06
1915,1.5314990431392062e-07,1.8319085057783013e-06
1916,1.1866459281861808e-07,2.0777290785645164e-06
1917,1.2721051811936945e-07,1.8050735093311232e-06
1918,1.1601240057501627e-07,1.8539011819029838e-06
1919,1.0312789866517846e-07,1.7973720431996298e-06
1920,1.5901686989394648e-07,1.4311518299336967e-06
1921,1.325230757909246e-07,1.4388220463956714e-06
1922,1.3722959768536214e-07,1.664462260464461e-06
1923,2.0170301073818564e-07,1.4872943410182415e-06
1924,1.5469948821955626e-07,1.527657495614676e-06
1925,2.2546265077139083e-07,1.6717230550966633e-06
1926,1.9728665245910548e-07,1.29963970607605e-06
1927,2.2855911030461584e-07,1.5397079735635089e-06
1928,2.1937998884169474e-07,1.1985916827939036e-06
1929,3.4758069178408846e-07,1.634297639441229e-06
1930,2.436835986330266e-07,1.349713016907117e-06
1931,2.1328017130173293e-07,1.7210683722623799e-06
1932,2.597410153626356e-07,1.5957085466311582e-06
1933,2.420309617168215e-07,1.5359216689603272e-06
1934,3.534566275220641e-07,1.3862688206245366e-06
1935,2.800578497996753e-07,1.5654515408414227e-06
1936,2.7038113259436614e-07,1.4137417565507349e-06
1937,2.543405779320551e-07,1.5147114780234006e-06
1938,2.2040864200434385e-07,1.292631935712052e-06
1939,2.8446933519887807e-07,1.1455244219860106e-06
1940,3.397949084327223e-07,1.2881777777806747e-06
1941,3.3056830028854733e-07,1.2927581209964956e-06
1942,3.5500276407418596e-07,1.4533874264088809e-06
1943,2.6709764822108184e-07,1.826134976568028e-06
1944,1.7351205983118234e-07,1.7415468960280123e-06
1945,2.8974104004930723e-07,1.422563094877205e-06
1946,2.3805088389394768e-07,1.4283053317853955e-06
1947,1.6570010585859052e-07,1.3947418793236466e-06
