year,suis_VERB aux_ADP,suis_VERB faux_ADJ
1800,5.973912209356058e-08,9.432493897065797e-09
1801,7.143547975374531e-08,0.0
1802,6.265952379180817e-08,6.713520406265161e-09
1803,8.581492494386112e-08,3.900678446910888e-09
1804,1.1123329102247226e-07,4.943701892301533e-09
1805,1.5920115004064428e-07,0.0
1806,1.7290014397985942e-07,0.0
1807,4.555128185756985e-08,0.0
1808,1.1330369886763947e-07,0.0
1809,1.1295152546608733e-07,6.7770917766551975e-09
1810,9.594519667643908e-08,0.0
1811,5.264861258069686e-08,0.0
1812,5.601137331723294e-08,0.0
1813,6.901780125190271e-08,0.0
1814,1.604805390797992e-07,9.440030979135372e-09
1815,6.74305908887618e-08,0.0
1816,3.7081662185300956e-08,0.0
1817,7.005930058312515e-08,1.556873407970727e-09
1818,1.3828565670337412e-07,1.1921177378582115e-09
1819,9.937008371707634e-08,7.24573512300708e-09
1820,2.183432457059098e-07,0.0
1821,2.0807740952477616e-07,5.9168927535324656e-09
1822,1.59407292699143e-07,0.0
1823,1.4922856905741355e-07,1.9765373782121287e-09
1824,7.073734309415158e-08,0.0
1825,8.629334047327575e-08,0.0
1826,7.574866600634778e-08,0.0
1827,8.848581956044654e-08,0.0
1828,1.412534373912422e-07,4.586150570418113e-09
1829,1.1230860508248952e-07,0.0
1830,1.5133412034629146e-07,5.218417697960831e-09
1831,2.104812892866903e-07,0.0
1832,1.2312271735481772e-07,0.0
1833,1.308950032807843e-07,1.1583628500844156e-09
1834,1.1948199585276598e-07,6.534171426153534e-09
1835,1.4369867074037757e-07,5.294161553592858e-09
1836,1.1828520030121581e-07,1.3441500135158435e-09
1837,1.4611570975375798e-07,1.3915781860163179e-09
1838,1.4265485503983655e-07,1.8936485712828244e-09
1839,1.132618976384947e-07,0.0
1840,9.745623685830651e-08,1.2739377330817092e-09
1841,1.2199042487281986e-07,6.420548537278137e-09
1842,1.1336967986608215e-07,0.0
1843,1.0514301607145171e-07,2.953455480181333e-09
1844,8.068185053389243e-08,0.0
