year,mêmes_ADJ humeurs_NOUN,mêmes_ADJ fumeurs_NOUN
1800,2.5153315874604232e-08,0.0
1801,4.0480102825313224e-08,0.0
1802,3.1329761895904085e-08,0.0
1803,3.510610468993036e-08,0.0
1804,2.2246657849223084e-08,0.0
1805,1.02343598484822e-07,0.0
1806,4.610670600868616e-08,0.0
1807,5.693910232196231e-09,0.0
1808,5.211970233176544e-08,0.0
1809,4.292158095609011e-08,0.0
1810,5.148278958699848e-08,0.0
1811,2.0056614147279106e-08,0.0
1812,1.600324850414836e-08,0.0
1813,2.0130190847567064e-08,0.0
1814,7.237357380063258e-08,0.0
1815,9.710004889029733e-08,0.0
1816,2.3176038865813098e-08,0.0
1817,7.784366928831332e-09,0.0
1818,5.722165141719415e-08,0.0
1819,3.001804671498576e-08,0.0
1820,1.898636980968149e-08,0.0
1821,1.972297702934611e-08,0.0
1822,2.7069162911175226e-08,0.0
1823,1.680056804787e-08,0.0
1824,5.642145595174952e-08,0.0
1825,8.805443485471187e-09,0.0
1826,1.9377566218281572e-08,0.0
1827,2.7651818612639545e-09,0.0
1828,3.668920500743411e-09,0.0
1829,1.2002446148073886e-08,0.0
1830,9.39315203396518e-09,0.0
1831,1.091384405071949e-08,0.0
1832,1.8941957335982806e-08,0.0
1833,1.50587169400751e-08,0.0
1834,1.0267983796552471e-08,0.0
1835,3.2521278114927554e-08,0.0
1836,6.048674894287842e-09,0.0
1837,1.2524203896191466e-08,0.0
1838,4.418513555037862e-09,0.0
1839,1.2584655095793096e-08,0.0
1840,0.0,0.0
1841,1.0272877659645019e-08,0.0
1842,1.542900918138912e-08,0.0
1843,1.1223130869097986e-08,5.906911071384968e-10
1844,1.2074834465636286e-08,0.0
1845,1.7298706467272496e-08,0.0
1846,1.2879903366069811e-08,0.0
1847,1.6179670936367074e-09,0.0
1848,1.045878850192139e-08,0.0
1849,0.0,0.0
1850,8.82569484161877e-09,0.0
1851,6.449438760824933e-09,0.0
1852,5.859490670445666e-09,0.0
1853,1.2541057081705276e-08,0.0
1854,3.117398783558656e-09,0.0
1855,7.429711956774554e-09,0.0
1856,5.177189343896771e-09,0.0
