year,plusieurs_DET airs_NOUN,plusieurs_DET fers_NOUN
1800,1.7292904752608251e-07,1.8864987794131594e-08
1801,1.5477686554632442e-07,0.0
1802,8.503792514602537e-08,6.713520406265161e-09
1803,6.436119459607426e-08,4.095712213825209e-08
1804,3.213406074564773e-08,4.943701892301533e-09
1805,5.970043259750923e-08,0.0
1806,7.492339904047185e-08,5.76333825108577e-09
1807,1.5088861937684328e-07,0.0
1808,5.4385776326881796e-08,6.798221985349073e-09
1809,9.26202483597649e-08,3.162642769893864e-08
1810,1.7082924808065059e-07,2.3401267590372754e-09
1811,1.3287506828163487e-07,2.0056614147279106e-08
1812,1.0135391326215881e-07,3.3073381189296924e-07
1813,3.3358602280486593e-07,4.026038169513413e-08
1814,1.0069366851439554e-07,2.2026739543434815e-08
1815,4.315557666778602e-08,0.0
1816,3.476405652236281e-08,4.6352077731626196e-09
1817,7.784366895524641e-08,1.0898113522728181e-08
1818,9.65615398751396e-08,1.6689648107970356e-08
1819,5.796588153916815e-08,1.449147024601416e-08
1820,1.008650931666466e-07,3.5599443393152796e-09
1821,7.001656587846128e-08,3.94459531705138e-09
1822,7.719724237631453e-08,5.012807946513931e-09
1823,6.917880579493385e-08,4.941343334508019e-09
1824,7.747423769188799e-08,3.1158117863583357e-08
1825,9.509878795554982e-08,2.5535783931829314e-08
1826,5.6371100232155413e-08,5.284790383086602e-09
1827,5.438191230666689e-08,1.6591091167583727e-08
1828,7.979901983645732e-08,2.93513645610588e-08
1829,4.2865879568143583e-08,1.714635211591542e-09
1830,1.565525344915386e-07,1.7742621594152297e-08
1831,8.886987146183856e-08,1.091384405071949e-08
1832,6.088486359523415e-08,1.3529969367098715e-09
1833,7.29768601104297e-08,2.3167257001688313e-09
1834,4.480574888887645e-08,1.0267983796552471e-08
1835,8.168134968400409e-08,3.025235173481633e-09
1836,7.056787687531596e-08,2.1506400216253496e-08
1837,1.0506415115685286e-07,2.2961039292113128e-08
1838,6.249040174211018e-08,1.3886756189407379e-08
1839,8.040196608494199e-08,2.027527845616106e-08
1840,6.624476167615967e-08,1.2102408852854296e-08
1841,6.741575875324202e-08,3.852329122366882e-09
1842,4.494537408916699e-08,5.366612043644636e-09
1843,4.961805233349992e-08,1.5357968674578615e-08
1844,6.421616793872431e-08,2.0856532945146e-08
1845,3.5713458523822794e-08,1.8972775017722654e-08
1846,4.156696142842975e-08,5.854501328173001e-09
1847,2.9662729161827883e-08,5.3932236454556914e-09
1848,4.505324158188273e-08,9.65426583121598e-09
1849,5.195237151589538e-08,2.011059585527164e-08
1850,2.2403686905647646e-08,9.504594444820214e-09
1851,2.3217978650791338e-08,1.3543821619776963e-08
1852,3.841221940525941e-08,3.3854836267721566e-08
1853,5.076142151061447e-08,1.6124215740376258e-08
1854,4.0006614743237634e-08,1.6626126253527218e-08
1855,4.086341576226005e-08,7.429711956774554e-09
1856,5.539592551340178e-08,1.2942972915652717e-08
1857,7.908045018822918e-08,1.9037886378470148e-08
1858,3.083015964744362e-08,2.3489644007668176e-08
1859,3.05530396538245e-08,1.018434669930457e-08
1860,7.00309170653668e-08,1.9224172476128842e-08
1861,8.630213921279051e-08,1.1789909770687501e-08
1862,8.674533980013166e-08,1.8523744538256892e-08
1863,6.992469181454908e-08,9.489779628779615e-09
1864,4.650886165080692e-08,3.020678529530585e-08
1865,6.730787305286867e-08,1.1767110841276462e-08
1866,3.60055367742973e-08,5.352174259343201e-09
1867,5.5322049163919473e-08,5.82337378318698e-09
1868,5.433861449688493e-08,7.409810987013543e-09
1869,4.737013536981749e-08,1.2697149998075474e-08
1870,4.529898367522378e-08,8.601073631098188e-09
1871,1.1683294554032386e-08,3.18635318130589e-09
1872,2.9027227954614432e-08,1.269941218851045e-08
1873,7.961385639632113e-08,1.7359413462259e-08
1874,3.106796664376077e-08,1.0156835372754358e-08
1875,6.40811045893308e-08,1.716458086775674e-08
1876,2.8416269337583344e-08,4.232210137899983e-09
1877,4.391219254884504e-08,1.2369631874342701e-08
1878,1.1293095963926802e-07,5.435179750712393e-09
1879,5.9260456652943105e-08,1.8938909107646396e-08
1880,8.407378393471276e-08,8.984985200299889e-09
1881,9.064259814950404e-08,8.367009307619355e-09
1882,3.860123354293421e-08,6.655384909848294e-09
1883,8.973460996486438e-08,8.21514056781325e-09
1884,4.027034972153842e-08,1.5844072720483382e-08
1885,5.4787904435471546e-08,1.6114088952079442e-08
1886,3.420335914494643e-08,1.677900618446415e-08
1887,3.7867763591492576e-08,1.3057849024278312e-08
1888,3.931181136174189e-08,2.0924028287794272e-08
1889,3.9470360035931407e-08,6.891650528029203e-09
1890,3.21164943528629e-08,1.1142456735058204e-08
1891,3.505821177807178e-08,6.374220040683554e-09
1892,3.3223115813996174e-08,4.387958441043338e-09
1893,3.941386639283451e-08,1.909109159647926e-08
1894,3.150769734006076e-08,6.9316932194141145e-09
1895,2.407445731655855e-08,4.213029924926559e-09
1896,3.1843957581934035e-08,8.845543852942228e-09
1897,2.0976168801922768e-08,8.740070334134487e-09
1898,2.037007762467624e-08,7.92169685404076e-09
1899,3.427098604902312e-08,9.39688327150634e-09
1900,3.737558218475101e-08,5.710158568206225e-09
1901,1.1177477665658131e-08,5.588739027118095e-09
1902,2.2587305914534284e-08,3.1916845000257155e-08
1903,2.6461079549733313e-08,4.860198465905796e-09
1904,3.6009986992269205e-08,6.987012746151322e-09
1905,2.0126960098565405e-08,3.6125313851442797e-09
1906,2.572092172581364e-08,9.259532418592897e-09
1907,1.954280415272791e-08,8.228549397415463e-09
1908,2.8486056846688257e-08,8.349361202419914e-09
1909,3.355599975662926e-08,7.701377313651392e-09
1910,2.9392828393426385e-08,1.1757131268552712e-08
1911,2.3409645777405785e-08,1.0108711201439746e-08
1912,2.3442395913342295e-08,1.5628263128064646e-09
1913,2.9696742065432602e-08,5.833288518886093e-09
1914,3.750176436057018e-08,1.6741859676372428e-08
1915,2.3561524287174507e-08,5.890381071793627e-09
1916,2.5271162940043723e-08,3.2962386153911893e-09
1917,1.9739564316445524e-08,9.869782324756216e-09
1918,6.89182577673364e-09,1.2635013924011673e-08
1919,2.5781975665495338e-08,1.3811772670013767e-08
1920,3.104614920701465e-08,7.572231730534895e-09
1921,2.4232791995260072e-08,4.543648568500203e-09
1922,3.172512152982421e-08,3.6889677978990676e-09
1923,3.0786250437842e-08,6.369568872344189e-09
1924,2.3204923871311678e-08,6.445812328337297e-09
1925,3.739380360912037e-08,1.0998177923937646e-09
1926,3.343841403768977e-08,1.0031524277920312e-08
1927,6.132073648856817e-08,1.2264147031260109e-08
1928,3.427812300671462e-08,5.713020723163709e-09
1929,1.782465064437133e-08,1.1140406375176326e-09
1930,4.201441383688831e-08,9.453243521306831e-09
1931,2.737285687004487e-08,1.1405356659111021e-09
1932,3.1782656950696264e-08,5.4797681947604815e-09
1933,2.4088391503696016e-08,0.0
1934,2.036868629318178e-08,4.7926320689839486e-09
