year,les_DET in_ADJ,les_DET fines_ADJ
1800,1.7921737516246594e-07,5.65949598296811e-08
1801,1.262026736448263e-07,4.0480102825313224e-08
1802,2.3497321421928064e-07,6.042168365638645e-08
1803,1.0726865928845086e-07,5.070882025393075e-08
1804,1.4831106009971506e-07,2.9662211797898408e-08
1805,1.4214389132405358e-07,1.6772979072321448e-07
1806,1.1238509856070777e-07,5.4751714273493235e-08
1807,1.7935817187009206e-07,4.555128185756985e-08
1808,1.404965885853926e-07,3.6257183477772514e-08
1809,1.2650571168393299e-07,2.484933525614963e-08
1810,1.3104710028244426e-07,0.0
1811,1.2786091252436904e-07,2.5070768572277302e-08
1812,1.0935554106694667e-07,8.00162425207418e-09
1813,1.7542024011163448e-07,5.176335093892703e-08
1814,1.195737269199526e-07,3.1466771410748606e-09
1815,2.454473313484584e-07,8.631115711033033e-08
1816,1.4369144452075489e-07,1.3905623319487859e-08
1817,1.6191483176442034e-07,5.60474440192138e-08
1818,1.704728340712336e-07,3.5763530803478716e-08
1819,2.1116142523425196e-07,1.6561680249438382e-08
1820,1.4833101502631507e-07,2.610625848831205e-08
1821,1.143932671920922e-07,2.0709125858608957e-08
1822,1.6141241587774857e-07,1.4035862250239006e-08
1823,1.4725203678622734e-07,8.894418535021487e-09
1824,1.785275873800174e-07,6.400046004273463e-08
1825,2.0428627323099136e-07,1.937197557921877e-08
1826,1.814444732239906e-07,1.6735170138559852e-08
1827,1.4931983027821616e-07,3.041700225026034e-08
1828,1.761081822593269e-07,2.4765213879618386e-08
1829,1.8175133220665884e-07,2.9148798263989306e-08
1830,1.5863990832087893e-07,4.696576283436116e-08
1831,1.527938140455376e-07,1.7150327380477393e-08
1832,1.4612367449373664e-07,6.764985016616265e-08
1833,1.7259606188702037e-07,6.950176834052968e-08
1834,2.0816003498680402e-07,3.080395161170202e-08
1835,1.0815215745196838e-07,3.6302822081779595e-08
1836,1.1559689960805031e-07,8.53535251366111e-08
1837,1.0228099434073101e-07,7.166627824517491e-08
1838,1.4139241955035686e-07,5.1128509426234814e-08
1839,1.6919369638657145e-07,8.180025812265512e-08
1840,1.6752281206677822e-07,5.86011346115356e-08
1841,1.2712685837357185e-07,1.04654939825366e-07
1842,1.1404050281882405e-07,6.708265232191479e-08
1843,1.388124148959946e-07,8.328744671715071e-08
1844,1.3556746569776124e-07,9.275668766406397e-08
1845,9.87700374821543e-08,6.975285060661918e-08
1846,1.1533367683114193e-07,8.430481557297753e-08
1847,1.2458346621002647e-07,1.0516786286274282e-07
1848,1.1343762729154605e-07,9.976075027173792e-08
1849,1.3323269509868396e-07,9.887709762068653e-08
1850,1.47321217447427e-07,7.264225576619765e-08
1851,1.5478652937161996e-07,6.449439027278459e-08
1852,1.4192989006289736e-07,8.919447225252952e-08
1853,1.1466108773561245e-07,1.0928634996965059e-07
1854,1.6158517102127234e-07,1.2053941489398312e-07
1855,1.204674759947011e-07,1.485942355827774e-07
1856,1.2114623126890933e-07,1.29429730932884e-07
1857,1.2740738908334492e-07,1.2545478078607175e-07
1858,1.6638497868370905e-07,1.370229352204433e-07
1859,1.3137807375329658e-07,1.4512694068713472e-07
1860,1.409772609761717e-07,1.3777323637498284e-07
1861,1.4949604398850624e-07,1.4336530185232732e-07
1862,1.3599138570796754e-07,1.7032808674599664e-07
1863,1.3035960044760486e-07,1.498386197340551e-07
1864,1.3185501845924819e-07,2.071322420249544e-07
1865,1.2802616389251398e-07,1.816841894708432e-07
1866,1.4986087970569884e-07,1.9316482635645116e-07
1867,1.373345721589203e-07,1.7276008534850007e-07
1868,1.2547280547892115e-07,1.9166711417994975e-07
1869,1.2355303535827034e-07,2.4515266261460056e-07
1870,1.5080547743906436e-07,2.3108216140599325e-07
1871,1.3595107084540814e-07,1.3488894712310184e-07
1872,1.421124675715646e-07,2.128663396661068e-07
1873,1.4306550255582806e-07,2.4782058183348e-07
