year,années_NOUN in_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,0.0
1812,5.3344164641089264e-09
1813,0.0
1814,0.0
1815,5.394447111228828e-09
1816,0.0
1817,1.556873407970727e-09
1818,1.1921177378582115e-09
1819,1.035105001712111e-09
1820,0.0
1821,1.97229765852569e-09
1822,1.0025615893027862e-09
1823,1.9765373782121287e-09
1824,0.0
1825,5.283265824829186e-09
1826,8.807984341885344e-10
1827,2.7651818612639545e-09
1828,3.668920500743411e-09
1829,8.57317605795771e-10
1830,9.39315203396518e-09
1831,3.1182412207897414e-09
1832,1.3529969367098715e-09
1833,0.0
1834,4.667265685043276e-09
1835,3.025235173481633e-09
1836,1.3441500135158435e-09
1837,6.957890930081589e-10
1838,2.5248647617104325e-09
1839,2.7965900706306e-09
1840,6.369688665408546e-10
1841,1.926164561183441e-09
1842,6.708265054555795e-10
1843,3.5441467538532834e-09
1844,2.195424508855126e-09
1845,5.580227946389016e-10
1846,4.0981511517657054e-09
1847,5.393223645455691e-10
1848,3.218088684420195e-09
1849,4.1897072478036534e-09
1850,3.394498016007219e-09
1851,6.449438760824933e-10
1852,7.161600201754936e-09
1853,1.7915795513800958e-09
1854,3.117398783558656e-09
1855,2.653468555990912e-09
1856,2.5885946719483854e-09
1857,1.4644527812635033e-09
1858,3.4255731584664773e-09
1859,1.5276520048956854e-09
1860,3.204028820036342e-09
1861,0.0
1862,4.517986429419807e-09
1863,5.9935452156878455e-09
1864,9.589455896019672e-10
1865,4.23615986733239e-09
1866,4.865612912574591e-10
1867,1.94112459439566e-09
1868,6.421836395986702e-09
1869,3.906815315701806e-09
1870,7.454262984651905e-09
1871,5.3105884134652115e-09
1872,3.628403577593531e-09
1873,2.3944017879529156e-09
1874,4.182226565063729e-09
1875,1.1443054281912168e-09
1876,4.232210137899983e-09
1877,4.329371083855449e-09
1878,2.4156354694326865e-09
1879,1.221865053580018e-09
1880,3.2089231272180996e-09
1881,2.7890030285249168e-09
1882,3.3276925659464496e-09
1883,1.2638677659992936e-08
1884,1.9805090900604227e-09
1885,5.80107206715752e-09
1886,2.5813855497602844e-09
1887,2.6115698492645834e-09
1888,1.9021844099853524e-09
1889,2.5060546970934183e-09
1890,1.9663159989136147e-09
1891,1.2748440081367107e-09
1892,0.0
1893,2.463366621796581e-09
1894,6.301539290376468e-10
1895,1.2037228991346183e-09
1896,7.66613794667137e-09
1897,1.7480140668268973e-09
1898,1.13167097914868e-09
1899,1.6582735185011188e-09
1900,3.114631885736685e-09
1901,1.676621730339889e-09
1902,4.910283846193408e-10
1903,2.1600881083827517e-09
1904,1.6123875568041512e-09
1905,5.160759042333041e-10
1906,5.144184522798412e-10
1907,2.057137349353866e-09
1908,2.4556945366072114e-09
1909,5.500983557560346e-10
1910,2.137660271017694e-09
