year,premiers_ADJ fils_NOUN
1887,4.439668899181015e-08
1888,7.545331470737437e-08
1889,5.137412273370501e-08
1890,6.751017878059429e-08
1891,4.0157587477551715e-08
1892,4.826754462783356e-08
1893,3.87980243488073e-08
1894,3.3398158905129094e-08
1895,4.634333095054899e-08
1896,5.189385632320409e-08
1897,3.3212266714599536e-08
1898,6.450524381307332e-08
1899,2.8743407654019393e-08
1900,4.152842336679896e-08
1901,3.24146860464225e-08
1902,3.780918689244572e-08
1903,4.3741785304973746e-08
1904,4.08471514390385e-08
1905,2.7868098939620722e-08
1906,2.5206503551089554e-08
1907,4.422845378826423e-08
1908,5.3043002878894185e-08
1909,4.0707277548790444e-08
1910,3.153049021875631e-08
1911,3.351835786702395e-08
1912,3.229841283314272e-08
1913,5.515109435805243e-08
1914,4.553785615257766e-08
1915,2.709575319670421e-08
1916,2.7468654906215306e-08
1917,3.180263163926611e-08
1918,4.2499593178035866e-08
1919,4.6960025201769895e-08
1920,2.2716694303426266e-08
1921,3.559191341651058e-08
1922,2.5822775029382683e-08
1923,2.866305948145964e-08
1924,2.836157442231979e-08
1925,2.74954441437103e-08
1926,4.2355324580967135e-08
1927,2.6758140592164636e-08
1928,3.1992914983902665e-08
1929,4.233354289340241e-08
1930,4.7266215830177316e-08
1931,3.649714130915527e-08
1932,5.4797684612140074e-08
1933,3.326492148403304e-08
1934,3.5944740517379614e-08
1935,3.351119559624749e-08
1936,3.031178508194898e-08
1937,4.0291578073947676e-08
1938,2.9819993585533666e-08
1939,3.364691281149135e-08
1940,3.803674530900025e-08
1941,1.7709016475464523e-08
1942,3.3376331032286544e-08
1943,3.774205836748479e-08
1944,2.2492303131116387e-08
1945,5.010559434026618e-08
1946,5.290019799986112e-08
1947,4.887557025767819e-08
1948,5.870819563824625e-08
1949,3.6322930441201606e-08
1950,4.3604980959344175e-08
1951,5.224086763178093e-08
1952,4.323369751091377e-08
1953,2.8011951869189033e-08
1954,4.0067398288101685e-08
1955,3.191106756617046e-08
1956,3.488456457034772e-08
1957,4.50586910005768e-08
1958,6.535072571978162e-08
1959,4.80546376024904e-08
1960,5.536666591865469e-08
1961,2.779263752472616e-08
1962,3.7417542841922113e-08
1963,2.651081842941494e-08
1964,4.623815996751546e-08
1965,3.994591679656878e-08
1966,2.3818021332999706e-08
1967,3.1554147739143446e-08
