year,certains_DET oeufs_NOUN,certains_DET feux_NOUN
1800,0.0,3.144164484325529e-08
1801,0.0,7.143547975374531e-09
1802,0.0,6.713520406265161e-09
1803,0.0,1.950339267864365e-08
1804,0.0,1.9774807569206132e-08
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,4.518061036407062e-09
1810,0.0,2.574139479349924e-08
1811,0.0,1.7549536934780008e-08
1812,0.0,1.0668832928217853e-08
1813,0.0,5.751483289628823e-09
1814,0.0,3.1466771410748606e-09
1815,0.0,2.697223555614414e-09
1816,0.0,1.1588019432906549e-08
1817,0.0,9.341240669868967e-09
1818,0.0,5.960588467246453e-09
1819,0.0,1.2421260464634543e-08
1820,0.0,2.7292905713238724e-08
1821,0.0,9.861488514673056e-09
1822,0.0,7.017931125119503e-09
1823,0.0,3.4589405117912975e-08
1824,0.0,1.0105335235266466e-08
1825,0.0,2.993850500843109e-08
1826,0.0,9.688783109140786e-09
1827,0.0,7.373818444733615e-09
1828,0.0,5.503380862137419e-09
1829,0.0,1.2859763920403111e-08
1830,0.0,1.461157062010443e-08
1831,0.0,0.0
1832,0.0,1.3529969367098715e-09
1833,3.4750886612755494e-09,1.1583628500844156e-09
1834,0.0,2.8003592777992026e-09
1835,0.0,1.5126175867408165e-08
1836,0.0,1.2097349788575684e-08
1837,1.3915781860163179e-09,9.045257876039159e-09
1838,0.0,7.574594285131298e-09
1839,0.0,3.4957374772659477e-09
1840,6.369688665408546e-10,3.1848443882154243e-09
1841,0.0,1.0914932957462042e-08
1842,0.0,4.024959032733477e-09
1843,0.0,8.269675610961258e-09
1844,0.0,4.9397050894128824e-09
1845,0.0,6.138250796539069e-09
1846,5.854501328173001e-10,2.3418005312692003e-09
1847,5.393223645455691e-10,8.089835468183537e-09
1848,0.0,2.413566457803995e-09
1849,0.0,1.256912263158938e-08
1850,0.0,4.752297222410107e-09
1851,1.2898877521649865e-09,9.674158585326609e-09
1852,0.0,6.510545436100301e-09
1853,0.0,9.555090940693844e-09
1854,0.0,2.1302223984775992e-08
1855,0.0,5.837630823180007e-09
1856,5.177189232874468e-10,5.177189232874468e-10
1857,4.881509085841174e-10,6.8341128311999455e-09
1858,0.0,5.872411001917044e-09
