year,ils_PRON ont_VERB,ils_PRON font_VERB
1800,0.00011526507114467677,2.014151687035337e-05
1801,0.0001039791004586732,1.6096794524855795e-05
1802,9.918779142026324e-05,1.5494804983973154e-05
1803,0.00010779329568322282,1.7599860939299106e-05
1804,0.0001041168361552991,1.3666863878825097e-05
1805,9.376947673445102e-05,1.1308967714285245e-05
1806,8.956227611633949e-05,9.959048384189373e-06
1807,9.562921877659392e-05,1.167821028502658e-05
1808,9.704461990622804e-05,1.4165228321871837e-05
1809,9.584614781488199e-05,1.4896047105139587e-05
1810,9.424626477994025e-05,1.4029059684617096e-05
1811,8.04144874564372e-05,1.353821471639094e-05
1812,8.84046148712514e-05,1.133563500843593e-05
1813,8.596454790676944e-05,9.489947387919528e-06
1814,9.162808783003129e-05,8.59672195474559e-06
1815,8.917290870158467e-05,8.739004215385648e-06
1816,9.80809963948559e-05,1.2197549267511931e-05
1817,9.784793837752659e-05,1.2162295433881809e-05
1818,9.313420196122024e-05,1.204634986606834e-05
1819,0.00010018884859164245,1.1820899317172007e-05
1820,0.00010081881191581488,1.2233155757712666e-05
1821,9.922432400344405e-05,1.114150973080541e-05
1822,9.592108108336106e-05,1.1231697499169968e-05
1823,8.611773409938905e-05,1.018707348521275e-05
1824,8.229616287280805e-05,9.71880604083708e-06
1825,8.890327262633946e-05,1.054715949067031e-05
1826,8.550703023502138e-05,1.0620667580951704e-05
1827,9.115606917475816e-05,9.697492714622058e-06
1828,9.134327592619229e-05,1.0015235375249176e-05
1829,9.176299136015587e-05,9.618246167519828e-06
1830,9.423314440937247e-05,1.1246733947700704e-05
1831,9.32416514842771e-05,9.412411486664496e-06
1832,8.491273365507368e-05,8.872953912941739e-06
1833,9.057586794369854e-05,1.0982437970596948e-05
1834,9.030691580846906e-05,9.436277309760044e-06
1835,8.889805030776188e-05,9.535541380500945e-06
1836,8.50719261507038e-05,9.950742082764918e-06
1837,8.69228460942395e-05,9.533701813779771e-06
1838,8.213006185542326e-05,9.77943261659675e-06
1839,8.202957815228729e-05,8.357609431186575e-06
1840,8.815903493086807e-05,8.979986887425184e-06
1841,8.752106441534124e-05,9.465814855502686e-06
1842,8.530900777259376e-05,9.240634994966967e-06
1843,8.818073183647357e-05,9.328193641522375e-06
1844,8.041126602620352e-05,9.435385550204956e-06
1845,8.014044033188839e-05,8.622010000181035e-06
1846,8.678302947373595e-05,9.349052902507538e-06
1847,8.400161823374219e-05,9.260704700864153e-06
1848,8.913220699469093e-05,9.230282785210875e-06
1849,8.199843978218269e-05,8.121328960442042e-06
1850,8.547685320081655e-05,8.708924269740237e-06
1851,8.470434841001406e-05,8.870558190210431e-06
1852,8.203547440643888e-05,8.415530942329497e-06
1853,8.77862057677703e-05,9.87817281838943e-06
1854,8.090740448096767e-05,9.198404541166383e-06
1855,7.944325261632912e-05,8.632263757135661e-06
1856,7.998291584954131e-05,8.407755444750364e-06
1857,8.086805792117957e-05,8.679322945681633e-06
1858,7.828902562323492e-05,7.890073675298481e-06
