year,les_DET eaux_NOUN
1800,6.798626600357238e-05
1801,5.570538405663683e-05
1802,6.57835489619174e-05
1803,6.877285841255798e-05
1804,6.552382501467946e-05
1805,6.032870669514523e-05
1806,5.051277844358992e-05
1807,5.490352896231343e-05
1808,5.092548053653445e-05
1809,5.907139029659447e-05
1810,5.2238649459468434e-05
1811,5.3568709972751094e-05
1812,5.794242997581023e-05
1813,4.849650667893002e-05
1814,4.401571959533612e-05
1815,5.169229098100914e-05
1816,5.242188080956112e-05
1817,4.4865978225061554e-05
1818,5.1160924613213865e-05
1819,4.7381931381096365e-05
1820,3.839281180262333e-05
1821,3.80860542463779e-05
1822,4.8787653213366866e-05
1823,3.7892198633926455e-05
1824,4.0812080214891466e-05
1825,4.547130765786278e-05
1826,4.5599815848618164e-05
1827,4.266859968993231e-05
1828,4.227238491694152e-05
1829,4.606024685926968e-05
1830,4.466026530280942e-05
1831,4.8145645450858865e-05
1832,4.258693161318661e-05
1833,5.670186237693997e-05
1834,4.441183205017296e-05
1835,5.218606474954868e-05
1836,4.175064509581716e-05
1837,4.713414455181919e-05
1838,4.5350988330028486e-05
1839,4.228024772601202e-05
1840,4.3711350599551224e-05
1841,4.367578185338061e-05
1842,3.850678172057087e-05
1843,4.213517991047411e-05
1844,4.2020973978651455e-05
1845,4.3623432247841265e-05
1846,4.385255556371703e-05
1847,3.948055450564425e-05
1848,4.3825539705721894e-05
1849,4.31640432907443e-05
1850,3.981474583270028e-05
1851,4.472298724067514e-05
1852,4.753544521918229e-05
1853,4.7953417379176244e-05
1854,4.652613529287919e-05
1855,4.722218659480859e-05
1856,4.4654809698840836e-05
1857,4.9362308800482424e-05
1858,4.278541041458084e-05
1859,4.789290733242524e-05
1860,4.40297640125209e-05
1861,4.351419875092688e-05
1862,4.55652457276301e-05
1863,4.365847894405306e-05
1864,4.697203030445962e-05
1865,4.387814396977774e-05
1866,4.269624105290859e-05
1867,4.248054256095202e-05
1868,4.514106421993347e-05
1869,4.1994847379100975e-05
1870,4.5666539335798007e-05
1871,3.967434554397187e-05
1872,4.122652535443194e-05
1873,5.254634288576199e-05
1874,4.5013302042207215e-05
1875,4.4648510083789006e-05
1876,4.7088783503568266e-05
1877,4.5572196768262074e-05
1878,4.281834753783187e-05
1879,4.3463571500979015e-05
1880,4.3280670297463075e-05
1881,4.544889452517964e-05
1882,4.390091635286808e-05
1883,4.515736327448394e-05
1884,4.18494773839484e-05
1885,4.54339970019646e-05
1886,4.119181630812818e-05
1887,4.354466136646806e-05
1888,4.3317812469467754e-05
1889,4.0451482846037834e-05
1890,3.9446917980967555e-05
1891,3.9439210240743705e-05
1892,4.236260747347842e-05
1893,3.896676594195014e-05
1894,4.26444084951072e-05
1895,3.66443339316902e-05
1896,3.8180903629836394e-05
1897,3.748616313714592e-05
1898,3.740908141480759e-05
1899,3.880802159983432e-05
1900,3.731225183400966e-05
1901,3.640392628767586e-05
1902,3.319499182907748e-05
1903,4.051623409395688e-05
1904,3.729345053216093e-05
1905,3.7917643567197956e-05
1906,3.8181166473805206e-05
1907,3.486436298771878e-05
1908,3.541946421137254e-05
1909,3.316763081784302e-05
1910,3.7492958654183894e-05
1911,3.4798970318661304e-05
1912,3.2226522080236464e-05
1913,3.2867930485736e-05
1914,3.4012092100965674e-05
1915,3.099282935181691e-05
1916,2.7767514666265924e-05
1917,2.699824017327046e-05
1918,2.5906372229655972e-05
1919,2.6458752699909382e-05
1920,2.6571718080958817e-05
1921,2.8126698907726677e-05
1922,2.753593116722186e-05
1923,2.7326511826686328e-05
1924,2.9176324687796296e-05
1925,3.1013762281872914e-05
1926,2.7692580943039502e-05
1927,2.8461742203944596e-05
1928,2.8264598768146243e-05
1929,2.93516281999473e-05
1930,2.7889168450201396e-05
1931,2.7529109047463862e-05
1932,2.97343190140964e-05
1933,2.7928768531637616e-05
1934,2.6996897076969617e-05
1935,2.5725827072164975e-05
1936,2.6657397938834038e-05
1937,2.650808050930209e-05
1938,2.7645727413982968e-05
1939,2.8066112690794398e-05
1940,3.060943595301069e-05
1941,2.800090442178771e-05
1942,2.8175689749332378e-05
1943,3.047816267098824e-05
1944,2.251479622827901e-05
1945,2.1432122707665258e-05
1946,2.188536768699123e-05
1947,2.1142856098776974e-05
1948,2.4086668418021873e-05
1949,2.523756484151818e-05
1950,2.4971829134301515e-05
1951,2.5193958208546974e-05
1952,2.7510338895808673e-05
1953,2.7471106022858294e-05
1954,2.543204777794017e-05
1955,2.4735770011830027e-05
1956,2.3406671971315518e-05
1957,2.666591149136366e-05
1958,2.492426960998273e-05
1959,2.3949811520651565e-05
1960,2.3416639351125923e-05
1961,2.3215190140035702e-05
1962,2.1953949726594146e-05
1963,2.184103391300596e-05
1964,2.1922363885096274e-05
1965,2.071277936011029e-05
1966,2.14644685456733e-05
1967,2.08952558296005e-05
1968,2.136027489996195e-05
1969,2.1848579194738704e-05
1970,2.304237148109678e-05
1971,2.0255562617421674e-05
1972,2.0588305915225646e-05
1973,2.0508015722953132e-05
1974,2.0304938061599387e-05
1975,1.9844537064273027e-05
1976,1.95579740420726e-05
1977,2.0426518290150852e-05
1978,1.9726921550500265e-05
1979,1.9442010852799285e-05
1980,2.032498196058441e-05
1981,1.960793792932236e-05
1982,2.147733721358236e-05
1983,1.769235859683249e-05
1984,1.9131507997371955e-05
1985,1.9714788777491776e-05
1986,1.7413381215192203e-05
1987,1.8069073917104106e-05
1988,1.697744278317259e-05
1989,1.778974819899304e-05
1990,1.9664726778501063e-05
1991,1.7314181832261966e-05
1992,1.727147048313782e-05
1993,1.6685200307620107e-05
1994,1.7116609683398565e-05
1995,1.5510920434280706e-05
1996,1.6415167351624405e-05
1997,1.4807592947363446e-05
1998,1.445076907202747e-05
1999,1.5702297332609305e-05
2000,1.5205097611215024e-05
2001,1.502711859302508e-05
2002,1.43392993550151e-05
2003,1.465381808429811e-05
