year,anciens_ADJ arts_NOUN,anciens_ADJ phares_NOUN
1800,1.8864987794131594e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,1.7902721083373763e-08,0.0
1803,0.0,0.0
1804,1.9774807569206132e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,1.1330369531492579e-08,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,5.1247248222807684e-08,0.0
1816,0.0,2.3176038865813098e-09
1817,0.0,0.0
1818,8.344824387052086e-09,0.0
1819,1.035105001712111e-09,0.0
1820,0.0,0.0
1821,5.9168927535324656e-09,0.0
1822,4.010246357211145e-09,0.0
1823,0.0,0.0
1824,7.57900142644985e-09,1.6842225392110777e-09
1825,8.805443041381977e-10,1.7610886082763955e-09
1826,1.7615968683770689e-09,1.2331177856594877e-08
1827,0.0,8.295545583791863e-09
1828,9.172301140836225e-09,0.0
1829,8.57317605795771e-10,2.571952872898464e-09
1830,1.0436835840010872e-09,8.349468672008697e-09
1831,1.5591206103948707e-09,0.0
1832,0.0,0.0
1833,0.0,3.4750886612755494e-09
1834,0.0,0.0
1835,2.2689263801112247e-09,2.2689263801112247e-09
1836,6.048674894287842e-09,0.0
1837,0.0,2.0873671680021744e-09
1838,0.0,6.312161904276081e-09
1839,0.0,6.9914749545318955e-09
1840,2.5478754661634184e-09,1.2739377330817092e-09
1841,1.926164561183441e-09,1.219904177673925e-08
1842,1.8783142152756227e-08,1.0733224087289273e-08
1843,7.088293507706567e-09,7.678984559333912e-09
1844,7.683985892015244e-09,1.5367971784030487e-08
1845,2.7901139176833567e-09,3.348136878855712e-09
1846,1.1709002656346001e-08,3.5127007969038004e-09
1847,5.393223645455691e-10,9.168480197274675e-09
1848,5.63165514222419e-09,0.0
1849,3.3517659758786067e-09,1.6758829879393033e-09
1850,2.0366988096043315e-09,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,1.1943863675867306e-09
1854,6.754363734984281e-09,5.195664454227256e-10
1855,0.0,6.368324534378189e-09
1856,2.0708756931497874e-09,3.1063134287023786e-09
1857,7.322263684272912e-09,0.0
1858,6.8511463169329545e-09,6.8511463169329545e-09
1859,3.055304009791371e-09,0.0
1860,0.0,3.204028820036342e-09
1861,4.715963730639317e-10,3.3011746669586728e-09
1862,1.400575744270327e-08,0.0
1863,0.0,3.496234635136375e-09
1864,4.794727948009836e-10,2.3973639073915365e-08
1865,1.882737743486018e-09,2.3534221238463715e-09
1866,9.244664589402873e-09,3.8924903300596725e-09
1867,6.308654931785895e-09,3.88224918879132e-09
1868,3.457911734727759e-09,9.87974813071446e-10
1869,3.4184632902167778e-09,5.860222973552709e-09
1870,5.734048791339319e-10,1.0321287824410774e-08
1871,0.0,0.0
1872,7.861541084785983e-09,1.8142017887967654e-09
1873,1.4366410283628284e-08,1.7958012854535355e-09
1874,2.9873046258899194e-09,8.364453130127458e-09
