year,mieux_ADV été_VERB,mieux_ADV fêté_VERB
1800,6.288328791015374e-08,3.144164484325529e-09
1801,5.714838380299625e-08,0.0
1802,2.4616241489638924e-08,0.0
1803,5.070882025393075e-08,3.900678446910888e-09
1804,5.6852570651244605e-08,0.0
1805,2.55858996212055e-08,2.842877711017877e-09
1806,7.780506905419315e-08,0.0
1807,2.2775640928784924e-08,0.0
1808,5.6651849433819734e-08,0.0
1809,4.292158095609011e-08,0.0
1810,4.212228077449254e-08,0.0
1811,5.264861258069686e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,4.026038169513413e-08,0.0
1814,5.349351184236184e-08,0.0
1815,3.506390555685357e-08,0.0
1816,1.622322720606917e-08,0.0
1817,4.3592454090912724e-08,0.0
1818,2.5034472272977837e-08,0.0
1819,3.2088255608186955e-08,0.0
1820,2.4919611263385377e-08,0.0
1821,2.070912508145284e-08,4.930744257336528e-09
1822,5.413832582235045e-08,1.0025615893027862e-09
1823,1.680056804787e-08,0.0
1824,4.884245186076441e-08,3.3684450784221553e-09
1825,3.9624492131906663e-08,0.0
1826,4.051672775062798e-08,0.0
1827,5.069500019772022e-08,0.0
1828,1.2841221419535032e-08,9.172301251858528e-10
1829,6.258418494553553e-08,0.0
1830,4.383471008395645e-08,0.0
1831,5.76874619184764e-08,0.0
1832,4.464889968858188e-08,0.0
1833,6.718504863556518e-08,0.0
1834,4.480574844478724e-08,1.3068342852307069e-08
1835,4.235329242874286e-08,0.0
1836,4.973355061110851e-08,4.704525213838906e-09
1837,3.6876823372722356e-08,3.478945576063097e-09
1838,6.94337813911261e-08,1.2624323808552163e-09
1839,5.383435919270596e-08,2.7965900706306e-09
1840,3.248541347034006e-08,1.9109065441114126e-09
1841,2.6966304744746594e-08,1.926164561183441e-09
1842,4.762868144325694e-08,4.695785538189057e-09
1843,3.721353891705803e-08,2.3627644285539873e-09
1844,1.5367971784030487e-08,4.390849017710252e-09
1845,3.348136701220028e-08,1.1160455892778032e-09
1846,2.4003455223464698e-08,3.5127007969038004e-09
1847,3.020205241455187e-08,4.314578916364553e-09
1848,2.654923214606697e-08,8.045221711050488e-10
1849,3.016589289472904e-08,8.379414939696517e-10
1850,2.7155984128057753e-08,7.467895635215882e-09
1851,3.8696633453128015e-08,6.449438760824933e-10
1852,3.5156944022674e-08,6.510545436100301e-10
1853,3.2845626662947325e-08,0.0
1854,4.1565314745639625e-08,2.0782657816909023e-09
1855,3.767925349507095e-08,7.960405667972736e-09
1856,3.882891874695815e-08,7.765783571755946e-09
1857,4.051652524594829e-08,4.393358121745905e-09
1858,3.327699715782728e-08,1.3702292633865909e-08
1859,4.277425702525761e-08,5.092173349652285e-09
1860,2.4259074749011234e-08,1.0069804545764782e-08
1861,2.169343282787395e-08,8.488735048217677e-09
1862,3.072230825296174e-08,2.2589932147099034e-09
1863,5.3442441583229083e-08,3.995696662428827e-09
1864,2.7809422320501653e-08,5.753673537611803e-09
1865,2.871175119878444e-08,0.0
1866,3.308616669528419e-08,2.432806400776144e-09
1867,3.105799351033056e-08,1.455843445796745e-09
1868,3.2603168165223906e-08,0.0
1869,3.1742874995188686e-08,9.278686263769487e-09
1870,2.465641024684828e-08,1.1468097582678638e-09
1871,3.186353225714811e-08,3.18635318130589e-09
1872,3.205089882385437e-08,2.4189357183956872e-09
1873,4.4895035244962855e-08,2.3944017879529156e-09
1874,3.4652732239237594e-08,1.0754296120296658e-08
1875,2.345826111138649e-08,5.721527251978387e-09
1876,3.204387866162506e-08,4.232210137899983e-09
1877,3.463496867084359e-08,0.0
1878,4.287753085918666e-08,3.0195443923020093e-09
1879,3.0546626561545054e-08,1.221865053580018e-09
1880,3.2089232604448625e-08,2.5671385017744797e-09
1881,2.998178416646624e-08,4.183504653809678e-09
1882,4.6587697255517924e-08,1.9966155395678697e-09
1883,3.4756364897248204e-08,2.5277355764075082e-09
1884,2.3105940272216685e-08,1.3203393933736152e-09
1885,2.8360796378024133e-08,5.80107206715752e-09
1886,3.9366128135043255e-08,1.2906927748801422e-09
1887,2.0239665943222462e-08,6.528924623161458e-10
1888,3.9311810695608074e-08,1.9021844099853524e-09
1889,5.6386230795624215e-08,1.8795409673089125e-09
1890,3.867087983167039e-08,2.6217545912032847e-09
1891,2.677172439291553e-08,1.2748440081367107e-09
1892,1.56712811616444e-08,1.2537024751679837e-09
1893,3.387129154930335e-08,1.2316833108982905e-09
1894,3.3398158905129094e-08,0.0
1895,2.347259631108045e-08,1.2037228991346183e-09
1896,4.1279204054944785e-08,5.89702897624278e-10
1897,1.631479840114025e-08,5.826713556089658e-10
1898,2.7160103499568322e-08,5.6583548957434e-10
1899,3.205995469102163e-08,1.6582735185011188e-09
1900,2.0245106924221545e-08,2.07642125715779e-09
1901,2.8502569193733507e-08,0.0
1902,1.276673788908056e-08,0.0
1903,2.4841012802312434e-08,1.0800440541913758e-09
1904,2.956043942958786e-08,2.1498500757388683e-09
1905,2.631987072732045e-08,2.580379465655369e-09
1906,2.41776678677752e-08,4.115347618238729e-09
1907,2.468564730406797e-08,0.0
1908,1.964555629285769e-08,6.384805573134145e-09
1909,3.4106097501762633e-08,5.500983557560346e-10
1910,2.0307773240801907e-08,5.344150677544235e-10
1911,2.606983251496331e-08,5.320374141248863e-10
1912,2.2400511667797218e-08,0.0
1913,2.4393752795504042e-08,3.71209285532359e-09
1914,4.620753202289052e-08,0.0
1915,4.5944972271172446e-08,0.0
1916,2.6369908923129515e-08,0.0
1917,1.4256351654751143e-08,0.0
1918,2.756730310693456e-08,1.1486376294556067e-09
1919,6.4454939163738345e-09,3.6831393490643904e-09
