year,véritables_ADJ eaux_NOUN
1800,0.0
1801,2.3811825844433088e-09
1802,0.0
1803,0.0
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,1.4234775136401367e-08
1808,6.798221985349073e-09
1809,1.3554183553310395e-08
1810,0.0
1811,0.0
1812,1.0668832928217853e-08
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,6.227493631882908e-09
1818,0.0
1819,5.175524897538253e-09
1820,2.3732962262101864e-09
1821,0.0
1822,4.010246357211145e-09
1823,6.917880934764753e-09
1824,0.0
1825,0.0
1826,0.0
1827,1.8434546111834038e-09
1828,1.8344602503717056e-09
1829,3.429270423183084e-09
1830,5.218417697960831e-09
1831,3.1182413096075834e-08
1832,2.705993873419743e-09
1833,1.2741991461950875e-08
1834,8.401078055442213e-09
1835,3.025235173481633e-09
1836,2.016224964762614e-09
1837,0.0
1838,6.312161904276081e-10
1839,2.7965900706306e-09
1840,3.821813088222825e-09
1841,1.6051371787284552e-08
1842,5.366612043644636e-09
1843,9.451057714215949e-09
1844,4.390849017710252e-09
1845,1.674068439427856e-09
1846,6.439951683034906e-09
1847,4.853901280910122e-09
1848,8.04522137798358e-09
1849,1.256912263158938e-08
1850,6.788996032014438e-09
1851,8.384270167027807e-09
1852,7.812654523320361e-09
1853,1.1943863675867306e-09
1854,7.79349651480743e-09
1855,6.8990182455763716e-09
1856,1.65670055451983e-08
1857,8.298565390418844e-09
1858,9.787352261980686e-09
1859,4.582956236731661e-09
1860,5.492620580582752e-09
1861,2.357981809808507e-09
1862,9.487771457372673e-09
1863,0.0
1864,2.7809422320501653e-08
1865,8.943004559114343e-09
1866,1.4596838404656864e-08
1867,1.6984840200962026e-08
1868,8.89177353968762e-09
1869,6.8369265804335555e-09
1870,3.4404292748035914e-09
1871,6.37270636261178e-09
1872,7.256807155187062e-09
1873,5.9860045809045914e-09
1874,8.364453130127458e-09
1875,4.005069165202713e-09
1876,1.0278225381910033e-08
1877,4.9478527941460015e-09
1878,6.039088784604019e-09
1879,9.163987790827832e-09
1880,3.8507077526617195e-09
1881,7.669758161910067e-09
1882,3.9932310791357395e-09
1883,1.2006744043446815e-08
1884,4.621187876807653e-09
1885,1.0313017106966527e-08
1886,9.034849313138693e-09
1887,1.9586773092328258e-08
1888,1.268122939990235e-09
1889,3.132568426877924e-09
1890,1.1797895993481688e-08
1891,9.561330394092238e-09
1892,6.268512375839919e-09
1893,1.847524977449666e-08
1894,8.822155450616265e-09
1895,1.3240951446391591e-08
1896,1.2973464080801023e-08
1897,1.2818770045441852e-08
1898,2.8291773368493978e-09
1899,1.5477219506010442e-08
1900,1.142031713641245e-08
1901,1.117747761014698e-08
1902,8.347482705062248e-09
1903,1.5120615870500842e-08
1904,1.0749250378694342e-08
1905,5.160758931310738e-09
1906,1.1317205839134203e-08
1907,5.65712765521198e-09
1908,4.911389073214423e-09
1909,6.0510818578052294e-09
1910,1.0153886620400954e-08
1911,1.3832972989291648e-08
1912,1.8753915753677575e-08
1913,9.545381374209683e-09
1914,9.37544086809794e-09
1915,7.068456930880984e-09
1916,1.0987462051303964e-09
1917,4.386569774084137e-09
1918,1.4932290071101306e-08
1919,1.012863304339362e-08
1920,4.543339038320937e-09
1921,4.543648568500203e-09
1922,4.426761179843197e-09
1923,7.431163684401554e-09
1924,2.578324886925998e-09
1925,1.0998178368026856e-08
1926,0.0
1927,1.1149224876660924e-09
1928,2.2852082448565625e-09
1929,1.1140406375176326e-09
1930,1.0503603542488804e-09
1931,7.983749661377715e-09
1932,1.3151444377967891e-08
1933,5.735331320977366e-09
1934,3.5944740517379614e-09
1935,3.590485242455088e-09
1936,4.849885826274658e-09
1937,5.0364472592434595e-09
1938,1.1668692678767911e-08
1939,1.2235240376412548e-08
1940,2.028626333583361e-08
1941,0.0
1942,6.068423541449874e-09
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,3.2615663503321457e-09
1949,9.817008317369869e-10
1950,1.0635361480382244e-09
1951,4.264560704569931e-09
1952,0.0
1953,0.0
1954,9.772536113672459e-10
1955,4.6928039232341234e-09
1956,0.0
1957,0.0
1958,3.3088973783179654e-09
1959,2.325224457422337e-09
