year,les_DET oeufs_NOUN,les_DET feu_ADJ
1800,1.050150927994764e-06,0.0
1801,1.750169179359773e-06,0.0
1802,1.635861167414987e-06,0.0
1803,5.74569926703461e-06,0.0
1804,1.4015394937949566e-06,0.0
1805,1.4356532724857374e-06,0.0
1806,3.0257525018839715e-07,0.0
1807,3.387876525984268e-07,0.0
1808,3.172503699744311e-07,0.0
1809,3.004510509274638e-07,4.518061036407062e-09
1810,4.937667354987241e-07,2.3401267590372754e-09
1811,1.6797414126301646e-07,0.0
1812,2.0270783229747735e-07,0.0
1813,3.911008619184031e-07,0.0
1814,5.349350913341766e-07,3.1466771410748606e-09
1815,2.2656678222432447e-07,0.0
1816,3.963102610526903e-07,2.3176038865813098e-09
1817,6.196355881726845e-07,0.0
1818,4.828076922702706e-07,0.0
1819,5.775886062764357e-07,1.035105001712111e-09
1820,2.7174242323013686e-07,1.1866481131050932e-09
1821,1.2425475581778755e-07,0.0
1822,1.9349438673543773e-07,2.0051231786055723e-09
1823,1.8678277735606486e-07,0.0
1824,2.147383737494124e-07,5.052667617633233e-09
1825,1.9107811288776588e-07,8.805443041381977e-10
1826,1.6030530847199742e-07,8.807984341885344e-10
1827,6.756261352047765e-07,9.217273055917019e-10
1828,3.1460993210608024e-07,0.0
1829,1.7746473929269868e-07,0.0
1830,2.0143092882562996e-07,1.0436835840010872e-09
1831,1.7773974980705987e-07,0.0
1832,1.9483155533350782e-07,0.0
1833,1.8997151052246863e-07,1.1583628500844156e-09
1834,2.240287466648283e-07,0.0
1835,1.8680827196249083e-07,6.806779140333674e-09
1836,2.083432480426417e-07,6.720750067579218e-10
1837,2.866651082067406e-07,1.3915781860163179e-09
1838,2.9793404321409866e-07,6.312161904276081e-10
1839,2.0415107082616402e-07,6.9914751765765e-10
1840,1.1911317832069557e-07,0.0
1841,1.5280905474313045e-07,7.0626033910059505e-09
1842,2.8912622784815767e-07,6.708265054555795e-10
1843,1.7720733613835193e-07,0.0
1844,2.2064016780287687e-07,1.097712254427563e-09
1845,1.8414752256390443e-07,0.0
1846,1.7504959481939864e-07,0.0
1847,3.1658221377739437e-07,1.941560512364049e-08
1848,2.051531546864993e-07,0.0
1849,2.0864742733550656e-07,8.379414939696517e-10
1850,1.7379830286046172e-07,0.0
1851,2.3024495665602274e-07,0.0
1852,1.9401425377374437e-07,5.859490670445666e-09
1853,1.9229620096261613e-07,0.0
1854,1.1430461621664278e-07,1.0391328908454511e-09
1855,1.719447624282111e-07,5.306937111981824e-10
