year,certaines_DET âmes_NOUN,certaines_DET ames_NOUN,certaines_DET femmes_NOUN
1800,1.8864987794131594e-08,7.545995117652637e-08,2.483889893767355e-07
1801,1.6668277424969347e-08,9.28661236798689e-08,5.786273895580507e-07
1802,8.951360541686881e-09,9.622712582313397e-08,3.20011139365306e-07
1803,2.3404069793286908e-08,5.851017803593095e-08,3.7251480367039846e-07
1804,9.887403784603066e-09,7.909923027682453e-08,2.71903616066993e-07
1805,1.9900143755080535e-08,2.8428777332223376e-08,2.58701862598798e-07
1806,3.1698359492793315e-08,7.204172902675055e-08,2.881669001197906e-07
1807,2.8469551160981155e-09,6.832692633906845e-08,4.3273719052550064e-07
1808,4.5321479902327155e-09,4.078933146800523e-08,2.2660739329438684e-07
1809,2.25903047379461e-08,8.358412628695078e-08,2.710836621844237e-07
1810,3.042164919975221e-08,3.25277625279341e-07,1.9657064687095271e-07
1811,2.5070768572277302e-08,2.2563691359778204e-08,2.0558029234507558e-07
1812,5.3344166417446104e-08,1.6536691305191198e-07,3.6007310733054965e-07
1813,4.3136125782439194e-08,4.026038169513413e-08,4.1698253383515294e-07
1814,5.664018942752591e-08,4.72001566720337e-08,2.1082736223476672e-07
1815,1.213750626671839e-07,2.1577788444915313e-08,4.01886296685916e-07
1816,6.25753067140522e-08,5.0987285504788815e-08,2.989709031453458e-07
1817,9.808302792180257e-08,1.1676550570882682e-07,6.118512736463799e-07
1818,2.861082504246326e-08,6.199012148044858e-08,5.245318028812562e-07
1819,1.2524770909294602e-07,6.521161566297451e-08,3.281282943135011e-07
1820,7.001224044955734e-08,1.3409123766905395e-07,3.3344811711799593e-07
1821,2.06105099209708e-07,1.2918549430196435e-07,3.412074818243127e-07
1822,1.4737655362750957e-07,9.323822780515911e-08,2.476327125577882e-07
1823,9.783859733492051e-08,1.1266263300058199e-07,4.002488074306143e-07
1824,8.58953512761218e-08,4.378978601948802e-08,2.905283871257325e-07
1825,8.541280038798504e-08,8.717388477741395e-08,3.407706543612221e-07
1826,8.455664612938563e-08,7.574866600634778e-08,2.0170283576703696e-07
1827,6.359918519605046e-08,4.885154680778214e-08,1.843454660033217e-07
1828,1.0639869191253482e-07,6.512333783348367e-08,2.9718256655542064e-07
1829,6.429882015712707e-08,9.259029809527419e-08,2.4519282892931926e-07
1830,8.03636355239945e-08,9.706257486641334e-08,2.557024743055081e-07
1831,7.639690835503643e-08,1.3720261904381914e-07,2.4945930476860667e-07
1832,8.929779504729396e-08,7.170883975504694e-08,3.3824923306724486e-07
1833,6.023486953665724e-08,1.4016190164056752e-07,4.7608713771296607e-07
