year,petites_ADJ oies_NOUN,petites_ADJ fois_NOUN
1800,3.144164484325529e-09,0.0
1801,1.6668277424969347e-08,2.3811825844433088e-09
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,0.0,6.798221985349073e-09
1809,0.0,0.0
1810,0.0,2.3401267590372754e-09
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.4275012222574333e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,0.0,9.341240669868967e-09
1818,0.0,1.1921177378582115e-09
1819,0.0,5.175524897538253e-09
1820,0.0,1.1866481131050932e-09
1821,0.0,1.97229765852569e-09
1822,0.0,2.0051231786055723e-09
1823,0.0,9.882686891060644e-10
1824,0.0,8.421112696055388e-09
1825,0.0,8.805443041381977e-10
1826,0.0,6.1655889282974385e-09
1827,0.0,0.0
1828,0.0,1.8344602503717056e-09
1829,0.0,8.57317605795771e-10
1830,3.1310507520032616e-09,2.0873671680021744e-09
1831,0.0,3.1182412207897414e-09
1832,0.0,1.2176972319366541e-08
1833,9.266902800675325e-09,0.0
1834,5.600718555598405e-09,9.334530925997342e-10
1835,0.0,3.781543966852041e-09
1836,0.0,2.688300027031687e-09
1837,3.478945576063097e-09,4.87052354003481e-09
1838,0.0,2.5248647617104325e-09
1839,2.0974426639952526e-09,6.292327547896548e-09
1840,1.9109065441114126e-09,1.2739377330817092e-09
1841,3.852329122366882e-09,3.2102742686390684e-09
1842,0.0,4.695785538189057e-09
1843,0.0,1.0041748765843295e-08
1844,0.0,1.097712254427563e-09
1845,5.580227946389016e-10,6.138250796539069e-09
1846,1.1709002656346001e-09,1.0538101946622191e-08
1847,4.853901280910122e-09,0.0
1848,0.0,0.0
1849,8.379414939696517e-10,0.0
1850,1.3577992064028876e-09,6.788996032014438e-10
1851,1.2898877521649865e-09,0.0
1852,0.0,8.463708844885787e-09
