year,trois_DET acteurs_NOUN,trois_DET facteurs_NOUN
1800,2.5153315874604232e-08,6.60274537267469e-08
1801,3.095537337571841e-08,5.9529565277216534e-08
1802,4.475680270843441e-09,5.818384352096473e-08
1803,1.755305234496518e-08,1.950339267864365e-08
1804,2.7190360185613827e-08,2.4718509905596875e-08
1805,1.7057265822018053e-08,2.55858996212055e-08
1806,5.4751712497136396e-08,1.152667650217154e-08
1807,7.402083213037258e-08,8.54086508184082e-08
1808,1.0423940155490641e-07,9.064295625194063e-08
1809,7.00299480627109e-08,4.51806094758922e-08
1810,5.8503170308199515e-08,7.722418615685456e-08
1811,6.518399509047867e-08,1.2535383575595915e-07
1812,8.00162469616339e-09,2.6672083208723052e-08
1813,9.20237299695259e-08,8.627224912238773e-08
1814,3.1466771410748606e-09,3.1466772298927026e-08
1815,2.6972236000233352e-08,3.506390555685357e-08
1816,2.3176038865813098e-08,5.3304887615013286e-08
1817,6.22749372070075e-08,3.580808893843823e-08
1818,4.6492591110336434e-08,1.4305412854298538e-08
1819,7.14222423425781e-08,9.315945348475907e-09
1820,3.79727405075414e-08,1.779972080839798e-08
1821,8.185035449415068e-08,4.043210211079895e-08
1822,7.519211919770896e-08,5.012807946513931e-09
1823,4.941343334508019e-08,2.8659792317142774e-08
1824,6.063201318795564e-08,9.263223965660927e-09
1825,7.748789698780456e-08,2.289415235168235e-08
1826,3.2589542509064984e-08,2.1139161532346407e-08
1827,2.0278000389950535e-08,1.935627302884768e-08
1828,5.044765671868845e-08,4.219258542548232e-08
1829,5.915491352315172e-08,3.429270423183084e-09
1830,2.922314124020886e-08,2.5048406016026092e-08
1831,3.897801548191637e-08,1.091384405071949e-08
1832,1.0959275353883413e-07,4.329590197471589e-08
1833,3.0117434435261714e-08,1.737544208513242e-08
1834,2.0535968925372572e-08,1.3068343518440884e-08
1835,2.117664621437143e-08,3.1764969321557146e-08
1836,2.688299938213845e-08,1.5457725321965654e-08
1837,3.0614720092358993e-08,1.461157062010443e-08
1838,4.418513288584336e-08,2.4617431648721322e-08
1839,2.7266752411492234e-08,4.264799713382672e-08
1840,3.3122379505812205e-08,2.5478755105723394e-08
1841,8.346713098461578e-09,4.6227949468402585e-08
1842,4.024959032733477e-09,1.7441490030023488e-08
1843,2.4809026055727657e-08,3.2488010504039266e-08
1844,3.567564910156307e-08,6.366730787021879e-08
1845,2.287893430263921e-08,2.1204865419122143e-08
1846,2.1076204559378198e-08,1.4050802965570597e-08
1847,5.9325460100012606e-09,3.182001862001016e-08
1848,8.045221600028185e-09,4.263967667839097e-08
1849,1.0893239421605472e-08,9.217355989576959e-09
1850,1.5614690873633208e-08,3.394497838371535e-08
1851,1.805842941848823e-08,2.7732586005413395e-08
1852,1.6276363368206148e-08,2.799534470909748e-08
1853,3.1651238963092965e-08,4.060913738612726e-08
1854,2.390005615637847e-08,4.364358252573197e-08
1855,4.139410947345823e-08,2.7596072982305486e-08
1856,4.089979444010794e-08,5.9537676122545236e-08
1857,2.391939490919981e-08,5.4672902649599564e-08
1858,2.6915217388179258e-08,3.523446667763608e-08
1859,1.9859476729777725e-08,3.920973390414417e-08
1860,2.471679233506663e-08,2.746310334700297e-08
1861,3.348334409736253e-08,6.036433486400483e-08
1862,3.072230825296174e-08,4.5179863628064254e-08
1863,2.7470414387664732e-08,4.6449973312157056e-08
1864,8.342826518514812e-08,4.8426750942631713e-08
1865,3.388927893865912e-08,2.9653119071326728e-08
1866,2.773399332411941e-08,2.968023871119385e-08
1867,2.5719900875742496e-08,3.8337212515671126e-08
1868,3.2603169497491535e-08,9.039969683932725e-08
1869,5.225365473648935e-08,5.1276951573697716e-08
1870,2.2362790730312554e-08,4.587238899844692e-08
1871,1.9118118865790734e-08,5.2043770182308435e-08
1872,1.814201766592305e-08,4.777398032729252e-08
1873,1.975381502816731e-08,3.232442269407443e-08
1874,2.569081902770165e-08,9.14115174666108e-08
1875,1.3159512313176691e-08,8.86836679647729e-08
1876,2.5393262825801344e-08,7.557518699741195e-08
1877,4.638611894591804e-08,1.0637883285369298e-07
1878,3.200716930384928e-08,9.541760070952421e-08
1879,3.1157558311178946e-08,5.9260453433296334e-08
1880,4.8775632421893533e-08,8.279021401769171e-08
1881,5.647731149416302e-08,9.273435264134378e-08
1882,1.5972923872453748e-08,1.1181046843944387e-07
1883,4.4235373586332116e-08,1.46608660323011e-07
1884,1.650424241717019e-08,1.3599495574112552e-07
1885,2.384885189332664e-08,1.3406921883785117e-07
1886,1.4842966744588182e-08,1.0390077109789786e-07
1887,3.786776292535876e-08,1.3188427594457153e-07
1888,2.853276637182489e-08,1.37591344318011e-07
1889,2.318100644771448e-08,1.3282089783572815e-07
1890,3.86708803867819e-08,1.4419650096186842e-07
1891,4.461954006274027e-08,1.395954223326612e-07
1892,2.2566645219157522e-08,2.2065164095863565e-07
1893,4.1877232459519576e-08,1.705881391700359e-07
1894,2.6466465019581165e-08,1.865255701005708e-07
1895,4.032471756509892e-08,2.1305895359091664e-07
1896,3.1254253296530976e-08,2.541619412710361e-07
1897,4.078699644693984e-08,2.499660105570456e-07
1898,2.998928039232851e-08,1.957790818352123e-07
1899,3.6482017407024614e-08,2.2441968106079457e-07
1900,2.024510670217694e-08,2.53842484809752e-07
1901,2.179608138419553e-08,2.3305040564025603e-07
1902,1.8168050897049426e-08,2.135973513617273e-07
1903,3.132127801563911e-08,2.624507118298425e-07
1904,2.741058846567057e-08,2.6013185916440307e-07
1905,2.3223416523165952e-08,2.337823801212835e-07
1906,2.777859586799991e-08,3.0453573174327175e-07
1907,1.1828539925318182e-08,2.679421449158781e-07
1908,1.6698722404839828e-08,2.666884277857662e-07
1909,4.7308459372175093e-08,2.4919456009797614e-07
1910,5.130384816975919e-08,2.3033289409113422e-07
1911,1.0640748615564632e-08,2.739992766009891e-07
1912,2.7609932118366487e-08,2.5942917325494363e-07
1913,2.1742257383383645e-08,2.6037679035084693e-07
1914,1.7411533548283842e-08,2.2434090851675137e-07
1915,1.6493066468115103e-08,2.167660184682063e-07
1916,7.69122365795738e-09,2.296379495447809e-07
1917,1.973956464951243e-08,3.1254310428607823e-07
1918,1.6080927700556913e-08,3.1128078248343627e-07
1919,7.366278753639932e-09,2.77156242844967e-07
1920,3.407504323149624e-08,2.9455981476189663e-07
1921,2.120369213542972e-08,3.6349187482187517e-07
1922,4.426761179843197e-08,3.4897635003972027e-07
1923,3.078624999375279e-08,2.951233533110553e-07
1924,1.675911143195208e-08,3.1584480808533044e-07
1925,4.289289345926761e-08,3.629398612758905e-07
1926,2.452150527076924e-08,2.8868497281564487e-07
1927,2.0068604555945058e-08,3.043738345809288e-07
1928,3.7705935262977164e-08,3.370682222225696e-07
1929,2.3394852499691865e-08,3.353262272298707e-07
1930,3.151081084951102e-08,3.3611531335964173e-07
1931,3.877821264097747e-08,4.24279278377071e-07
1932,3.068670217931668e-08,3.2878610412012677e-07
1933,2.294132461777565e-08,3.659141256662224e-07
1934,2.6359476379411717e-08,3.558529186875603e-07
1935,3.710168261505942e-08,4.1051213628406913e-07
1936,2.182448533005754e-08,4.1830266184206266e-07
1937,1.8886676889096066e-08,3.890655406735277e-07
1938,2.333738657878115e-08,4.5896858580363187e-07
1939,3.211750509990452e-08,4.022335318154546e-07
1940,1.7750480640899013e-08,4.919418969961953e-07
1941,1.1806010391524069e-08,3.1285928514535044e-07
1942,2.730790660265825e-08,4.1568699771232787e-07
1943,3.774205836748479e-08,4.267755606690571e-07
1944,2.5705489292704442e-08,6.297844876712588e-07
1945,3.0499055725385915e-08,4.6402135467360495e-07
1946,2.3665877257883494e-08,5.122966300064036e-07
1947,3.337843934581031e-08,4.768348489392338e-07
1948,3.1528474941922013e-08,5.120659238855296e-07
1949,3.141442705967279e-08,6.930807927574278e-07
1950,3.1906085107280546e-08,5.806907523719929e-07
1951,3.411648541451484e-08,5.277393739788749e-07
1952,1.7926167217297007e-08,5.71528396164922e-07
1953,2.0470272588113403e-08,5.677807024540016e-07
1954,3.9090143566511415e-08,5.316259716892091e-07
1955,2.4402580844906652e-08,5.922318493389866e-07
1956,3.226822453683553e-08,5.232684969769252e-07
1957,2.120408987282829e-08,6.484917847160432e-07
1958,4.136121645181845e-08,5.873292749924985e-07
