year,réflexions_NOUN in_ADJ,réflexions_NOUN fines_ADJ
1800,0.0,9.432493186523061e-08
1801,0.0,7.619784270218588e-08
1802,0.0,7.608656460433849e-08
1803,0.0,1.1116933507082649e-07
1804,0.0,1.60670310833666e-07
1805,0.0,1.250866148438945e-07
1806,2.881669125542885e-09,6.916005901302924e-08
1807,0.0,3.4163463169534225e-08
1808,0.0,6.118399653587403e-08
1809,0.0,6.7770917766551975e-09
1810,2.3401267590372754e-09,5.3822915901946544e-08
1811,0.0,6.518399686683551e-08
1812,0.0,6.13457871168066e-08
1813,2.8757416448144113e-09,7.476928232108548e-08
1814,3.1466771410748606e-09,1.2586708564299443e-08
1815,0.0,1.6183340889597275e-08
1816,0.0,4.6352077731626196e-08
1817,1.556873407970727e-09,9.341240669868967e-09
1818,1.1921177378582115e-09,8.464036227451288e-08
1819,1.035105001712111e-09,8.280840013696888e-09
1820,0.0,4.865257352548724e-08
1821,0.0,9.565643921405353e-08
1822,0.0,3.308453244699194e-08
1823,0.0,2.3718449426723964e-08
1824,0.0,2.105278085196005e-08
1825,4.4027217427355936e-09,3.78634048558979e-08
1826,0.0,3.963592831723872e-08
1827,9.217273055917019e-10,2.488663675137559e-08
1828,0.0,3.393751413227619e-08
1829,0.0,4.029392641768936e-08
1830,1.0436835840010872e-09,1.7742621594152297e-08
1831,0.0,7.795603274018958e-09
1832,0.0,6.764984572527055e-09
1833,0.0,4.6334514003376626e-09
1834,9.334530925997342e-10,2.0535967593104942e-08
1835,0.0,2.2689263801112247e-09
1836,0.0,6.048674894287842e-09
1837,0.0,4.87052354003481e-09
1838,0.0,8.837027110075724e-09
1839,0.0,2.3771015378315496e-08
1840,0.0,2.1019973317493168e-08
1841,1.2841097074556274e-09,5.778493683550323e-09
1842,0.0,8.049918065466954e-09
1843,5.906911071384968e-10,7.088293507706567e-09
1844,0.0,1.920996517412732e-08
1845,0.0,9.48638767539478e-09
1846,0.0,2.3418005312692003e-09
1847,1.0786447290911383e-09,2.2651539310913904e-08
1848,8.045221711050488e-10,1.367687652020777e-08
1849,2.513824481908955e-09,2.8490010350878947e-08
1850,6.788996032014438e-10,2.7834882843080777e-08
1851,2.579775504329973e-09,3.998652076120379e-08
1852,3.2552727180501506e-09,2.4740073101270355e-08
1853,0.0,7.166318205520383e-09
1854,0.0,1.2469595134234623e-08
1855,5.306937111981824e-10,2.2289135870323662e-08
1856,5.177189232874468e-10,7.765783571755946e-09
1857,4.881509085841174e-10,1.122747050885664e-08
1858,0.0,1.1744822003834088e-08
1859,0.0,1.7313389832906978e-08
1860,0.0,1.1900677776566226e-08
1861,0.0,2.3108222890755314e-08
1862,0.0,1.0843167252971853e-08
1863,4.994620828036034e-10,1.8480097452311384e-08
1864,0.0,1.726102105692462e-08
1865,0.0,1.6003271596787272e-08
1866,0.0,9.244664589402873e-09
1867,0.0,1.1161466417775046e-08
1868,9.87974813071446e-10,1.2843672791973404e-08
1869,0.0,2.8812763730456936e-08
1870,5.734048791339319e-10,1.490852596930381e-08
1871,0.0,2.1242354542039266e-09
1872,6.047339295989218e-10,3.0236694925633856e-08
1873,0.0,1.0774807712721213e-08
1874,0.0,8.364453130127458e-09
1875,0.0,1.1443054503956773e-08
1876,0.0,1.9951848173604958e-08
1877,0.0,4.08197848855707e-08
1878,0.0,1.268208649207736e-08
1879,0.0,1.3440515367335593e-08
1880,0.0,2.3104245627791897e-08
1881,0.0,2.3009274485730202e-08
1882,6.655385131892899e-10,3.3276925659464496e-09
1883,6.319338941018771e-10,1.3902545781263598e-08
1884,0.0,2.1125430293977843e-08
1885,0.0,1.6114089618213256e-08
1886,0.0,5.162771099520569e-09
1887,1.9586774424595887e-09,1.4363633837888301e-08
1888,0.0,1.2047167707862627e-08
1889,6.265136742733546e-10,8.771191772893872e-09
1890,6.554386478008212e-10,9.831579994568074e-09
1891,6.374220040683554e-10,2.103492668936724e-08
1892,6.268512375839919e-10,1.56712811616444e-08
1893,0.0,1.23168328869383e-08
1894,0.0,4.411077725308132e-09
1895,0.0,1.2037228991346183e-08
1896,5.89702897624278e-10,5.897029087265082e-09
1897,0.0,3.4960281336537946e-09
1898,0.0,1.1882545614128048e-08
1899,0.0,1.2160672469008205e-08
1900,5.191053142894475e-10,7.26747462209687e-09
1901,0.0,8.941982265753268e-09
1902,0.0,7.856454153909453e-09
1903,5.400220270956879e-10,1.296052865029651e-08
1904,0.0,6.987012746151322e-09
1905,0.0,2.0643036169332163e-09
1906,5.144184522798412e-10,1.800464666246171e-08
1907,0.0,9.257117739025489e-09
1908,0.0,1.276961114626829e-08
1909,3.300590023513905e-09,4.950885035270858e-09
1910,0.0,1.4429207162436342e-08
1911,0.0,1.702519725199636e-08
1912,0.0,2.6047106693738442e-09
1913,0.0,1.113627856597077e-08
1914,0.0,4.018046340092951e-09
1915,0.0,3.534228465440492e-09
1916,0.0,1.2086208478478966e-08
1917,0.0,8.773139548168274e-09
1918,1.1486376294556067e-09,1.9526840588923733e-08
1919,0.0,1.1049418269237776e-08
1920,1.514446346106979e-09,9.843901693784574e-09
1921,0.0,1.3630945261411398e-08
1922,0.0,1.1804696775641332e-08
