year,poudres_NOUN fines_ADJ
1800,3.144164484325529e-09
1801,1.1905912700171939e-08
1802,4.475680270843441e-09
1803,1.950339223455444e-09
1804,7.4155526164076946e-09
1805,5.685755422035754e-09
1806,2.305335300434308e-08
1807,5.693910232196231e-09
1808,4.5321479902327155e-09
1809,6.7770917766551975e-09
1810,1.4040760554223652e-08
1811,9.27618373225414e-08
1812,1.3336041604361526e-08
1813,4.026038169513413e-08
1814,1.5733386149463513e-08
1815,0.0
1816,0.0
1817,2.3353100786493997e-08
1818,2.5034472272977837e-08
1819,1.6561680027393777e-08
1820,0.0
1821,1.0847637454958203e-08
1822,2.0051231786055723e-08
1823,0.0
1824,1.7684335773537896e-08
1825,3.522177216552791e-09
1826,0.0
1827,9.217273166939322e-09
1828,2.109629271274116e-08
1829,3.429270423183084e-09
1830,3.1310506187764986e-08
1831,1.5591206103948707e-09
1832,2.4353944638733083e-08
1833,1.1583628500844156e-09
1834,1.4935249481595747e-08
1835,1.739510224751939e-08
1836,1.747394939854985e-08
1837,9.74104708006962e-09
1838,8.837027110075724e-09
1839,2.3771015378315496e-08
1840,3.821813088222825e-09
1841,6.420548537278137e-09
1842,3.3541325272778977e-09
1843,4.134837805480629e-09
1844,3.2931368743049916e-09
1845,7.254296274794569e-09
1846,2.2247105491146613e-08
1847,1.3483059113639229e-08
1848,5.63165514222419e-09
1849,1.0893239199560867e-08
1850,6.1100964288129944e-09
1851,8.384270167027807e-09
1852,7.812654523320361e-09
1853,8.957897534855874e-09
1854,1.558699391779328e-09
1855,9.021793090369101e-09
1856,4.141751386299575e-09
1857,1.8549734193129552e-08
1858,9.787352039936081e-10
1859,1.018434669930457e-08
1860,9.15436793036406e-09
1861,1.5091083938045813e-08
1862,1.581295272501393e-08
1863,1.4983863039219614e-08
1864,7.671564716815737e-09
1865,1.4120533187167439e-08
1866,1.6056523222118813e-08
1867,2.2808213984149006e-08
1868,3.359114231216154e-08
1869,1.2208797528501236e-08
1870,1.548193218070537e-08
1871,0.0
1872,2.8422494580127022e-08
1873,1.616221290134945e-08
1874,8.364453130127458e-09
1875,2.0597497041308088e-08
1876,1.1487427897804992e-08
1877,1.1751150275074451e-08
1878,1.0870359723469392e-08
1879,9.163987790827832e-09
1880,7.701415505323439e-09
1881,2.091752193678076e-08
1882,1.2645231528551903e-08
1883,2.5277355764075082e-09
1884,1.650424152899177e-08
1885,1.0313017106966527e-08
1886,9.034849313138693e-09
1887,3.9173548849191775e-09
1888,8.876860135842435e-09
1889,1.1277245803853475e-08
1890,2.2284913470116408e-08
1891,1.8485238229004608e-08
1892,1.5044429702015805e-08
1893,9.853466487186324e-09
1894,5.671385139294216e-09
1895,7.824199066419624e-09
1896,1.2973464080801023e-08
1897,2.3889525024856084e-08
1898,1.7540900287826844e-08
1899,1.5477219506010442e-08
1900,1.2977633190303095e-08
1901,2.51493244007861e-08
1902,1.915010727771005e-08
1903,8.100330184390714e-09
1904,1.666133897515465e-08
1905,2.0643035725242953e-08
1906,2.41776678677752e-08
1907,2.0057088434555226e-08
1908,2.357466755142923e-08
1909,1.8153246017504898e-08
1910,2.1911017000775246e-08
1911,2.181353409014264e-08
1912,2.917275843117295e-08
1913,1.2727175757731857e-08
1914,2.0759905794420774e-08
1915,1.5314990164938536e-08
1916,1.2086208478478966e-08
1917,9.869782324756216e-09
1918,1.033773866510046e-08
1919,2.3940405213807026e-08
1920,1.514446346106979e-08
1921,2.3475516641724425e-08
1922,4.869437475463201e-08
1923,9.554353752605493e-09
1924,7.734974438733389e-09
1925,1.7597084678300234e-08
1926,1.2260752413340015e-08
1927,1.2264147031260109e-08
1928,2.2852082892654835e-08
1929,1.0026365515614089e-08
1930,2.6259009189288918e-08
1931,3.42160717536899e-08
1932,3.507051715700982e-08
1933,7.685343916818965e-08
1934,1.4377896206951846e-08
1935,1.3165112555668657e-08
1936,2.7886843056990074e-08
1937,2.895957251780601e-08
1938,4.148868626430158e-08
1939,4.129393715857077e-08
1940,6.339457314652464e-08
1941,3.5418032950929046e-08
1942,2.4273694165799498e-08
1943,4.645176332473966e-08
1944,9.639558484764166e-09
1945,2.832055301382752e-08
1946,6.682130049284751e-08
1947,3.814678706248742e-08
1948,2.174377655705939e-08
1949,4.417653798327592e-08
1950,7.12569203642488e-08
1951,5.437314953837813e-08
1952,3.4797853487589236e-08
1953,4.8482224457302436e-08
1954,4.593092128857279e-08
1955,4.6928040120519654e-08
1956,4.447782231409292e-08
1957,2.47381048978923e-08
1958,2.5643954515430778e-08
1959,2.8677767716089875e-08
1960,3.5988332314218496e-08
