year,perles_NOUN fines_ADJ
1800,1.603523855919775e-07
1801,2.500241649272539e-07
1802,1.6112448975036386e-07
1803,1.8723257033670393e-07
1804,1.3100809326260787e-07
1805,1.8762993270193817e-07
1806,2.4494187744750207e-07
1807,2.2775640218242188e-07
1808,1.7222162318475398e-07
1809,2.281620856692257e-07
1810,1.8018975822542416e-07
1811,1.6295999216708879e-07
1812,1.8137015445063298e-07
1813,1.6391726842535093e-07
1814,2.6117420404148106e-07
1815,1.4565007688815967e-07
1816,1.1124498300318919e-07
1817,6.071806391005907e-08
1818,1.2040388930323331e-07
1819,7.659777168100845e-08
1820,1.1985146208814967e-07
1821,9.861488559081977e-08
1822,1.1328945959121484e-07
1823,1.4922856905741355e-07
1824,1.3894836570216285e-07
1825,1.6113961009978084e-07
1826,1.7880207492382283e-07
1827,1.714412831144152e-07
1828,2.1830076946116606e-07
1829,2.1604404309982783e-07
1830,1.3567886592014133e-07
1831,1.5903029804142932e-07
1832,1.8265458223698516e-07
1833,1.6680424486104073e-07
1834,1.6242083233919402e-07
1835,2.0949752865817572e-07
1836,1.4449612811828771e-07
1837,1.635104298625123e-07
1838,2.1776959147068453e-07
1839,1.880706880230676e-07
1840,1.8854278910351852e-07
1841,2.2728741910782446e-07
1842,2.1198117750031997e-07
1843,2.0260705335672924e-07
1844,2.3930126680227204e-07
1845,2.0870053241139885e-07
1846,1.7095143434175952e-07
1847,1.979313131172944e-07
1848,1.834310543458173e-07
1849,1.6256064672148796e-07
1850,2.2267907340278725e-07
1851,2.5088315380727977e-07
1852,2.0638428921415652e-07
1853,2.80083607862025e-07
1854,2.2185486781012287e-07
1855,2.7330726481977763e-07
1856,2.3038492447113867e-07
1857,2.845919675475983e-07
1858,3.22003874009269e-07
1859,3.966803037158684e-07
1860,3.2772636815447953e-07
1861,3.485097226363365e-07
1862,3.383971722836776e-07
1863,2.707084469921739e-07
1864,3.586456538418048e-07
1865,2.673487649040851e-07
1866,3.0507394122025744e-07
1867,3.6299029027020424e-07
1868,1.9512502946739119e-07
1869,2.1243308512275405e-07
1870,2.99890742461173e-07
1871,2.6659155150099423e-07
1872,2.9692436054329363e-07
1873,2.1190455984365641e-07
1874,2.401792940087688e-07
1875,2.523193340375762e-07
1876,2.3398077275693652e-07
1877,2.4862961134353156e-07
1878,3.013505252003057e-07
1879,1.8511255617248423e-07
1880,2.977880655397058e-07
1881,2.99120584967838e-07
1882,2.3759724365746138e-07
1883,3.576745932765135e-07
1884,3.1622129093022977e-07
1885,2.797405920240692e-07
1886,3.181557599596374e-07
1887,2.709503708619998e-07
1888,2.485520884665249e-07
1889,1.7918290384777436e-07
1890,2.0318598448199054e-07
1891,1.6827940907404582e-07
1892,1.9244332771783945e-07
1893,2.2416635703237375e-07
1894,2.659249469516567e-07
1895,2.1245708836659105e-07
1896,2.3057383463642722e-07
1897,1.9344689561329176e-07
1898,2.540601315992319e-07
1899,2.747206480080422e-07
1900,2.4449859736819235e-07
1901,3.057040285359136e-07
1902,2.6122710550247064e-07
1903,3.763953504432038e-07
1904,4.4501895235526945e-07
1905,2.0384998028477597e-07
1906,3.9301568555139e-07
1907,1.9645661053502295e-07
1908,2.2936186550026605e-07
1909,2.7504916894072196e-07
1910,2.4262443598654926e-07
1911,1.867451330239689e-07
1912,1.870182213536964e-07
1913,2.810584562862317e-07
1914,1.935358908689011e-07
1915,4.111485889524147e-07
1916,1.549232107045384e-07
1917,1.9849228038992806e-07
1918,1.929711164194714e-07
1919,2.1178051134995712e-07
1920,2.5897032740473946e-07
1921,3.7636554950370993e-07
1922,6.772945004840381e-07
1923,4.5436257511966005e-07
1924,4.331585801153892e-07
1925,4.4652602015915477e-07
1926,6.141522197466998e-07
1927,4.214407045566304e-07
1928,4.0219664532159527e-07
1929,3.264139132319599e-07
1930,3.5397144104720724e-07
1931,3.09085161909195e-07
1932,1.895999820478167e-07
1933,3.028254924597462e-07
1934,3.6064556319104213e-07
1935,2.429561680727943e-07
1936,2.6674371333967883e-07
1937,2.631543707387607e-07
1938,3.1894427854339824e-07
1939,2.38587183787331e-07
1940,1.8257637179885933e-07
1941,1.9479917057196872e-07
1942,7.585529249176659e-08
1943,1.9741999346400974e-07
1944,8.675602458652065e-08
1945,9.58541801487911e-08
1946,1.1693727763883999e-07
1947,1.3470583937191805e-07
1948,1.9895554004278893e-07
1949,1.8554145952975887e-07
1950,1.4783152768593766e-07
1951,1.9616978397252183e-07
1952,1.655534260791569e-07
1953,1.799229165655447e-07
1954,1.1336141714224368e-07
1955,1.595553289490681e-07
1956,4.3082438683228474e-07
1957,6.608608140723504e-07
1958,2.3906784396565683e-07
1959,3.3638246099698677e-07
1960,3.100533376709791e-07
1961,2.668093244118097e-07
1962,2.40360139347473e-07
1963,2.3924397396513086e-07
1964,2.1963125707014086e-07
1965,2.2161775081741553e-07
1966,1.7115741457462974e-07
1967,2.0411588863566976e-07
1968,2.3490105593992894e-07
1969,2.561551326607514e-07
1970,2.179795641765736e-07
1971,2.5589219099231286e-07
1972,3.3602461257942196e-07
1973,2.673903862770999e-07
1974,2.1995985499678739e-07
1975,2.1132476568652692e-07
1976,1.811188068412406e-07
1977,1.322275920978555e-07
1978,1.3069301219026386e-07
1979,1.3166940360243018e-07
1980,1.148400477490874e-07
1981,1.1449244674555104e-07
1982,1.1794254217711853e-07
1983,1.073603724810468e-07
1984,1.559933278105774e-07
1985,1.1970960622775806e-07
1986,1.0670184380501269e-07
1987,1.8149126113087277e-07
1988,1.9908558979153668e-07
1989,1.256779942337971e-07
1990,1.8743359142536775e-07
1991,1.5063965363992793e-07
1992,1.8788909672551313e-07
1993,1.6285270199034585e-07
1994,1.2237829905004105e-07
1995,1.127869730943587e-07
1996,1.2811420857516964e-07
1997,9.73363554201967e-08
1998,7.199875418084645e-08
1999,1.2156735229584825e-07
2000,7.819915581741554e-08
2001,7.360435527736797e-08
2002,9.288189484202292e-08
2003,9.417245988574408e-08
2004,9.910780152111442e-08
2005,1.5222673455106417e-07
2006,1.2024238671415333e-07
2007,8.388406858017561e-08
2008,1.1367363761394245e-07
2009,8.201291046283643e-08
2010,1.1573293123845474e-07
2011,9.1010531999558e-08
2012,9.395737743389532e-08
2013,1.0738131411835994e-07
2014,1.3274178767286315e-07
2015,1.5050546919859187e-07
2016,1.8103511756351054e-07
2017,7.421053516143417e-08
2018,1.0713086995295384e-07
2019,1.1300875885078554e-07
