year,plusieurs_DET os_NOUN,plusieurs_DET fosses_NOUN
1800,1.0690159513160324e-07,3.772997558826319e-08
1801,1.166779455274991e-07,7.619784270218588e-08
1802,7.161088433349505e-08,2.0140561218795483e-08
1803,3.569120767821232e-07,4.095712213825209e-08
1804,1.5572661382634578e-07,1.9774807569206132e-08
1805,2.64387618464923e-07,6.254330742194725e-08
1806,2.132435161783519e-07,8.645007376628655e-09
1807,1.9074599677537663e-07,5.693910232196231e-09
1808,7.704651494577774e-08,9.064295980465431e-09
1809,1.106924951699284e-07,1.8072244145628247e-08
1810,5.8503168531842675e-08,2.8081521108447305e-08
1811,3.7606150637969904e-08,2.0056614147279106e-08
1812,2.7205524855133945e-07,2.1337665856435706e-08
1813,2.2143210998137874e-07,1.1502966579257645e-08
1814,9.125363931161701e-08,0.0
1815,1.1598061178119679e-07,0.0
1816,1.9931393069327896e-07,4.6352077731626196e-08
1817,1.0431051578052575e-07,2.490997452753163e-08
1818,1.3828565670337412e-07,1.1921176934492905e-08
1819,1.6665190827325205e-07,2.070209959015301e-08
1820,9.018525659598708e-08,1.6613073583471305e-08
1821,6.804426611051184e-08,2.662601850111912e-08
1822,1.5840473110984021e-07,3.408709403629473e-08
1823,1.452754903041864e-07,1.7788837070042973e-08
1824,1.052639104770492e-07,1.431589158329416e-08
1825,2.0956954926987237e-07,8.805443485471187e-09
1826,1.109806011534431e-07,1.0569580766173203e-08
1827,9.217273300166084e-08,1.3825909306319772e-08
1828,1.797770985412228e-07,6.420610709767516e-09
1829,1.6117570567075745e-07,3.3435387791769244e-08
1830,1.4194096564779102e-07,1.982998831806526e-08
1831,6.860130952190957e-08,9.354723218280014e-09
1832,1.867135736022263e-07,2.4353944638733083e-08
1833,2.2124731025030542e-07,2.0850531967653296e-08
1834,2.3803054460813655e-07,3.5471217296745294e-08
1835,2.38993578705049e-07,7.563087933704082e-09
1836,1.9086929592404545e-07,2.1506400216253496e-08
1837,2.4491777494972666e-07,3.270208792649498e-08
1838,1.3255540132206534e-07,1.1993107618124554e-08
1839,1.0137639083751537e-07,2.7965900706306e-09
1840,1.1019561296787828e-07,1.5287252519424754e-08
1841,1.7913331129548737e-07,2.3113974290112083e-08
1842,7.64742233982929e-08,1.8783142152756227e-08
1843,1.0750578316454096e-07,1.00417489878879e-08
1844,6.970472932188443e-08,2.5247382184900857e-08
1845,1.4117976654404174e-07,8.370341586516616e-09
1846,1.0538102657164927e-07,2.2247105047057403e-08
1847,8.25163226636505e-08,3.182001862001016e-08
1848,8.608387552788699e-08,2.574470947536156e-08
1849,1.6423653459440857e-07,1.675882965734843e-08
1850,9.91193420674108e-08,1.425689166723032e-08
1851,1.4059777075914326e-07,2.644269958551604e-08
1852,1.1979403313766568e-07,1.6276363590250753e-08
1853,8.420423647237385e-08,8.957897534855874e-09
1854,5.819144277552368e-08,1.6106559475037585e-08
1855,1.2895857182115833e-07,1.6451505047143655e-08
1856,5.953767584498948e-08,7.248064815001953e-09
1857,6.687667597482516e-08,8.298565390418844e-09
1858,5.13835968773968e-08,9.787352261980686e-09
1859,5.0412516827691434e-08,1.1711998260111045e-08
1860,9.65785771356309e-08,1.7851017636294486e-08
1861,1.1082515039007035e-07,1.7920661399273285e-08
1862,7.725756756560287e-08,1.355395884417021e-08
1863,7.941446994452761e-08,1.9479021340362834e-08
1864,1.903507005351912e-07,2.6850476619877384e-08
1865,1.289675384263944e-07,1.7415323849689912e-08
1866,7.930949408319066e-08,2.3354942424447245e-08
1867,1.0870297373344329e-07,1.649955905236311e-08
1868,1.299186855874268e-07,4.939874287401835e-09
1869,1.416220563044135e-07,7.813630631403612e-09
1870,1.0206606715357225e-07,1.4335121978348297e-08
1871,1.6675248293296363e-07,1.274541272522356e-08
1872,1.1187577753091205e-07,2.177042168760579e-08
1873,1.2331169330082048e-07,1.855661402316855e-08
1874,9.917850940510675e-08,1.8521287614703397e-08
1875,7.724061656944059e-08,2.2886108452802034e-08
1876,8.948101903882844e-08,7.859819239897092e-09
1877,9.400920486513087e-08,6.80329748092845e-09
1878,1.3104823048948333e-07,2.8383716710322915e-08
1879,1.0813505557649705e-07,2.5048233487368066e-08
1880,7.95812948872765e-08,2.6313170087277626e-08
1881,8.785359373320034e-08,2.4403776555104173e-08
1882,1.0515508264141715e-07,1.4641847290164378e-08
1883,9.352621344049794e-08,8.21514056781325e-09
1884,7.591951867169655e-08,1.2543224237049344e-08
1885,1.2504533275503604e-07,1.9981470700258797e-08
1886,8.324968203687888e-08,1.2261581527894805e-08
1887,9.532229860997887e-08,1.1099172247952538e-08
1888,8.686642472000017e-08,1.141310668195672e-08
1889,7.392861567367959e-08,1.5662842023367318e-08
1890,7.537544410851638e-08,1.769684337959987e-08
1891,5.4818291683744746e-08,1.211101796627645e-08
1892,5.2655505733412156e-08,2.3193495568563094e-08
1893,8.313862354114576e-08,1.1085149687062312e-08
1894,4.222031479983457e-08,1.5123694296903523e-08
1895,4.092657901466623e-08,9.629783415121551e-09
1896,6.427761523042363e-08,2.1819006379431016e-08
1897,7.632994858397524e-08,8.157399200570126e-09
1898,7.186110617674046e-08,1.2448380992680086e-08
1899,4.753717242067523e-08,1.879376654301268e-08
1900,4.152842469906659e-08,9.863001082521805e-09
1901,4.918090135141995e-08,1.5089595351014395e-08
1902,1.9641134940684424e-08,1.2275709337927765e-08
1903,5.400220159934577e-08,2.8621167214026855e-08
1904,4.998401248457185e-08,1.8811187274536678e-08
1905,4.902721073563043e-08,2.115911179600971e-08
1906,7.510509103525465e-08,1.903348212373146e-08
1907,3.239991208658921e-08,1.3885677496716653e-08
1908,4.813161380567976e-08,1.3260750719723546e-08
1909,6.931239049379201e-08,2.8055015199868194e-08
1910,3.4202564336283103e-08,1.5498037186922886e-08
1911,5.320374063533251e-08,8.51259862599818e-09
1912,3.5945006970905524e-08,6.251305251225858e-09
1913,3.2878535061175995e-08,2.9166443094030825e-08
1914,4.888622839871459e-08,1.4063162190325329e-08
1915,9.188994365416647e-08,4.005459075528961e-08
1916,2.6369908923129515e-08,1.7579939282086343e-08
1917,3.3995917192441993e-08,1.6449636319748606e-08
1918,5.3985966808056673e-08,8.040463406189247e-09
1919,1.3811772170413406e-08,1.2890987832747669e-08
1920,4.467616587788825e-08,3.028892692213958e-08
1921,2.9533714140939082e-08,1.5902768879527684e-08
1922,1.9920426197472807e-08,4.426761346376651e-09
1923,2.653987030143412e-08,2.9724654293517005e-08
1924,3.9964035636330664e-08,3.867487330388997e-09
1925,4.7292163962708855e-08,4.399271169575059e-09
1926,2.452150482668003e-08,6.687683296036084e-09
1927,3.121782932158368e-08,3.3447675740205796e-09
1928,1.8281665847830197e-08,9.14083297942625e-09
1929,2.6736975300423182e-08,8.912324878096456e-09
1930,1.995684684175103e-08,7.352522590764465e-09
1931,2.8513391647777553e-08,1.4826963656844327e-08
1932,3.6166470818166374e-08,1.3151444377967891e-08
1933,4.473558146145251e-08,8.02946331646126e-09
1934,5.2718952758823434e-08,8.38710612072191e-09
1935,2.154291145473053e-08,1.9149254626427137e-08
1936,1.8187071404440758e-08,3.6374141920703096e-08
1937,1.6368453703563546e-08,2.392312481447334e-08
1938,3.5006078036303734e-08,6.482607339819424e-09
1939,3.364691103513451e-08,2.4470480752825097e-08
1940,2.5357828725702802e-08,3.0429394115571995e-08
1941,3.246652768851277e-08,1.7709016475464523e-08
1942,3.6410540360520827e-08,1.517105907566929e-08
1943,1.4516175816936538e-08,5.806470415592457e-09
1944,1.2852744646352221e-08,0.0
1945,2.178504132643866e-08,1.742803235060819e-08
1946,3.480275978517966e-08,2.0881655515836428e-08
1947,2.8610091185043984e-08,5.960435700558264e-09
1948,6.74057041294418e-08,6.523132700664291e-09
1949,1.2762110479513922e-08,1.668891425055108e-08
1950,2.0207187478860078e-08,3.190608444114673e-09
1951,4.584402679697064e-08,7.462981455041984e-09
1952,9.173979709231617e-08,7.381362632230548e-09
1953,3.9863160883335524e-08,1.1851210235391818e-08
1954,2.5408594117592997e-08,1.7590565448699635e-08
1955,3.2849627018549654e-08,1.3139850540966336e-08
1956,3.8373023869553435e-08,7.849027205963921e-09
1957,2.3854601849393475e-08,1.9437083775830644e-08
1958,5.046068363157019e-08,1.3235589513271862e-08
1959,1.9376869886400527e-08,1.3176271629333769e-08
1960,2.076250027460702e-08,1.4533749759237935e-08
1961,2.848745372929784e-08,1.250668635321972e-08
1962,4.819886784135363e-08,1.839167362849281e-08
1963,1.875155397623729e-08,2.133797571968188e-08
1964,3.224503147825075e-08,2.676946109225753e-08
1965,2.9549033997433582e-08,1.6416130066421175e-08
1966,3.101881862477285e-08,2.437192847537517e-08
1967,1.972134211492005e-08,1.9721342781053863e-08
1968,1.7965663151597866e-08,2.380450409011914e-08
1969,4.2238347264245135e-08,2.9975601334442104e-08
1970,2.2993625503620052e-08,1.74751555448438e-08
1971,2.8261186280076345e-08,2.3122789460927606e-08
1972,2.0007572487656944e-08,2.924183650776513e-08
1973,1.8193572093316845e-08,2.0950174539624555e-08
1974,2.0252057142400304e-08,2.7565300708687346e-08
1975,1.884788369821422e-08,1.770558855085369e-08
1976,2.2854107717407146e-08,2.571087143188322e-08
1977,1.5279633225340206e-08,1.9981058252405148e-08
1978,1.3663359665905261e-08,2.8514838934512454e-08
1979,1.2874341370761044e-08,3.160065675800183e-08
1980,2.956278433163817e-08,3.638496481883635e-08
1981,2.1506868064236073e-08,4.491140170870267e-08
1982,1.5518755391852324e-08,3.41412622617554e-08
1983,1.5156758292889094e-08,3.220811173321181e-08
1984,1.6817123971168968e-08,2.7255340206977507e-08
1985,2.1054452403745927e-08,3.6093348754207e-08
1986,1.3187867908825979e-08,4.0163050885055895e-08
1987,1.4054878705316298e-08,4.0942472967486765e-08
1988,1.739000632383636e-08,2.878345828349893e-08
1989,2.030605150693532e-08,2.1952487827547884e-08
1990,1.6345952147389653e-08,3.105731138930423e-08
1991,9.37834432335194e-09,2.989347258619546e-08
1992,1.76318211142501e-08,5.620143106455089e-08
1993,1.4401939640862338e-08,3.822053074031828e-08
1994,1.2659824244476425e-08,5.32767598926398e-08
1995,1.2471636501310002e-08,2.4943274112843028e-08
1996,2.348760630432878e-08,4.110330831252895e-08
1997,1.198723642570343e-08,4.5072007459623364e-08
1998,1.2873949239988747e-08,2.9085587716082273e-08
1999,2.879226779217703e-08,4.341691006715109e-08
2000,1.943933924941632e-08,3.1368024178135556e-08
2001,1.3581756164171566e-08,4.687896559829596e-08
2002,1.9715496790695397e-08,3.724038233343663e-08
2003,2.7918383160852045e-08,4.333599701311641e-08
2004,1.629772783395822e-08,3.259545522382723e-08
2005,2.2969123714133843e-08,3.332774678455053e-08
2006,2.5530916936133963e-08,3.088417521723841e-08
2007,2.9559148906344035e-08,4.074369197581973e-08
2008,1.9584223354129904e-08,2.4267405640543416e-08
2009,2.3840961871357536e-08,4.672828612939384e-08
2010,2.1257068549829228e-08,1.6533275637442557e-08
2011,3.4033350304607524e-08,1.2236710256186001e-08
2012,3.131912573728357e-08,1.804253912940368e-08
2013,2.8449075761827203e-08,7.809550117698905e-09
2014,2.4252986507988794e-08,1.2343037369966225e-08
2015,2.2165754787195624e-08,4.654808538617772e-09
2016,2.278474076078396e-08,7.663958190295972e-09
2017,2.7671724467381864e-08,8.804639961557115e-09
2018,2.6847253253858838e-08,1.4198067277426674e-08
2019,2.627517448061667e-08,8.673358475874693e-09
