year,tels_ADJ fils_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,1.4040760554223652e-08
1811,1.0028307073639553e-08
1812,2.6672082320544632e-09
1813,0.0
1814,6.293354282149721e-09
1815,0.0
1816,0.0
1817,1.8682481339737933e-08
1818,0.0
1819,0.0
1820,7.119888678630559e-09
1821,0.0
1822,2.0051231786055723e-09
1823,0.0
1824,0.0
1825,3.258013947515792e-08
1826,0.0
1827,0.0
1828,1.8344602503717056e-09
1829,0.0
1830,4.174734336004349e-09
1831,0.0
1832,5.411987746839486e-09
1833,1.1583628500844156e-09
1834,0.0
1835,7.563087933704082e-10
1836,0.0
1837,0.0
1838,1.2624323808552163e-09
1839,4.194885327990505e-09
1840,1.9109065441114126e-09
1841,4.494383976094696e-09
1842,6.708265054555795e-10
1843,1.7720733769266417e-09
1844,5.488561161115513e-09
1845,5.580227946389016e-10
1846,5.854501328173001e-10
1847,1.6179670936367074e-09
1848,0.0
1849,0.0
1850,6.788996032014438e-10
1851,1.2898877521649865e-09
1852,3.906327261660181e-09
1853,1.1943863675867306e-09
1854,4.676098175337984e-09
1855,1.5920811335945473e-09
1856,2.5885946719483854e-09
1857,2.9289055625270066e-09
1858,3.4255731584664773e-09
1859,7.129042689513199e-09
1860,9.15436793036406e-09
1861,1.4147891747029462e-09
1862,2.2589932147099034e-09
1863,3.995696662428827e-09
1864,2.3973640850272204e-09
1865,3.765475486972036e-09
1866,9.731225825149181e-10
1867,9.7056229719783e-10
1868,4.44588676984381e-09
1869,9.767038289254515e-10
1870,1.8922360567330543e-08
1871,6.37270636261178e-09
1872,4.8378714367913744e-09
1873,0.0
1874,7.169530746864439e-09
1875,5.721527140956084e-10
1876,0.0
1877,4.9478527941460015e-09
1878,6.039088673581716e-10
1879,0.0
1880,4.492492600149944e-09
1881,2.091752326904839e-09
1882,6.655385131892899e-10
1883,1.8958017378167824e-09
1884,7.2618666635548834e-09
1885,2.5782542767416317e-09
1886,6.453463874400711e-10
1887,5.223139698529167e-09
1888,2.53624587998047e-09
1889,1.2530273485467092e-09
1890,1.3108772956016423e-09
1891,1.2748440525456317e-08
1892,9.402768341715273e-09
1893,1.4164357686752282e-08
1894,5.041231432301174e-09
1895,5.416753268150387e-09
1896,7.66613794667137e-09
1897,4.078699600285063e-09
1898,5.6583548957434e-10
1899,6.080336234504102e-09
1900,5.710158568206225e-09
1901,1.1177477832191585e-09
1902,2.455141867585553e-09
1903,2.7001101354784396e-09
1904,1.7736262236667244e-08
1905,2.580379465655369e-09
1906,1.0288369045596824e-09
1907,3.0857059130084963e-09
1908,7.858222517143076e-09
1909,1.1001967115120692e-09
1910,1.068830135508847e-09
1911,3.1922244847493175e-09
1912,3.125652625612929e-09
1913,4.772690687104841e-09
1914,1.3393487430235496e-09
1915,3.534228465440492e-09
1916,1.4283700444650549e-08
1917,2.631941953268324e-08
1918,1.033773866510046e-08
1919,1.8415696745321952e-09
1920,2.2716695191604686e-09
1921,6.058197943303867e-09
1922,2.951174193910333e-09
1923,5.307974060286824e-09
1924,5.156649773851996e-09
1925,6.598906754362588e-09
1926,4.458455382660986e-09
1927,8.919379901328739e-09
1928,5.713020723163709e-09
1929,0.0
1930,4.201441416995522e-09
1931,6.843213995466613e-09
1932,1.0959536611565568e-09
1933,1.1470662197865522e-09
1934,0.0
