year,êtes_VERB aux_ADP,êtes_VERB faux_ADJ,etes_VERB aux_ADP
1800,5.0306631749208464e-08,0.0,0.0
1801,4.7623650800687756e-08,0.0,0.0
1802,2.2378401354217203e-08,0.0,0.0
1803,8.386458461018265e-08,3.900678446910888e-09,0.0
1804,6.179627121127851e-08,2.4718509905596875e-08,0.0
1805,9.381496113292087e-08,0.0,0.0
1806,1.123850950079941e-07,5.76333825108577e-09,0.0
1807,1.3095993267597805e-07,0.0,0.0
1808,5.891792298484688e-08,0.0,0.0
1809,5.6475762733043666e-08,0.0,0.0
1810,1.2870697219113936e-07,0.0,0.0
1811,5.0141537144554604e-08,1.7549536934780008e-08,0.0
1812,3.7340914360584065e-08,5.3344164641089264e-09,0.0
1813,3.163315653864629e-08,8.627225156487839e-09,0.0
1814,7.866692897096073e-08,0.0,0.0
1815,7.012781111370714e-08,2.697223555614414e-09,0.0
1816,1.5296186006708012e-07,0.0,0.0
1817,4.826307531402563e-08,9.341240669868967e-09,0.0
1818,6.795070817133819e-08,7.152706427149269e-09,0.0
1819,6.728182455617571e-08,4.140420006848444e-09,0.0
1820,5.102586797534059e-08,7.119888678630559e-09,0.0
1821,7.691961201317099e-08,0.0,0.0
1822,8.922798144794797e-08,4.010246357211145e-09,1.0025615893027862e-09
1823,6.81905376609393e-08,1.087095569118901e-08,0.0
1824,5.4737231636181605e-08,3.3684450784221553e-09,0.0
1825,8.453225319726698e-08,1.6730341556581152e-08,0.0
1826,8.719904798226707e-08,2.554315514657901e-08,0.0
1827,9.125100319806734e-08,7.373818444733615e-09,3.6869092223668076e-09
1828,1.0915038473058303e-07,0.0,0.0
1829,9.601956918459109e-08,7.715858174606183e-09,1.714635211591542e-09
1830,8.036363396968227e-08,1.0436835840010872e-09,0.0
1831,9.042899762334855e-08,0.0,0.0
1832,6.088486514954639e-08,2.705993873419743e-09,0.0
1833,1.2394482951094687e-07,0.0,0.0
1834,8.121041616959701e-08,0.0,0.0
1835,1.1420262779893164e-07,1.0588323107185715e-08,0.0
1836,8.535352691296794e-08,3.36037508930076e-09,0.0
1837,8.279890550966229e-08,7.653680356156656e-09,6.957890930081589e-10
1838,8.710783561127755e-08,1.8936485712828244e-09,6.312161904276081e-10
1839,6.571986688186371e-08,6.9914751765765e-10,0.0
1840,7.325142092895476e-08,2.5478754661634184e-09,0.0
1841,1.0914932602190675e-07,0.0,0.0
1842,9.12324082946725e-08,0.0,0.0
1843,9.51012708583221e-08,1.1813822142769936e-09,0.0
1844,1.0812465944809446e-07,0.0,0.0
