year,huiles_NOUN fines_ADJ
1800,2.829747991484055e-08
1801,4.286128785224719e-08
1802,3.3567602031325805e-08
1803,2.145373123596528e-08
1804,4.943701892301533e-09
1805,4.5486043376286034e-08
1806,8.645007376628655e-09
1807,4.839823830593559e-08
1808,4.758755522971114e-08
1809,1.581321384946932e-08
1810,9.360507036149102e-09
1811,5.0141535368197765e-09
1812,8.00162425207418e-09
1813,1.7254450312975678e-08
1814,0.0
1815,0.0
1816,2.3176038865813098e-09
1817,9.341240447824362e-09
1818,7.152706427149269e-09
1819,1.9666995143552413e-08
1820,2.1359666035891678e-08
1821,1.7750679148775816e-08
1822,8.02049271442229e-09
1823,2.8659792428165076e-08
1824,0.0
1825,2.993850500843109e-08
1826,6.1655889282974385e-09
1827,2.6730091917670507e-08
1828,2.8434133270138773e-08
1829,1.971830521085849e-08
1830,1.3567886369969528e-08
1831,5.14509785887185e-08
1832,1.0823975604701275e-08
1833,5.791814139399776e-09
1834,1.213489042584115e-08
1835,8.31939672707449e-09
1836,6.048674894287842e-09
1837,6.957891041103892e-09
1838,1.4517972601879592e-08
1839,2.1673573269431756e-08
1840,3.821813199245128e-09
1841,6.420548537278137e-09
1842,1.475818356411196e-08
1843,8.860366662588604e-09
1844,1.591682791124427e-08
1845,1.3392547071333638e-08
1846,5.854501106128396e-09
1847,1.4022381478184798e-08
1848,8.04522137798358e-09
1849,5.02764896381791e-09
1850,6.1100964288129944e-09
1851,8.384270611117017e-09
1852,1.1067927241370512e-08
1853,7.166318205520383e-09
1854,1.5586992863081406e-08
1855,1.1144567935161831e-08
1856,2.5885945831305435e-08
1857,2.636014961865385e-08
1858,6.361778659424999e-09
1859,2.2405562960514658e-08
1860,1.3273833754379183e-08
1861,2.782418651037233e-08
1862,2.2138133159987916e-08
1863,2.4973103585068657e-08
1864,2.0137857603685916e-08
1865,2.3063538245882143e-08
1866,1.216403244796993e-08
1867,1.844068364675877e-08
1868,3.408512938563035e-08
1869,1.12320943657096e-08
1870,1.0894692703544706e-08
1871,1.5931766128574054e-08
1872,7.256807044164759e-09
1873,2.154961609157624e-08
1874,1.1351757756017378e-08
1875,9.7265964171811e-09
1876,3.02300739996042e-09
1877,3.092408140670244e-08
1878,5.4351798062235446e-09
1879,3.665595160740054e-09
1880,3.144744731287119e-08
1881,6.9725074602899895e-09
1882,7.986462158271479e-09
1883,8.21514056781325e-09
1884,1.0562715146988921e-08
1885,1.6114089174124047e-08
1886,1.5488313742650917e-08
1887,1.8933882017790893e-08
1888,7.60873763994141e-09
1889,1.4409814674820609e-08
1890,5.243509015873116e-09
1891,1.0198752065093686e-08
1892,1.2537024973724442e-08
1893,2.0938616229759788e-08
1894,1.1972924207626079e-08
1895,1.8657704048408164e-08
1896,8.845543741919926e-09
1897,1.5149455467877715e-08
1898,1.0185038923360423e-08
1899,8.291367592505594e-09
1900,1.557315876254961e-08
1901,4.470991188387785e-09
1902,1.620393641488249e-08
1903,4.212171833550826e-08
1904,1.3436562973367927e-08
1905,1.0321518417732989e-08
1906,2.5206503551089554e-08
1907,1.0285686691258178e-08
1908,9.822778146428846e-09
1909,2.47544256204435e-08
1910,1.0153886287334046e-08
1911,1.1172786140711821e-08
1912,6.251305251225858e-09
1913,2.5454351515463713e-08
1914,1.0045115850232378e-08
1915,0.0
1916,1.9777431248257926e-08
1917,1.3159709100207806e-08
1918,2.067547733020092e-08
1919,4.603924352863942e-09
1920,8.329454903588385e-09
1921,2.877644078580488e-08
1922,1.696925089333945e-08
1923,1.3800733000834953e-08
1924,1.804827398643738e-08
1925,2.0896537833436923e-08
1926,1.2260752413340015e-08
1927,1.3379070296082318e-08
1928,7.998228745975666e-09
1929,2.8965056575458448e-08
1930,1.680576589002669e-08
1931,1.1405356659111021e-08
1932,1.2055489939655217e-08
1933,1.9500125958415992e-08
1934,1.677421224144382e-08
1935,2.393656917121234e-08
1936,2.667437160042141e-08
1937,2.2664012444550963e-08
1938,1.5558256905023882e-08
1939,9.176430282309411e-09
1940,2.2822046474857416e-08
1941,5.9030051957620344e-09
1942,3.034211770724937e-09
1943,2.9032352077962287e-09
1944,9.639558484764166e-09
1945,2.178504043826024e-09
1946,5.568441707737293e-09
1947,1.4305045148432782e-08
1948,1.1959077061973744e-08
1949,1.0798709038084553e-08
1950,7.444753258312176e-09
1951,1.2793682113709792e-08
1952,7.381362632230548e-09
1953,0.0
1954,9.772536113672459e-10
1955,3.754243138587299e-09
1956,2.616342476002842e-09
1957,3.534015080575159e-09
1958,8.272243445794913e-10
1959,2.325224457422337e-09
1960,4.844583401109048e-09
1961,2.08444772553662e-09
1962,1.9025869768540815e-09
1963,3.2330267352165265e-09
1964,3.041984220075733e-09
1965,3.2832261354087677e-09
1966,7.754704656193212e-09
1967,2.465167847631733e-09
1968,4.940557296606585e-09
1969,5.904285060864822e-09
1970,1.1496812168942938e-08
1971,1.0276794970565106e-08
1972,9.234264464197395e-09
1973,1.102640756478479e-09
1974,2.2502286700643026e-09
1975,1.1422960355389478e-09
1976,1.142705374768127e-09
1977,5.876781838942691e-10
1978,7.722768868845264e-09
1979,5.851973350345929e-10
1980,3.411090521154847e-09
1981,0.0
1982,2.483000915987077e-09
1983,1.2630632095778083e-09
1984,0.0
1985,4.812446441349039e-09
1986,1.1988970927134801e-09
1987,3.0554083707556856e-09
1988,5.996553809062277e-10
1989,1.0976244357863152e-09
1990,1.089730194969718e-09
1991,2.344586136349136e-09
1992,1.1019888335184191e-09
1993,1.1078414852150331e-09
1994,5.274926606624319e-10
1995,3.253470381991974e-09
1996,1.5480466686312866e-08
1997,4.79489448146353e-10
1998,2.86087753487152e-09
1999,1.3710603763428253e-09
2000,4.4180314962005696e-10
2001,1.3143635069212678e-09
2002,4.38122149670761e-10
2003,4.1669229178253886e-10
2004,8.809582507929292e-10
2005,2.7022496462691947e-09
2006,8.235779835885637e-10
2007,3.994479469415779e-10
2008,0.0
2009,9.53638501499654e-10
2010,3.7790344187271785e-09
2011,3.82397197240536e-10
2012,1.0212758416727752e-09
2013,1.9523875849358774e-09
2014,1.0827225782605865e-09
2015,1.329945265027277e-09
2016,2.6927421681310904e-09
2017,2.515611330355938e-10
2018,1.0325866828253538e-09
2019,1.2754939326953263e-09
