year,bons_ADJ fils_NOUN
1800,2.5153315874604232e-08
1801,2.3811825844433088e-08
1802,6.489736392722989e-08
1803,3.705644591178725e-08
1804,6.179627121127851e-08
1805,1.2508661839660817e-07
1806,8.068673817973604e-08
1807,4.839823830593559e-08
1808,3.6257183921861724e-08
1809,6.777091243748146e-08
1810,3.2761775070611066e-08
1811,5.0141535368197765e-09
1812,5.067695596494559e-08
1813,2.8757416004054903e-08
1814,7.237357380063258e-08
1815,5.3944472000466703e-08
1816,5.3304887615013286e-08
1817,4.981994905506326e-08
1818,4.887682547582983e-08
1819,5.796588098405664e-08
1820,4.2719332959961775e-08
1821,8.185035049734779e-08
1822,2.8071724500478012e-08
1823,4.24955550748507e-08
1824,4.210556259209852e-08
1825,2.4655239627691117e-08
1826,2.5543153592266776e-08
1827,3.502563927781921e-08
1828,3.026859407562199e-08
1829,3.25780691312616e-08
1830,3.7572609690172953e-08
1831,4.2096256702706114e-08
1832,1.7588959622116818e-08
1833,3.822597571812025e-08
1834,7.28093425550469e-08
1835,3.6302822081779595e-08
1836,3.22596004909137e-08
1837,2.2961040846425362e-08
1838,4.292270050498814e-08
1839,4.4046291947097416e-08
1840,3.821813121529516e-08
1841,5.072233477676491e-08
1842,3.6895457355967665e-08
1843,3.6622849641787525e-08
1844,3.1284798751585186e-08
1845,3.62714816515286e-08
1846,2.8101606819319613e-08
1847,3.128069891999985e-08
1848,4.66622847028475e-08
1849,7.625267528510449e-08
1850,4.412847509627227e-08
1851,3.805168802273329e-08
1852,2.9948508561972176e-08
1853,2.38877269076454e-08
1854,2.961528799971802e-08
1855,3.502578493908004e-08
1856,4.4523827180675823e-08
1857,2.7336451324799782e-08
1858,3.327699715782728e-08
1859,4.53203412575931e-08
1860,3.6617470111632855e-08
1861,3.631291944916626e-08
1862,3.9758280279134084e-08
1863,6.143383668444358e-08
1864,3.548098703731739e-08
1865,3.012380350719823e-08
1866,2.2868380966656332e-08
1867,4.51311468196991e-08
1868,3.556709193830443e-08
1869,3.320793073857686e-08
1870,2.064257476064313e-08
1871,1.2745412947268164e-08
1872,4.354084381930079e-08
1873,3.95076291681562e-08
1874,2.6885741966076182e-08
1875,2.9179788085809122e-08
1876,2.9020871039620033e-08
1877,4.5767638900962027e-08
1878,2.4156355027393772e-08
1879,4.643087381239752e-08
1880,1.8611753915820373e-08
1881,4.462404717964219e-08
1882,5.523969504039883e-08
1883,4.802697617378726e-08
1884,7.790002332086488e-08
1885,1.4824961702686323e-08
1886,3.1621972595985426e-08
