year,deux_DET in_ADJ,deux_DET fines_ADJ
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,5.685755422035754e-09,2.842877711017877e-09
1806,1.152667650217154e-08,8.645007376628655e-09
1807,0.0,0.0
1808,4.5321479902327155e-09,0.0
1809,1.129515236897305e-08,0.0
1810,7.020380277111826e-09,0.0
1811,5.0141535368197765e-09,2.5070767684098882e-09
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,2.5881675469463516e-08
1814,3.1466771410748606e-09,2.5173417128598885e-08
1815,2.697223555614414e-09,1.8880564667256294e-08
1816,0.0,0.0
1817,1.556873407970727e-08,0.0
1818,0.0,0.0
1819,2.070210003424222e-09,0.0
1820,3.5599443393152796e-09,0.0
1821,0.0,0.0
1822,8.02049271442229e-09,0.0
1823,5.929612356680991e-09,5.929612356680991e-09
1824,6.736890156844311e-09,4.210556348027694e-09
1825,0.0,0.0
1826,8.807984341885344e-10,0.0
1827,2.7651818612639545e-09,1.2904182611350734e-08
1828,1.8344602503717056e-09,9.172301251858528e-10
1829,3.429270423183084e-09,9.430493719264632e-09
1830,1.0436835840010872e-09,1.0436835395921662e-08
1831,4.677361609140007e-09,6.236482441579483e-09
1832,2.705993873419743e-09,1.6235963684607668e-08
1833,1.1583628278799551e-08,0.0
1834,0.0,9.334530925997342e-10
1835,3.025235173481633e-09,0.0
1836,6.720750067579218e-10,5.376600054063374e-09
1837,1.3915781860163179e-09,6.957890930081589e-10
1838,1.2624323808552163e-09,1.8936485712828244e-09
1839,1.3982950353153e-09,9.788065025162496e-09
1840,1.9109065441114126e-09,5.0957510988602905e-09
1841,5.1364388298225094e-09,6.420548537278137e-10
1842,4.024959032733477e-09,0.0
1843,5.906910960362666e-09,8.269675388916653e-09
1844,2.195424508855126e-09,2.195424508855126e-09
1845,7.254296274794569e-09,4.464182357111213e-09
1846,5.854501328173001e-10,5.854501328173001e-10
1847,3.775256551818984e-09,0.0
1848,0.0,1.367687652020777e-08
1849,4.1897072478036534e-09,5.865590679832167e-09
1850,2.0366988096043315e-09,0.0
1851,2.579775504329973e-09,6.449438760824933e-10
1852,5.859490670445666e-09,3.580799856628403e-08
1853,1.1943863675867306e-09,1.0749477752369785e-08
1854,2.597832227113628e-09,1.8184825645306546e-08
1855,3.714855978387277e-09,3.1841622671890946e-09
1856,1.0354378465748937e-09,5.694908100650764e-09
1857,4.393358121745905e-09,2.9777205812209218e-08
1858,1.468102750479261e-09,1.468102750479261e-09
1859,3.055304009791371e-09,1.5276520048956854e-09
1860,1.830873536112776e-09,3.204028820036342e-09
1861,9.431927461278633e-10,1.7920661399273285e-08
1862,1.8071945051545413e-09,1.581295272501393e-08
1863,9.989241711583219e-09,1.5982786649715308e-08
1864,1.1986820203091497e-08,9.589456340108882e-09
1865,9.41368871743009e-10,1.4120533631256649e-09
1866,6.811858299649032e-09,7.298419424373037e-09
1867,8.249779526181555e-09,8.73506067478047e-09
1868,1.975949626142892e-09,2.6675319952929044e-08
1869,8.30198221279943e-09,1.4650557544904075e-08
1870,1.7202146374017957e-09,1.1468097582678638e-09
1871,3.18635318130589e-09,3.080141297573391e-08
1872,1.2094678591978436e-09,1.9956219565742117e-08
1873,1.7958013409646867e-09,3.2923026249687126e-08
1874,1.1949218281515073e-09,2.3898437007119355e-08
1875,5.721527140956084e-10,9.154443425529735e-09
1876,2.418405919968336e-09,3.8089892351322874e-08
1877,5.566334393414252e-09,2.0409892664829954e-08
1878,1.1715831993441839e-07,1.509772218355465e-08
1879,1.832797580370027e-09,2.8713828537085817e-08
1880,7.059631101924424e-09,2.8880308144962896e-08
1881,5.578006168072136e-09,2.9981783389310124e-08
1882,3.3276925659464496e-09,7.986462158271479e-09
1883,4.423537092179686e-09,2.464542170343975e-08
1884,4.621187876807653e-09,1.9805090012425808e-08
1885,2.5782542767416317e-09,2.8360796378024133e-08
