year,toutes_DET âmes_NOUN,toutes_DET ames_NOUN,toutes_DET femmes_NOUN
1800,0.0,6.288328968651058e-09,4.4018303668735825e-08
1801,0.0,0.0,0.0
1802,0.0,0.0,1.7902721083373763e-08
1803,0.0,0.0,3.705644502360883e-08
1804,0.0,0.0,3.4605911691798497e-08
1805,0.0,2.842877755426798e-08,1.1371510844071508e-08
1806,1.729001475325731e-08,2.881669125542885e-09,6.627838899930794e-08
1807,2.8469551160981155e-09,0.0,3.131650672116848e-08
1808,2.2660739951163578e-09,0.0,2.945896149242344e-08
1809,0.0,0.0,2.710836621844237e-08
1810,2.3401267590372754e-09,0.0,4.680253518074551e-09
1811,0.0,0.0,5.766276611751664e-08
1812,5.3344164641089264e-09,5.3344164641089264e-09,2.6672082320544632e-08
1813,2.8757416448144113e-09,0.0,4.3136124450171565e-08
1814,0.0,9.440031423224582e-09,4.090680150170556e-08
1815,0.0,2.1577788000826104e-08,1.6183340889597275e-08
1816,0.0,0.0,1.3905623319487859e-08
1817,0.0,4.670620334934483e-09,3.269434190045217e-08
1818,3.5763532135746345e-09,1.7881765401739358e-08,8.344824387052086e-09
1819,3.1053151161586356e-09,9.315945348475907e-09,7.452755923509358e-08
1820,3.5599443393152796e-09,7.119888678630559e-09,4.9839222526770754e-08
1821,5.9168927535324656e-09,0.0,1.8736827200882544e-08
1822,0.0,6.015369535816717e-09,3.408709403629473e-08
1823,0.0,2.174191138237802e-08,6.621400228112861e-08
1824,4.210556348027694e-09,2.189489300974401e-08,6.568467902923203e-08
1825,2.641632912414593e-09,4.4027217427355936e-09,4.3146671568905504e-08
1826,8.807984341885344e-10,0.0,1.1450379200361738e-08
1827,3.6869092223668076e-09,9.217273055917019e-10,8.01902728109205e-08
1828,9.172301251858528e-10,8.255071293206129e-09,2.7516904310687096e-08
1829,1.714635211591542e-09,3.429270478694235e-09,4.029392641768936e-08
1830,1.0436835840010872e-09,9.39315203396518e-09,4.174734158368665e-08
1831,3.1182412207897414e-09,7.795603274018958e-09,2.8064171431196883e-08
1832,0.0,5.411987746839486e-09,2.0294953273491956e-08
1833,1.1583628500844156e-09,0.0,1.0425265983826648e-08
1834,4.667265685043276e-09,0.0,4.200539005516646e-08
1835,2.2689263801112247e-09,5.294161553592858e-09,4.0840674842002045e-08
1836,3.36037508930076e-09,6.048674894287842e-09,3.6964125260663394e-08
1837,2.1569462660409044e-08,1.0436836284100082e-08,4.940102682482461e-08
1838,1.2624323808552163e-09,1.2624323808552163e-09,9.152634916631541e-08
1839,6.29232765891885e-09,6.9914751765765e-10,4.194885239172663e-08
1840,2.547875410652267e-09,2.5478754661634184e-09,5.095750843508995e-08
1841,0.0,6.420548537278137e-10,5.5216716976502767e-08
1842,2.0124795163667386e-09,1.341653010911159e-08,3.085801925095666e-08
1843,4.7255288571079745e-09,0.0,4.6073906523336206e-08
1844,5.708103856250091e-08,1.3721403568922597e-08,3.896878647546842e-08
1845,4.464182357111213e-09,7.812318791877715e-09,3.0691253094516924e-08
1846,5.854501328173001e-09,5.854501328173001e-10,4.976326239969353e-08
1847,3.775256551818984e-09,1.0786447290911383e-09,5.123562463182907e-08
1848,3.218088684420195e-09,4.02261068899179e-09,2.494018680465615e-08
1849,4.1897072478036534e-09,0.0,6.368355398578274e-08
1850,2.0366988096043315e-09,1.3577992064028876e-09,5.159636895513131e-08
1851,2.579775504329973e-09,3.2247193804124663e-09,4.83707909282316e-08
1852,5.859490670445666e-09,6.510545436100301e-10,7.291810710796653e-08
1853,4.359510263896027e-08,1.1943863675867306e-09,9.077336082796705e-08
1854,2.182179148491059e-08,2.5978321716024766e-09,7.949366925830148e-08
1855,1.4859423913549108e-08,0.0,4.8823821430232783e-08
1856,1.0872097611080989e-08,6.212626857404757e-09,3.054541508618058e-08
1857,2.4407544874094356e-09,2.928905451504704e-09,5.613735476472925e-08
1858,5.3830437884982985e-09,4.404308473482388e-09,8.368186099616537e-08
1859,1.1202781591279631e-08,5.09217357169689e-09,1.3748868266105774e-08
1860,1.8766454251695208e-08,2.746310290291376e-09,3.753290753194527e-08
1861,1.0375120318428799e-08,7.073945651470126e-09,1.886385503357957e-08
1862,6.325180851307621e-09,2.2589932147099034e-09,3.6595690477980725e-08
1863,9.489779906335372e-09,4.495158800743582e-09,3.845858087547782e-08
1864,9.109982990196386e-09,1.4384183844029508e-09,3.835782536043553e-08
1865,8.47231973466478e-09,4.706844247692743e-09,5.2245972881337366e-08
1866,9.731225825149181e-10,0.0,3.5518974872417175e-08
