year,terres_NOUN in_ADJ,terres_NOUN fines_ADJ
1800,1.5720821977538435e-08,9.432493897065797e-09
1801,1.4287095950749062e-08,2.3811825844433088e-09
1802,4.475680270843441e-09,5.818384352096473e-08
1803,1.755305234496518e-08,1.950339223455444e-09
1804,2.4718509461507665e-09,0.0
1805,1.421438877713399e-08,1.9900143755080535e-08
1806,2.881669125542885e-09,0.0
1807,5.693910232196231e-09,0.0
1808,2.4926814390369145e-08,1.1330369531492579e-08
1809,4.518061036407062e-09,4.743964154840796e-08
1810,5.148278958699848e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,2.1337665856435706e-08,0.0
1813,5.751483289628823e-09,0.0
1814,9.440030979135372e-09,0.0
1815,1.8880564667256294e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,6.227493631882908e-09,0.0
1818,8.344824387052086e-09,1.1921177378582115e-09
1819,1.1386155129855524e-08,0.0
1820,3.5599443393152796e-09,0.0
1821,6.903041693817613e-09,1.97229765852569e-09
1822,8.02049271442229e-09,2.0051231786055723e-09
1823,4.941343334508019e-09,9.882686891060644e-10
1824,4.210556348027694e-09,8.421112696055388e-10
1825,6.163809906922779e-09,0.0
1826,1.4973572604048968e-08,8.807984341885344e-10
1827,1.1060727445055818e-08,9.217273055917019e-10
1828,1.8344602503717056e-09,1.8344602503717056e-09
1829,9.430493719264632e-09,0.0
1830,4.174734336004349e-09,9.39315203396518e-09
1831,0.0,1.5591206548037917e-08
1832,8.117981842303834e-09,0.0
1833,1.7375443306377747e-08,0.0
1834,1.0267983796552471e-08,9.334530925997342e-10
1835,9.832014313815307e-09,3.781543966852041e-09
1836,2.688300027031687e-09,2.016224964762614e-09
1837,4.87052354003481e-09,4.87052354003481e-09
1838,1.3255539776935166e-08,1.2624323808552163e-09
1839,2.7965900706306e-09,1.3982950353153e-09
1840,3.821813088222825e-09,0.0
1841,1.926164561183441e-09,6.420548537278137e-10
1842,1.0062397137744483e-08,1.341653010911159e-09
1843,7.088293507706567e-09,2.953455480181333e-09
1844,6.586273748609983e-09,1.6465684371524958e-09
1845,6.696273757711424e-09,1.1160455892778032e-09
1846,4.0981511517657054e-09,1.1709002656346001e-09
1847,1.5101026207275936e-08,0.0
1848,5.63165514222419e-09,3.218088684420195e-09
1849,5.865590679832167e-09,8.379414939696517e-10
1850,3.394498016007219e-09,4.073397619208663e-09
1851,3.2247193804124663e-09,0.0
1852,3.906327261660181e-09,6.510545436100301e-10
1853,7.763511611358354e-09,0.0
1854,4.676098175337984e-09,0.0
1855,6.8990182455763716e-09,5.306937111981824e-10
1856,6.212626857404757e-09,0.0
1857,6.345961978126979e-09,2.4407544874094356e-09
1858,3.9149408159744326e-09,1.9574704079872163e-09
1859,1.1202780925145817e-08,1.018434669930457e-09
1860,5.950338888283113e-09,0.0
1861,3.3011746669586728e-09,1.8863854922557266e-09
1862,5.421583626485926e-09,2.2589931591987522e-09
1863,8.990317823531768e-09,1.4983863039219614e-09
1864,2.3973640850272204e-09,9.589455896019672e-10
1865,6.589582213223366e-09,1.4120533631256649e-09
1866,8.271541673821048e-09,4.865612912574591e-10
1867,5.82337378318698e-09,9.7056229719783e-10
1868,5.9278488784286765e-09,2.9639245502366407e-09
1869,0.0,4.883519144627257e-10
1870,2.2936195165357276e-09,8.027668307875047e-09
1871,9.559059321873065e-09,1.3807530230280918e-08
1872,3.628403577593531e-09,6.047339295989218e-10
1873,7.183205141814142e-09,1.1373408881354408e-08
1874,1.7923826867161097e-09,5.974609140757536e-10
1875,2.2886108563824337e-09,3.432916173551348e-09
1876,6.650616057868319e-09,9.069021977836655e-09
1877,6.184816214727107e-09,6.184816214727107e-09
1878,1.2078177347163432e-09,4.22736201599605e-09
1879,3.0546627449723474e-09,6.10932526790009e-10
1880,4.492492600149944e-09,7.059631101924424e-09
1881,2.091752326904839e-09,4.183504653809678e-09
1882,8.652000893505374e-09,1.9966155395678697e-09
1883,1.8958017378167824e-09,4.423537092179686e-09
1884,5.941527270181268e-09,5.941527270181268e-09
1885,3.86738152613475e-09,8.379326565943757e-09
1886,1.936039106809062e-09,2.5813855497602844e-09
1887,2.6115698492645834e-09,1.1752064210668323e-08
1888,3.1703073499755874e-09,2.2826213141868834e-08
1889,1.8795409673089125e-09,2.5060546970934183e-09
1890,1.3108772956016423e-09,4.5880703680722945e-09
1891,5.099376032546843e-09,1.0836173736095134e-08
1892,6.268512375839919e-09,8.149066310636499e-09
1893,6.158416554491453e-10,6.7742580989182954e-09
1894,2.520615716150587e-09,1.9534772022211655e-08
1895,6.018614495673091e-10,1.5046536461227333e-08
1896,1.179405795248556e-09,5.307326134129653e-09
1897,1.0488084178916779e-08,1.1070755534525745e-08
1898,5.6583548957434e-10,1.1316709791486801e-08
1899,1.1055156790007459e-09,1.1055156790007459e-08
1900,4.15284251431558e-09,4.671947717582725e-09
1901,5.58873880507349e-09,2.235495566438317e-09
1902,1.9641135384773634e-09,7.856454375954058e-09
1903,1.0800440541913758e-09,1.0260418292773466e-08
1904,2.1498500757388683e-09,3.7622376325430196e-09
1905,5.160759042333041e-10,2.0643036169332163e-09
1906,4.115347618238729e-09,6.6874399351490865e-09
1907,3.0857059130084963e-09,8.742834012309686e-09
1908,4.911389073214423e-10,6.875944702500192e-09
1909,2.7504918342913243e-09,8.801573414540798e-09
1910,1.7635697346918278e-08,4.275320542035388e-09
1911,3.1922244847493175e-09,9.044636151145369e-09
1912,0.0,8.335073964360618e-09
1913,7.42418571064718e-09,1.1666577037772186e-08
1914,1.3393487430235496e-09,1.0045115239609714e-08
1915,1.1780761921542648e-09,1.6493066468115103e-08
1916,5.493730803607377e-09,1.2086208478478966e-08
1917,2.1932848870420685e-09,9.869782324756216e-09
1918,1.1486376294556067e-09,6.5472345767148e-08
1919,4.603924352863942e-09,1.74949117415224e-08
1920,6.815008557481406e-09,1.9687803387569147e-08
1921,1.5145494858259667e-09,1.3630945261411398e-08
1922,7.377935484775833e-10,2.3609393551282665e-08
1923,3.1847844361720945e-09,8.492758496458919e-09
1924,1.289162443462999e-09,6.445812328337297e-09
1925,0.0,1.9796720707176974e-08
1926,0.0,3.6782257240020044e-08
1927,0.0,1.1149224654616319e-08
1928,3.4278122562625413e-09,4.570416489713125e-09
1929,0.0,1.2254447234738564e-08
1930,4.201441416995522e-09,1.0503603542488804e-09
1931,2.2810713318222042e-09,5.7026783295555106e-09
1932,2.1919073223131136e-09,1.4247397928102146e-08
1933,1.1470662197865522e-09,1.0323595756034365e-08
1934,2.3963160344919743e-09,7.188948103475923e-09
1935,3.590485242455088e-09,4.787313656606784e-09
1936,4.849885826274658e-09,2.424942913137329e-09
1937,5.0364472592434595e-09,5.036447148221157e-09
1938,1.2965214457594243e-09,1.2965214457594243e-09
1939,0.0,7.647025235257843e-09
1940,0.0,0.0
1941,0.0,1.4757512545315876e-08
1942,3.034211770724937e-09,3.034211770724937e-09
1943,5.806470415592457e-09,8.709705845433291e-09
1944,1.2852744646352221e-08,1.2852744646352221e-08
1945,0.0,0.0
1946,0.0,1.3921104269343232e-09
1947,1.1920870957027319e-09,9.536696765621855e-09
1948,0.0,1.0871887834440486e-09
1949,4.908504269707237e-09,8.835307596655184e-09
1950,4.2541445921528975e-09,1.3825969702452312e-08
1951,3.1984206394497505e-09,8.529121409139861e-09
1952,1.0544803918932644e-09,2.1089607837865287e-09
1953,0.0,1.0773827385790469e-09
1954,9.772536113672459e-10,3.9090144454689835e-09
1955,1.8771215692936494e-09,1.220129064449793e-08
1956,8.72114158667614e-10,1.4825941141438648e-08
1957,3.534015080575159e-09,8.835037701437898e-09
1958,8.272243445794913e-10,2.8952851893748743e-08
