year,quelques_DET oies_NOUN,quelques_DET fois_NOUN
1800,5.0306631749208464e-08,4.5590384445404197e-07
1801,1.6668277424969347e-08,1.0620074419875891e-06
1802,2.9091921760482364e-08,8.660441608299152e-07
1803,4.4857802805609026e-08,6.241085674929536e-07
1804,2.4718509905596875e-08,8.107671334300903e-07
1805,5.4014676953428875e-08,8.414918291066442e-07
1806,5.76333825108577e-09,4.178420311973241e-07
1807,5.693910232196231e-09,3.4448157748556696e-07
1808,3.852325747288887e-08,2.4246991259246897e-07
1809,3.162642769893864e-08,3.6144487935985126e-07
1810,1.2870697219113936e-07,4.14202430576438e-07
1811,0.0,1.8552368663549146e-07
1812,0.0,3.0939615491831773e-07
1813,0.0,4.629944072576109e-07
1814,0.0,7.520558469309435e-07
1815,4.315557688983063e-08,2.886029157878056e-07
1816,1.8540831092650478e-08,5.052376579328666e-07
1817,1.2454987263765815e-08,6.274199737532626e-07
1818,3.695565098382758e-08,2.8610826952046864e-07
1819,1.035105001712111e-09,2.8051345779545045e-07
1820,3.5599443393152796e-09,5.49418061268625e-07
1821,9.861488514673056e-09,4.753237377030928e-07
1822,1.804610860745015e-08,5.273473817624108e-07
1823,8.894418535021487e-09,4.3780303471407933e-07
1824,1.431589158329416e-08,3.6547627768612756e-07
1825,3.522177216552791e-09,2.8529636786345236e-07
1826,1.8496766784892316e-08,2.9770987630683976e-07
1827,1.013900030599757e-08,3.382739102164578e-07
1828,1.0089530988466322e-08,2.0637678233015322e-07
1829,9.430493552731178e-09,1.903245099299511e-07
1830,9.39315203396518e-09,2.7031403426747147e-07
1831,3.1182412207897414e-09,2.1359952206978505e-07
1832,1.0823975493678972e-08,3.9372211446675465e-07
1833,2.0850531967653296e-08,3.556173986396516e-07
1834,1.8669061851994684e-08,2.240287422239362e-07
1835,7.563087933704082e-09,3.63784522505739e-07
1836,1.949017514046858e-08,5.094328550114824e-07
1837,1.7394727436226276e-08,4.682660561527996e-07
1838,3.787297142565649e-09,4.967671429767506e-07
1839,4.894032734625853e-09,3.9362004322640587e-07
1840,4.458782232319436e-09,3.471480454209086e-07
1841,4.494383976094696e-09,3.3707879332212087e-07
1842,6.708265054555795e-10,2.5021829053173406e-07
1843,1.594865972620596e-08,3.3846600633324897e-07
1844,4.9397050894128824e-09,2.980288762444161e-07
1845,1.562463802784464e-08,2.4497200268314145e-07
1846,8.196302303531411e-09,3.717608407782791e-07
1847,1.0786447290911383e-08,2.7181847173096685e-07
1848,1.6090443422100975e-09,3.5640332640696215e-07
1849,4.189707469848258e-09,3.1841775527396976e-07
1850,1.8330290174617403e-08,3.767892842176934e-07
1851,9.029214709244116e-09,2.637820486484088e-07
1852,1.9531636308300904e-09,2.558644212058425e-07
1853,2.388772735173461e-09,4.066885566089695e-07
1854,8.832629572186335e-09,4.6137500220311267e-07
1855,2.1227748447927297e-09,5.073431914581761e-07
1856,3.1063135952358323e-09,4.3643704472628997e-07
1857,0.0,5.374541629521445e-07
1858,8.80861672492017e-09,6.28837351968059e-07
1859,3.055304009791371e-09,3.467769911225105e-07
1860,1.327383358784573e-08,3.10333076569691e-07
1861,1.8863854922557266e-09,2.9946369739519696e-07
1862,4.066187636597718e-09,3.0315688270832197e-07
1863,6.493007298491449e-09,2.916858665713562e-07
1864,1.102787461348953e-08,3.706324598340416e-07
1865,0.0,2.6264192864999814e-07
1866,8.758103242634263e-09,3.1918419818310895e-07
1867,5.338092634588065e-09,3.358145423959513e-07
1868,2.3711396401893126e-08,3.3591142667432905e-07
1869,9.767038400276817e-09,3.814028488591248e-07
1870,3.4404292748035914e-09,3.8418127701334015e-07
1871,8.496941816815706e-09,4.407788409821478e-07
1872,5.442605477412599e-09,4.0335753670461827e-07
1873,5.986004469882289e-10,4.932467660978546e-07
1874,6.572069888299836e-09,3.566841666469145e-07
1875,5.721527251978387e-09,3.924967550972269e-07
1876,3.02300739996042e-09,3.8271272551071434e-07
1877,6.80329748092845e-09,3.4573120899494825e-07
1878,9.058632954861423e-09,4.5595120568009406e-07
1879,7.94212295929242e-09,5.357878158918083e-07
1880,6.417846032391594e-09,4.691445667504013e-07
1881,1.3945015142624584e-09,4.999287899210003e-07
1882,5.989846396659004e-09,5.177889583762862e-07
1883,6.319338829996468e-09,4.316108359603277e-07
1884,7.2618666635548834e-09,3.9148063279981216e-07
1885,6.445635636342928e-09,3.8544900604620125e-07
1886,1.0325542088018835e-08,4.691668209488853e-07
1887,1.0446279397058333e-08,5.203552859711635e-07
1888,1.141310668195672e-08,3.690237821984965e-07
1889,3.7590820456401275e-09,4.799094881491328e-07
1890,7.209825181320184e-09,3.080561707946572e-07
1891,1.0836173736095134e-08,3.6205569031722007e-07
1892,8.149066088591894e-09,4.099607018304141e-07
1893,3.0792082772457263e-09,4.717346957505697e-07
1894,6.301539290376468e-09,4.1464127598089817e-07
1895,3.0093072478365457e-09,4.5861843211980613e-07
1896,6.486731818355906e-09,4.080744062662234e-07
1897,8.157398867503218e-09,3.78153723445962e-07
1898,7.355861253444118e-09,3.847681266933023e-07
1899,6.080336234504102e-09,3.913525432608367e-07
1900,4.6719478286050276e-09,3.7116029538708517e-07
1901,7.265360535413379e-09,4.241852931130552e-07
1902,3.928227076954727e-09,4.0558944292001797e-07
1903,3.2401321625741275e-09,3.229331682064185e-07
1904,1.0211787859759625e-08,4.1438359232870425e-07
1905,5.160758931310738e-09,3.7879972580867616e-07
1906,7.716276506641861e-09,4.650342848577793e-07
1907,1.131425531042396e-08,4.103988899828437e-07
1908,5.893666887857307e-09,4.420250192538333e-07
1909,8.251475669407426e-09,3.6691561788870786e-07
1910,1.0688301688155377e-08,4.606657864059116e-07
1911,3.7242618988742038e-09,3.984960237346513e-07
