year,vos_DET oeufs_NOUN,vos_DET feux_NOUN
1800,0.0,1.855057085720091e-07
1801,0.0,1.1453488681922863e-06
1802,0.0,8.503792514602537e-08
1803,0.0,3.9786920424944583e-07
1804,1.2359254952798437e-08,6.797589833240636e-07
1805,0.0,2.359588497924392e-07
1806,0.0,1.3543845511776453e-07
1807,0.0,1.3950080779423502e-07
1808,0.0,1.5182696078142044e-07
1809,0.0,1.9427662323323602e-07
1810,0.0,3.299578663629177e-07
1811,0.0,3.685402898412349e-07
1812,0.0,2.2671270372143226e-07
1813,0.0,4.112310509896133e-07
1814,0.0,1.2586708386663759e-07
1815,1.0788894222457657e-08,7.282503844407984e-08
1816,0.0,6.489290882427667e-08
1817,9.341240669868967e-09,8.796334753924384e-07
1818,0.0,3.2425602469743353e-07
1819,0.0,3.3537403165695423e-07
1820,0.0,3.524344993621753e-07
1821,9.86148829262845e-10,3.5501357942280265e-07
1822,2.0051231786055723e-09,3.117966542731665e-07
1823,0.0,2.945040655788489e-07
1824,0.0,6.029516654848521e-07
1825,8.805443041381977e-10,2.923407116384169e-07
1826,0.0,2.704051240698391e-07
1827,1.8434546111834038e-09,1.852671873692202e-07
1828,9.172301251858528e-10,1.8161155868057222e-07
1829,0.0,1.7146352337960025e-07
1830,0.0,3.183234795756107e-07
1831,0.0,1.2317053066368544e-07
1832,0.0,1.9753754809670454e-07
1833,1.1583628500844156e-09,1.7838787336188489e-07
1834,0.0,1.4095141942505052e-07
1835,0.0,2.4504404905201227e-07
1836,6.720750067579218e-10,1.3307085033886779e-07
1837,0.0,1.5029043876069181e-07
1838,0.0,1.9946431972783785e-07
1839,6.9914751765765e-10,7.27113418363956e-08
1840,0.0,9.172351989050753e-08
1841,1.2841097074556274e-09,5.650082890440444e-08
1842,6.708265054555795e-10,9.726984462332666e-08
1843,1.7720733769266417e-09,1.3763103456909676e-07
1844,1.097712254427563e-09,8.397498807433124e-08
1845,5.580227946389016e-10,1.5289825228137488e-07
1846,1.1709002656346001e-09,1.0947917816750419e-07
1847,1.0786447290911383e-09,4.0988499705463255e-08
1848,2.413566457803995e-09,5.551202825193613e-08
1849,0.0,7.457679362943281e-08
1850,0.0,6.042206734946376e-08
1851,0.0,5.868989250146228e-08
1852,0.0,1.1067926930508065e-07
1853,5.971931837933653e-10,7.823230707693085e-08
1854,0.0,2.4991145508579393e-07
