year,mêmes_ADJ os_NOUN,mêmes_ADJ fosses_NOUN
1800,4.4018303668735825e-08,1.2576657937302116e-08
1801,7.619784270218588e-08,0.0
1802,4.0281122437590966e-08,0.0
1803,7.80135707145746e-08,0.0
1804,4.943701981119375e-08,0.0
1805,1.1371511021707192e-07,1.421438877713399e-08
1806,1.4408345627714425e-08,5.76333825108577e-09
1807,1.195721210933698e-07,0.0
1808,3.3991110370834576e-08,0.0
1809,8.584316191218022e-08,4.518061036407062e-09
1810,3.510190182964834e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,9.868670503010435e-08,0.0
1813,1.4091133948568313e-07,0.0
1814,5.034683425719777e-08,0.0
1815,1.6453063267363177e-07,0.0
1816,6.489290882427667e-08,2.3176038865813098e-09
1817,9.029865566390072e-08,0.0
1818,1.4782260393531033e-07,0.0
1819,5.4860564091541164e-08,0.0
1820,6.40789963313182e-08,0.0
1821,1.1340711836282935e-07,1.0847637454958203e-08
1822,1.0326384369818697e-07,3.0076847679083585e-09
1823,7.510841726343642e-08,9.882686891060644e-10
1824,5.3895121254754486e-08,3.3684450784221553e-09
1825,1.3120110509134975e-07,0.0
1826,5.549030035467695e-08,8.807984341885344e-10
1827,5.530363722527909e-08,0.0
1828,1.8252879385727283e-07,0.0
1829,1.3116959962644614e-07,0.0
1830,5.9489963177838945e-08,0.0
1831,5.14509785887185e-08,9.354723218280014e-09
1832,6.764985016616265e-08,1.352996914505411e-08
1833,3.243415847009601e-08,0.0
1834,9.614566920390644e-08,4.667265685043276e-09
1835,1.1269001021219083e-07,0.0
1836,8.064900214321824e-08,4.032449929525228e-09
1837,1.1410941169742728e-07,4.87052354003481e-09
1838,6.122797202579022e-08,0.0
1839,6.362242288560083e-08,2.0974426639952526e-09
1840,4.522479102320176e-08,0.0
1841,7.833069304297169e-08,0.0
1842,6.842430622100437e-08,6.708265054555795e-10
1843,7.383638944702398e-08,2.953455480181333e-09
1844,7.025358428336403e-08,3.841992946007622e-09
1845,6.696273402440056e-08,5.580227835366713e-09
1846,3.219975752699611e-08,1.1709002656346001e-09
1847,4.638172157456211e-08,1.0786447290911383e-09
1848,1.850401076808339e-08,1.6090443422100975e-09
1849,4.357295679824347e-08,8.379414939696517e-10
1850,5.0238568860550004e-08,4.073397619208663e-09
1851,6.126966667352463e-08,1.2898877521649865e-09
1852,5.989701890030119e-08,1.3021090872200602e-09
1853,6.210809289086683e-08,1.1943863675867306e-09
1854,5.507404310378661e-08,3.117398783558656e-09
