year,mêmes_ADJ eaux_NOUN
1800,4.936338200423052e-07
1801,4.19088138414736e-07
1802,5.616979024125612e-07
1803,5.265915774543828e-07
1804,3.4605912446750153e-07
1805,2.2174445746259153e-07
1806,3.169836020333605e-07
1807,3.3024679169102455e-07
1808,5.053345262240327e-07
1809,4.0436646031594137e-07
1810,3.3931837606360205e-07
1811,3.860898232233012e-07
1812,3.8141078562148323e-07
1813,2.933256553205865e-07
1814,2.5488085952929396e-07
1815,3.749140660147532e-07
1816,2.5261883251914696e-07
1817,2.95805961059159e-07
1818,4.92344611302542e-07
1819,2.6809220798895694e-07
1820,2.3258303372131195e-07
1821,2.337172730904058e-07
1822,3.839811029138218e-07
1823,2.154425686740069e-07
1824,2.5094917077694845e-07
1825,3.733507867309527e-07
1826,2.853786895684607e-07
1827,2.9956137836961716e-07
1828,3.164443853620469e-07
1829,3.052050772112125e-07
1830,3.80944499056568e-07
1831,2.0736304406909767e-07
1832,2.4218644512075116e-07
1833,3.741511989119317e-07
1834,3.6591362118088e-07
1835,3.509272801238694e-07
1836,2.6412547526888375e-07
1837,3.4302402696084755e-07
1838,2.6132349262297794e-07
1839,2.86650475800343e-07
1840,2.4013726829252846e-07
1841,2.349920720234877e-07
1842,2.3009349092717457e-07
1843,2.8707589194709726e-07
1844,3.507190626805823e-07
1845,2.3269549842552806e-07
1846,3.495137264053483e-07
1847,2.335265776309825e-07
1848,1.9630340375442756e-07
1849,2.2037860958334932e-07
1850,2.3693596062912547e-07
1851,3.147326026464725e-07
1852,2.4674966425664024e-07
1853,2.974022095258988e-07
1854,2.8680068453468266e-07
1855,2.5950922122319753e-07
1856,2.7542645852918213e-07
1857,2.65554092493403e-07
1858,1.986832529610183e-07
1859,3.258990943777462e-07
1860,2.755464834081067e-07
1861,2.329686026314448e-07
1862,2.1912232739396131e-07
1863,2.402412633273343e-07
1864,2.752173884346121e-07
1865,2.47109340989482e-07
1866,2.5301187633886e-07
1867,2.203176450166211e-07
1868,2.410658623830386e-07
1869,2.3440891538939468e-07
1870,2.2076088157518825e-07
1871,2.79336973108002e-07
1872,2.5761664801393636e-07
1873,3.1306802839026204e-07
1874,2.0970878722437192e-07
1875,1.8652178823685972e-07
1876,1.971000784806165e-07
1877,1.57094319774842e-07
1878,2.2948536582134693e-07
1879,1.7167204191537166e-07
1880,1.7199828050706856e-07
1881,1.9034945353268995e-07
1882,1.8967847381645697e-07
1883,2.2370460328602348e-07
1884,1.8748819741176703e-07
1885,2.0368209163734718e-07
1886,1.800516429284471e-07
1887,1.9195037737063103e-07
1888,1.5914942252948094e-07
1889,2.0862904648311087e-07
1890,1.5992702628864208e-07
