year,plusieurs_DET hôtes_NOUN,plusieurs_DET fautes_NOUN
1800,3.144164484325529e-09,6.60274537267469e-08
1801,0.0,2.1906880443012255e-07
1802,0.0,2.3721105435470236e-07
1803,3.1205427575287104e-08,2.9060055339868995e-07
1804,0.0,1.7550141251376772e-07
1805,0.0,3.525168379425736e-07
1806,0.0,3.486819650788675e-07
1807,2.8469551160981155e-09,1.7651122163897526e-07
1808,6.798221985349073e-09,3.2178250508607675e-07
1809,0.0,2.8689686359939515e-07
1810,0.0,2.5507381451461697e-07
1811,0.0,3.309341400914434e-07
1812,0.0,3.6007310333374676e-07
1813,0.0,1.754202447745712e-07
1814,0.0,3.241077433102646e-07
1815,0.0,1.4025562555808335e-07
1816,0.0,2.0626674057666605e-07
1817,3.113746815941454e-09,1.7748356651026143e-07
1818,1.668964877410417e-08,1.9431518905044243e-07
1819,0.0,2.567060528591014e-07
1820,0.0,4.2007342493377564e-07
1821,2.9584463767662328e-09,2.9485849806221154e-07
1822,0.0,3.3585811820557865e-07
1823,1.087095569118901e-08,2.055598919969981e-07
1824,0.0,1.8021181791283425e-07
1825,0.0,2.3686642069975505e-07
1826,8.807984341885344e-10,2.0874922312952293e-07
1827,1.8434546111834038e-09,3.152307268550203e-07
1828,0.0,2.4581767377185315e-07
1829,8.57317605795771e-10,1.911818220401429e-07
1830,3.1310507520032616e-09,1.8995041006775182e-07
1831,1.5591206103948707e-09,1.0134283634499752e-07
1832,0.0,1.5559464394687694e-07
1833,1.1583628500844156e-09,1.3321172431801642e-07
1834,7.467624740797874e-09,1.213489042584115e-07
1835,2.2689263801112247e-09,1.7168209609508267e-07
1836,4.704525213838906e-09,1.9624589664424263e-07
1837,1.3915781860163179e-09,1.398536058072608e-07
1838,2.5248647617104325e-09,1.8557756575887652e-07
1839,4.894032734625853e-09,1.419269475277929e-07
1840,2.5478754661634184e-09,1.4650283897132965e-07
1841,0.0,1.521670025539379e-07
1842,6.037438549100216e-09,1.4087357325109906e-07
1843,1.7720733214154905e-09,1.7779801719797206e-07
1844,1.1525978393933656e-08,1.459957310601112e-07
1845,2.2320911785556063e-09,1.1495269802708208e-07
