year,jeunes_ADJ fils_NOUN
1800,8.174827570428533e-08
1801,6.429193177837078e-08
1802,7.832440473976021e-08
1803,2.5354410126965377e-08
1804,6.179627121127851e-08
1805,3.4114531644036106e-08
1806,4.3225035994964855e-08
1807,1.366538526781369e-07
1808,4.5321478125970316e-08
1809,1.9201759471343394e-07
1810,4.914266327205041e-08
1811,6.769107585569145e-08
1812,8.801787032552966e-08
1813,5.463909147351842e-08
1814,8.496028414128887e-08
1815,9.710004889029733e-08
1816,9.270415546325239e-08
1817,1.0275364559220179e-07
1818,1.192117764503564e-07
1819,1.72862542058283e-07
1820,1.4121113167675503e-07
1821,2.5245410029128834e-07
1822,9.825103575167304e-08
1823,1.5812298670425662e-07
1824,1.7600125090666552e-07
1825,1.8403376600417687e-07
1826,2.624779256166221e-07
1827,1.244331855332348e-07
1828,1.164882235116238e-07
1829,1.0716470200122785e-07
1830,2.1186777132697898e-07
1831,2.1515865000765189e-07
1832,2.3948047100930125e-07
1833,2.03871863391214e-07
1834,1.3815105148751172e-07
1835,2.1781693249067757e-07
1836,2.130477838591105e-07
1837,2.29610407131986e-07
1838,1.8242147348246363e-07
1839,2.5658712843323883e-07
1840,2.1848032361049263e-07
1841,1.7977535549107415e-07
1842,1.9990629596122744e-07
1843,1.7957009390556777e-07
1844,2.667440810455446e-07
1845,1.953079760141918e-07
1846,2.189583483414026e-07
1847,1.450777205036502e-07
1848,1.311371136125672e-07
1849,1.6088476684217312e-07
1850,1.1269733590779651e-07
1851,1.3543821353323438e-07
1852,1.2044509389852465e-07
1853,1.5885338200405386e-07
1854,1.8028956105808902e-07
1855,2.0962401947599574e-07
1856,1.5065620573295746e-07
1857,1.3717040303617978e-07
1858,1.7029992704920005e-07
1859,2.2150953782329452e-07
1860,1.7942561214567831e-07
1861,1.6270074354451936e-07
1862,1.4322016284040728e-07
1863,9.389886912458678e-08
1864,1.6541811476145085e-07
1865,1.8215487784800644e-07
1866,1.2893873702068959e-07
1867,1.640250246737196e-07
1868,1.274487573255101e-07
1869,1.684814066038598e-07
1870,1.3188312664169644e-07
1871,1.4126165126526757e-07
1872,1.396935402908639e-07
1873,1.2151589601216983e-07
1874,1.123226525123755e-07
1875,1.3731664694205392e-07
1876,9.975924086802479e-08
1877,1.4101379974817974e-07
1878,1.2138568195041444e-07
