year,ces_DET eaux_NOUN
1800,5.684649579507095e-06
1801,5.643402516852802e-06
1802,6.4516930251556914e-06
1803,6.761826284673589e-06
1804,5.571551923821971e-06
1805,5.142765701293683e-06
1806,5.339733093023824e-06
1807,6.146575913135166e-06
1808,5.429513464605407e-06
1809,5.292908269893815e-06
1810,5.354210145469551e-06
1811,7.263001293722482e-06
1812,6.075900216728769e-06
1813,5.115944532008143e-06
1814,6.104553847308125e-06
1815,9.742371503307368e-06
1816,5.126539804223285e-06
1817,4.107031941202877e-06
1818,4.881721963556629e-06
1819,4.499601629959216e-06
1820,3.7462481827787997e-06
1821,3.828229665714389e-06
1822,5.578252512350446e-06
1823,3.3670313541733776e-06
1824,3.2926551227774326e-06
1825,3.863828311523321e-06
1826,5.975336648589291e-06
1827,4.558863054171525e-06
1828,3.9239105262822704e-06
1829,4.626085683412384e-06
1830,4.214394380142039e-06
1831,5.174721195544407e-06
1832,3.6436207437873236e-06
1833,6.72777133559066e-06
1834,3.985844699627705e-06
1835,4.484911244162504e-06
1836,3.472611638244416e-06
1837,4.68266074449275e-06
1838,4.6318646127474494e-06
1839,3.5265000803974544e-06
1840,4.054306941725372e-06
1841,3.982024338711199e-06
1842,3.382978036370332e-06
1843,3.3887948802657775e-06
1844,3.5006043503926776e-06
1845,3.841986853103663e-06
1846,4.366872587979742e-06
1847,3.4074387258442584e-06
1848,4.2366138472971215e-06
1849,4.424331052632624e-06
1850,3.560828531590232e-06
1851,4.572652017031942e-06
1852,4.258547846802685e-06
1853,4.6945356189098675e-06
1854,4.657913279970671e-06
1855,4.0794425331114326e-06
1856,4.2546141116872604e-06
1857,4.6891776719348854e-06
1858,3.8738339753763285e-06
1859,4.827889483749459e-06
1860,4.979060690857295e-06
1861,4.061859499415732e-06
1862,4.4687403146781435e-06
1863,4.13854286307469e-06
1864,4.623076790721825e-06
1865,4.041296563173091e-06
1866,4.033106449696788e-06
1867,3.77936947870694e-06
1868,4.232484059230046e-06
1869,3.72856680996847e-06
1870,4.470837893677526e-06
1871,3.6621818253479432e-06
1872,3.91928051612922e-06
1873,4.588870922361821e-06
1874,4.160717878676223e-06
1875,3.6360304989102588e-06
1876,4.221932044856658e-06
1877,3.7238776258163853e-06
1878,3.415708647480642e-06
1879,3.5617366052065336e-06
1880,3.207639565516729e-06
1881,3.521116354932019e-06
1882,3.758961440780695e-06
1883,3.7631662621606665e-06
1884,3.479094345948397e-06
1885,4.2618543147909804e-06
1886,3.419045071950677e-06
1887,3.862511846364214e-06
1888,3.7301836641745467e-06
1889,3.4614880064509634e-06
1890,3.2221363426288008e-06
1891,2.9417025189104606e-06
1892,3.253357959920322e-06
1893,3.053343021974797e-06
1894,3.5269714544483577e-06
1895,2.967176840229513e-06
1896,2.8229078736785596e-06
1897,2.7915785665300064e-06
1898,2.7675014280248433e-06
1899,2.9848924043562874e-06
1900,2.9080280512516765e-06
1901,2.5568481589743897e-06
1902,2.4934422242495202e-06
1903,3.43129988777946e-06
1904,2.6733385709576396e-06
1905,2.7976474541446805e-06
1906,3.0885684054737794e-06
1907,2.3749649642468285e-06
1908,2.5421349789667147e-06
1909,2.4836941747707897e-06
1910,3.2572597774560563e-06
1911,2.4878068813904974e-06
1912,2.426548405765061e-06
1913,2.496117161854272e-06
1914,2.4161852252291283e-06
1915,2.4197685775106947e-06
1916,1.8436961539691765e-06
1917,1.8083634216736755e-06
1918,1.6138358915895878e-06
1919,1.8047382468466822e-06
1920,1.7431277967716596e-06
1921,1.7886829937197035e-06
1922,1.8894892406251529e-06
1923,2.1380519683589227e-06
1924,2.1993111829488043e-06
1925,2.2469277496384166e-06
1926,1.992929526295484e-06
1927,2.012435089682185e-06
1928,1.9767051071539754e-06
1929,1.8615619410411455e-06
1930,1.9463176670342364e-06
1931,1.933207926185787e-06
