year,petits_ADJ fils_NOUN
1800,2.5153315164061496e-07
1801,2.5954889792956237e-07
1802,2.663029761151847e-07
1803,2.925508795215137e-07
1804,2.1505103120489366e-07
1805,2.5870187414511747e-07
1806,2.247701900159882e-07
1807,1.7366426163789583e-07
1808,2.1980918063491117e-07
1809,1.197286110254936e-07
1810,1.778496283577624e-07
1811,2.2312983105621242e-07
1812,1.7870294755084615e-07
1813,1.7254450312975678e-07
1814,1.0384034254684593e-07
1815,9.440282155992463e-08
1816,2.5261883251914696e-07
1817,1.3856173097792635e-07
1818,7.510341504257667e-08
1819,1.2007218685994303e-07
1820,1.4239776646718383e-07
1821,8.57949515875589e-08
1822,1.0426640528748976e-07
1823,1.2254531611688435e-07
1824,1.9284348695691733e-07
1825,8.981552213072064e-08
1826,1.3300056878051691e-07
1827,1.4194600339578756e-07
1828,1.6234973543305387e-07
1829,9.516225674133238e-08
1830,1.054120417620652e-07
1831,1.1849316905454543e-07
1832,1.0688675899928057e-07
1833,1.308950032807843e-07
1834,9.334530659543816e-08
1835,9.907645193152348e-08
1836,9.946710122221702e-08
1837,1.092388899337493e-07
1838,9.783850885014544e-08
1839,1.1885507689157748e-07
1840,9.17235141173478e-08
1841,7.447836480878323e-08
1842,9.12324082946725e-08
1843,8.565021403228457e-08
1844,9.495211111820723e-08
1845,9.263178668561522e-08
1846,7.962121628679597e-08
1847,7.442648719546696e-08
1848,8.367030801537112e-08
1849,4.357295679824347e-08
1850,5.974316508172706e-08
1851,8.255281613855914e-08
1852,1.0677294426386652e-07
1853,9.196774897191062e-08
1854,1.387242463124494e-07
1855,9.446348059327647e-08
1856,7.506924504241397e-08
1857,9.518942789554785e-08
1858,9.88522543821091e-08
1859,7.841946825237756e-08
1860,7.781212474355925e-08
1861,6.696668464201139e-08
1862,5.2408641038059756e-08
1863,6.542953256971629e-08
1864,1.0836085095888848e-07
1865,8.566456699554692e-08
1866,9.196008221579177e-08
1867,9.511510512538734e-08
1868,1.0077343404191197e-07
1869,5.9578933786497146e-08
1870,6.594156332084822e-08
1871,7.434824311758348e-08
1872,6.53112621762375e-08
1873,9.517746946130501e-08
1874,7.408515045881359e-08
1875,7.495200787799305e-08
1876,7.376137745040978e-08
1877,8.844286725206985e-08
1878,1.2742477378813177e-07
1879,7.02572435784532e-08
1880,9.819304458424938e-08
1881,7.530308210323966e-08
1882,1.3310769642060905e-07
1883,1.1248422993048734e-07
1884,9.704494630113913e-08
1885,9.539540712921735e-08
1886,8.970314979706018e-08
1887,7.965287807110144e-08
1888,9.003672829521747e-08
1889,8.269980611430583e-08
1890,1.035593086839981e-07
1891,9.880041318410804e-08
1892,1.0907211844823905e-07
1893,8.560198955231968e-08
1894,8.948185836743505e-08
1895,8.004757034996146e-08
1896,7.607167379353186e-08
1897,6.700720689423179e-08
1898,9.902120723381813e-08
1899,8.567746334620097e-08
1900,9.240074483329863e-08
1901,6.650599004842661e-08
1902,8.642099658118241e-08
1903,7.614310248982292e-08
1904,6.18081870129572e-08
1905,7.379885147429377e-08
1906,6.687439907393511e-08
1907,5.6056993713582415e-08
1908,9.822778412882371e-08
1909,8.086446001698278e-08
1910,5.932007407505324e-08
1911,9.257450739319495e-08
1912,6.147116948795883e-08
1913,8.802962714327123e-08
1914,1.0446920128970305e-07
1915,4.123266705846618e-08
1916,7.801097723358907e-08
1917,1.030843890248434e-07
1918,7.581008354407004e-08
1919,1.0128633143313692e-07
1920,7.799398815677705e-08
1921,7.345565067318205e-08
1922,6.271245256428415e-08
1923,8.705077458870392e-08
1924,9.281969315377836e-08
1925,7.038833871320094e-08
1926,6.130375818091949e-08
1927,7.469980822794042e-08
1928,5.141718517620575e-08
1929,6.127223572960361e-08
1930,7.877702934422359e-08
1931,5.0183567523731654e-08
1932,6.356531490059325e-08
1933,7.45593042861259e-08
1934,8.506922100082193e-08
1935,7.65970211702438e-08
1936,6.668593055536576e-08
1937,7.806493040884988e-08
1938,6.741911562357927e-08
1939,6.882322711732058e-08
1940,6.085878823114399e-08
1941,7.67390702094417e-08
1942,3.3376331032286544e-08
1943,6.967764676346633e-08
1944,6.105053707017305e-08
1945,3.703456741277478e-08
1946,4.1763314584386535e-08
1947,4.0530959921625254e-08
1948,4.67491183542279e-08
1949,4.221313587571274e-08
1950,4.3604983179790224e-08
1951,4.797630737130021e-08
1952,4.74516177462192e-08
1953,4.955960619668076e-08
1954,5.570345562588841e-08
1955,5.819076687174629e-08
1956,4.7966280281031004e-08
1957,5.301022626413854e-08
1958,4.797901081987632e-08
1959,4.5729413145068065e-08
1960,4.221708493901133e-08
1961,4.307858914032181e-08
1962,4.502789208160607e-08
1963,4.4615767080813384e-08
1964,5.1105333076506554e-08
1965,5.1984411442163037e-08
1966,4.929776509232653e-08
1967,6.261525853368255e-08
1968,5.6591841379738383e-08
1969,5.8134498326367634e-08
1970,4.782674026260203e-08
1971,7.604828444751632e-08
1972,5.591860130493842e-08
1973,4.631091166107382e-08
1974,5.28803731913996e-08
1975,6.11128374572445e-08
1976,5.656391610653344e-08
1977,5.994317486823775e-08
1978,5.8811853609341824e-08
1979,8.426841446862454e-08
1980,5.91255667758972e-08
1981,7.084615250008142e-08
1982,5.959202198368985e-08
1983,5.936397096117929e-08
1984,5.7990084123549224e-08
1985,6.496802740230123e-08
1986,7.253327494183281e-08
1987,5.805275837822421e-08
1988,6.836071264615384e-08
1989,5.9271719310416415e-08
1990,5.9390295348293876e-08
1991,5.216704074273437e-08
1992,6.226236837214572e-08
1993,5.982344158939057e-08
1994,5.011180426173212e-08
1995,4.825981392286849e-08
1996,7.313186500823576e-08
1997,7.240290900156765e-08
1998,7.676687696633877e-08
1999,7.266620177803773e-08
2000,6.052702872239024e-08
2001,6.265132518334937e-08
2002,7.185203276804941e-08
2003,6.917092032487915e-08
2004,4.977414214124565e-08
2005,5.7197620306759234e-08
2006,6.588624151815381e-08
2007,7.389786987888058e-08
2008,7.493094078547813e-08
2009,7.390698186782174e-08
2010,6.377120681522186e-08
2011,8.37449877777452e-08
2012,7.86382358120008e-08
2013,6.749682374129762e-08
2014,7.145969407873487e-08
2015,7.558521986084088e-08
2016,8.948189048063604e-08
2017,5.987155304865155e-08
2018,7.124847911654797e-08
2019,5.2550347795499164e-08
