year,beaux_ADJ fils_NOUN
1800,3.144164484325529e-09
1801,3.5717739876872656e-08
1802,1.1189200677108602e-08
1803,2.145373123596528e-08
1804,2.2246657849223084e-08
1805,2.55858996212055e-08
1806,1.729001475325731e-08
1807,3.9857372513552036e-08
1808,1.5862518409903714e-08
1809,1.3554183553310395e-08
1810,1.4040760554223652e-08
1811,2.5070768572277302e-08
1812,2.400487453257938e-08
1813,2.8757416004054903e-08
1814,2.5173417128598885e-08
1815,0.0
1816,2.3176038865813098e-09
1817,7.784366928831332e-09
1818,5.960588467246453e-09
1819,6.107119787657211e-08
1820,1.044250339532482e-07
1821,4.832129363308013e-08
1822,3.308453244699194e-08
1823,2.174191138237802e-08
1824,8.421112696055388e-09
1825,9.069606221601134e-08
1826,3.3470339388941284e-08
1827,6.452091305675367e-09
1828,2.7516904310687096e-09
1829,1.5431716349212365e-08
1830,2.2961039292113128e-08
1831,2.3386808933878456e-08
1832,2.0294953273491956e-08
1833,4.40177885252524e-08
1834,4.760610750054184e-08
1835,5.294161553592858e-08
1836,6.115882911217341e-08
1837,5.287997240088771e-08
1838,5.049729523420865e-08
1839,4.334714631681891e-08
1840,3.758116307039927e-08
1841,4.3017674755674307e-08
1842,3.152884531232303e-08
1843,3.603215859016018e-08
1844,5.927646284931143e-08
1845,2.7901139176833567e-08
1846,1.7563504428608212e-08
1847,1.4022381478184798e-08
1848,2.896279838182636e-08
1849,7.541473445726865e-09
1850,2.5119284430275002e-08
1851,4.321124080775007e-08
1852,3.385483537954315e-08
1853,3.762317035693741e-08
1854,7.897409659562982e-08
1855,5.73149208094037e-08
1856,4.245295315286057e-08
1857,4.5886186461618905e-08
1858,5.1872966366772744e-08
1859,4.073738679721828e-08
1860,4.165237399433863e-08
1861,3.489813238388706e-08
1862,5.873382136201144e-08
1863,4.395266428591782e-08
1864,4.123465868755005e-08
1865,5.036323358353911e-08
1866,5.352174170525359e-08
1867,6.988048539824376e-08
1868,4.841076517436704e-08
1869,5.3230358232347896e-08
1870,3.2110673675589396e-08
1871,7.965883241922711e-08
1872,3.1446163006876304e-08
1873,5.088103804951061e-08
1874,3.2860349108432274e-08
1875,4.1194994082616176e-08
1876,5.018192439365521e-08
1877,3.7727378554563984e-08
1878,3.2611080058586595e-08
1879,4.7652736867576095e-08
1880,6.738738389522325e-08
1881,2.998178416646624e-08
1882,8.984770261122321e-08
1883,4.2971503688704615e-08
1884,4.423137056619453e-08
1885,4.447488777259423e-08
1886,5.3563748991791726e-08
1887,5.876032105334161e-08
1888,3.804368686743942e-08
1889,3.821733329800736e-08
1890,3.6704562944578356e-08
1891,4.206985337873448e-08
1892,2.068609084027173e-08
1893,3.5718816404628484e-08
1894,2.3315696040526745e-08
1895,2.2268872967856623e-08
1896,3.066455178668548e-08
1897,2.7385553380554484e-08
1898,3.3384292663640736e-08
1899,4.2009595802028343e-08
1900,3.73755817406618e-08
1901,3.129693837422565e-08
1902,2.6024505217492333e-08
1903,3.0241231741001684e-08
1904,4.837162670412454e-08
1905,3.1996705729397945e-08
1906,6.275904951280609e-08
1907,2.674278576364486e-08
1908,3.5853138458108447e-08
1909,2.9705311987981986e-08
1910,1.870452770447173e-08
1911,3.6178544604581475e-08
1912,2.7088990606216612e-08
1913,2.5454351515463713e-08
1914,2.4777952134513725e-08
1915,8.246533234057551e-09
1916,5.493730803607377e-09
1917,1.5352993543160665e-08
1918,1.378365155346728e-08
1919,2.8544329566670967e-08
1920,6.815008557481406e-09
1921,5.6038331308627676e-08
1922,2.139601357198373e-08
1923,1.6985516992917837e-08
1924,2.1915761649893284e-08
1925,2.969508017258704e-08
1926,3.343841470382358e-08
1927,2.8987985345452216e-08
1928,3.884854038460617e-08
1929,1.1140406153131721e-08
1930,2.8359728787563654e-08
1931,1.4826963656844327e-08
1932,2.301502632917618e-08
1933,2.408838994938378e-08
1934,2.2765002327673756e-08
1935,1.9149255514605557e-08
1936,9.699771652549316e-09
1937,3.273690651894867e-08
1938,1.5558256905023882e-08
1939,7.647025235257843e-09
1940,2.5357829169792012e-09
1941,3.541803028639379e-08
1942,3.3376328811840494e-08
1943,2.9032351855917682e-08
1944,1.927911696952833e-08
1945,2.178504132643866e-08
1946,1.809743643832462e-08
1947,3.33784391237657e-08
1948,1.4133453962728026e-08
1949,1.6688914139528777e-08
1950,2.552486688678357e-08
1951,8.529121409139861e-09
1952,2.319856839960721e-08
1953,8.619061908632375e-09
1954,1.5636057781875934e-08
1955,1.407841132561316e-08
1956,1.744228228517386e-08
1957,2.738861759610245e-08
1958,1.1581140491045971e-08
1959,1.0851047171911432e-08
1960,7.61291657491725e-09
1961,1.737039845295385e-08
1962,1.52206956482992e-08
1963,2.521760733564804e-08
1964,1.3993127545575135e-08
1965,1.094408652591028e-08
1966,3.37883554468732e-08
1967,1.6270107705551595e-08
1968,2.8295920273535557e-08
1969,1.725867981861029e-08
1970,1.6095537708205043e-08
1971,1.7470551338938378e-08
1972,7.695220349823728e-09
1973,1.543697081274331e-08
1974,1.237625746330906e-08
1975,1.4849848462006321e-08
1976,1.656922776760439e-08
1977,1.057820764316375e-08
1978,2.019801059738313e-08
1979,1.7555919384903973e-08
1980,1.1938816213419301e-08
1981,8.855769451088236e-09
1982,4.966001831974154e-09
1983,5.052252838311233e-09
1984,1.0438215625185876e-08
1985,1.3234227935754461e-08
1986,1.1988970705090196e-08
1987,1.5277042575423394e-08
1988,7.195864348830128e-09
1989,8.232182935330457e-09
1990,2.179460389939436e-09
1991,1.0550637696837839e-08
1992,1.1019888113139586e-08
1993,1.6063700869484165e-08
1994,5.802419433820205e-09
1995,8.675921314704738e-09
1996,9.074756723848054e-09
1997,6.712852163026639e-09
1998,9.536258005482523e-09
1999,1.2339542720951613e-08
2000,8.394259509714175e-09
2001,6.571817756650944e-09
2002,1.3581786362237835e-08
2003,9.167230530238157e-09
2004,7.047665923076707e-09
2005,1.0808999029165989e-08
2006,9.882935803062765e-09
2007,1.2782334302130494e-08
2008,1.0217855006544596e-08
2009,1.1443662017995848e-08
2010,1.6533276081531767e-08
2011,5.353560705856353e-09
2012,1.4978712298274743e-08
2013,1.7571486987666418e-08
2014,1.8406284496563785e-08
2015,3.014542589163671e-08
2016,3.314143995347685e-08
2017,1.4590545355241957e-08
2018,1.858655984676716e-08
2019,1.632632162795744e-08
