year,elles_PRON ont_VERB,elles_PRON font_VERB
1800,3.5922079860029044e-05,6.8354135009940364e-06
1801,3.348418977111578e-05,5.274319391901372e-06
1802,3.624853479777812e-05,4.753172504479153e-06
1803,4.522446761257015e-05,6.482927801698679e-06
1804,3.614834758991492e-05,4.911567998533428e-06
1805,3.153604302497115e-05,4.173344507307775e-06
1806,2.9309456749615492e-05,3.988230048435071e-06
1807,3.12766496790573e-05,3.3081619221775327e-06
1808,3.302576214991859e-05,3.743554316315567e-06
1809,3.3237116440432146e-05,4.2063148271154205e-06
1810,2.8856102289864793e-05,3.2855379288321274e-06
1811,2.6687831450544763e-05,3.9787307741789846e-06
1812,3.217986704839859e-05,3.4060248026435147e-06
1813,2.9252043532324024e-05,3.3732449651324714e-06
1814,2.8637907689699205e-05,3.0082234161454835e-06
1815,3.079420139329159e-05,3.1045043442645692e-06
1816,3.5118651339871576e-05,4.396494603042811e-06
1817,3.3622237424424384e-05,4.200444493562827e-06
1818,2.7049150958191603e-05,3.309318799438188e-06
1819,2.6123979296244215e-05,3.059770477875645e-06
1820,2.531120480853133e-05,2.7542103282485186e-06
1821,2.58025838775211e-05,2.9298481933892617e-06
1822,2.6147808512178017e-05,3.1320024334036134e-06
1823,2.277662861160934e-05,2.7602343664057116e-06
1824,2.3707959371677134e-05,2.886757442865928e-06
1825,2.6690177492127987e-05,2.7182402959624596e-06
1826,2.5509683382551884e-05,2.96300601121402e-06
1827,2.6504268134885933e-05,2.733843132318725e-06
1828,2.7897554446099093e-05,2.742518006471073e-06
1829,2.687090591280139e-05,2.8282908886012592e-06
1830,2.8505085538199637e-05,2.781416810648807e-06
1831,2.8821903015341377e-05,2.332444353214669e-06
1832,2.5958599962905282e-05,2.7344067632384395e-06
1833,2.9173367693147156e-05,3.005951526802164e-06
1834,2.7511664029589156e-05,2.7546200556116673e-06
1835,2.5632061806390993e-05,2.752963951024867e-06
1836,2.582649904070422e-05,2.617059976728342e-06
1837,2.667237913556164e-05,2.6683511578085017e-06
1838,2.403292546659941e-05,2.4731050132231758e-06
1839,2.7798804239864694e-05,2.833644856536921e-06
1840,2.485006734787021e-05,2.3962769546415075e-06
1841,2.7811890049633803e-05,2.6035324367512658e-06
1842,2.587243625384872e-05,2.221777378963452e-06
1843,2.7627213057712652e-05,2.557101680622509e-06
1844,2.5965834993257886e-05,2.4769877882135916e-06
1845,2.6467579573363764e-05,2.640005874354756e-06
1846,2.8050087166775484e-05,2.431959842397191e-06
1847,2.582976594567299e-05,2.2851089056530327e-06
1848,2.9273343898239546e-05,2.432874936175722e-06
1849,2.952319300675299e-05,2.312718550001591e-06
1850,2.697946956686792e-05,2.520754208035214e-06
1851,2.7190833861823194e-05,2.2882609869157022e-06
1852,2.8054591439286014e-05,2.6621620747846464e-06
1853,2.8016122996632475e-05,2.643774223543005e-06
1854,2.7170207886229036e-05,2.5770494858079473e-06
1855,2.7777570721809752e-05,2.6800032060236845e-06
1856,2.7533328193385387e-05,2.517149425784737e-06
1857,2.7248095193499466e-05,2.441730828195432e-06
1858,2.5562116206856444e-05,2.1571323429725453e-06
1859,2.7230396426602965e-05,2.4773423774604453e-06
1860,2.849525799319963e-05,2.690926493187362e-06
1861,2.7610081360762706e-05,2.6201895479971427e-06
1862,2.7489687454362866e-05,2.622690971065822e-06
1863,2.717123652473674e-05,2.4788303107925458e-06
1864,2.873768153222045e-05,2.690321792897521e-06
1865,2.747996859397972e-05,2.656072183526703e-06
1866,2.6833367883227766e-05,2.412370776028183e-06
1867,2.8948960789421108e-05,2.752999932909006e-06
1868,2.916353514592629e-05,2.576638337359327e-06
1869,2.8253600248717703e-05,2.6156129138144024e-06
1870,2.9200643439253327e-05,2.392818487351178e-06
1871,2.9363305657170713e-05,2.5682005571070476e-06
1872,2.92781933239894e-05,2.4642907305860717e-06
1873,2.99497755804623e-05,2.505741406366724e-06
1874,2.9462590646289755e-05,2.3970131906025927e-06
1875,2.9352006094995886e-05,2.6925507086161815e-06
1876,2.999186153829214e-05,2.8041417294843995e-06
1877,2.906059398810612e-05,2.503613586668507e-06
1878,2.8314871997281443e-05,2.567820416743416e-06
1879,2.9147590794309508e-05,2.4785533412341465e-06
1880,2.857353501894977e-05,2.5177209863613825e-06
1881,2.9862553219572874e-05,2.4027261815717793e-06
1882,2.8440456844691653e-05,2.3247260401149106e-06
1883,2.9120145427441457e-05,2.5492213637789973e-06
1884,2.8626939183595823e-05,2.58654495155497e-06
1885,2.882037142626359e-05,2.4719013254070887e-06
1886,2.8497205676103476e-05,2.320020229262809e-06
1887,2.9799317871948006e-05,2.5332226982754946e-06
1888,2.88250694211456e-05,2.3523680852122197e-06
1889,3.0520613108819816e-05,2.573091649082926e-06
1890,2.9878170153097017e-05,2.4683820356585784e-06
1891,2.9997080218890915e-05,2.460448911278945e-06
1892,2.9883252864237875e-05,2.4666595095368393e-06
1893,3.0864752261550166e-05,2.407325098374713e-06
1894,3.0738278837816324e-05,2.4657923631821177e-06
1895,2.9372644348768517e-05,2.5368460114805202e-06
1896,2.98985273730068e-05,2.5351326939926366e-06
1897,3.046380697924178e-05,2.5515177526358457e-06
1898,3.0611699457949726e-05,2.5241921548513346e-06
1899,2.9833445751137333e-05,2.5951979978344752e-06
1900,3.0750241421628743e-05,2.533753104216885e-06
1901,3.085431080762646e-05,2.67756490757165e-06
1902,2.7631149350781925e-05,2.398182630258816e-06
1903,3.0244473691709572e-05,2.647187898219272e-06
1904,3.0452088140009437e-05,2.523924024444568e-06
1905,2.9041656034678454e-05,2.441039043787896e-06
1906,2.9297674245754024e-05,2.514477500881185e-06
1907,2.963769247799064e-05,2.471136269832641e-06
1908,3.061023289774312e-05,2.599107176592952e-06
1909,2.939560636150418e-05,2.7020832362723013e-06
1910,2.9144326163077494e-05,2.5892409212247003e-06
1911,2.9072652978356928e-05,2.548459235640621e-06
1912,2.8964903776795836e-05,2.5369881200276723e-06
1913,2.9152656225051032e-05,2.5030111601154204e-06
1914,3.0074405913183e-05,2.5789160531530797e-06
1915,3.42584553436609e-05,2.5564253860466124e-06
1916,3.5165372537449e-05,2.530412530177273e-06
1917,3.42481444022269e-05,2.6780008397508936e-06
1918,3.255468800489325e-05,2.42132813355056e-06
1919,2.9745954634563532e-05,2.417060159132234e-06
1920,2.8745706913468894e-05,2.5260964662265906e-06
1921,2.7515577130543534e-05,2.3036297989165178e-06
1922,2.7397226403991226e-05,2.503333575987199e-06
1923,2.6845609227166278e-05,2.36523328567273e-06
1924,2.588122470115195e-05,2.253455932077486e-06
1925,2.5847917640930973e-05,2.354709977225866e-06
1926,2.56115972661064e-05,2.441004255615553e-06
1927,2.4912942535593174e-05,2.4572891561547294e-06
1928,2.6126785087399185e-05,2.3926129983919964e-06
1929,2.6015077764895977e-05,2.3963013973116176e-06
1930,2.5821008421189617e-05,2.2488215449811833e-06
1931,2.5988246761698974e-05,2.2662443370791152e-06
1932,2.5120353711827192e-05,2.1886194190301467e-06
1933,2.4741072138567688e-05,2.190896452702873e-06
1934,2.5444083803449757e-05,2.190232805787673e-06
1935,2.4661846055096248e-05,2.2739739620192267e-06
1936,2.456467154843267e-05,2.0903008248751576e-06
1937,2.5378657028340967e-05,2.1618949972435075e-06
1938,2.486468929419061e-05,2.1159229959266668e-06
1939,2.4588244741607923e-05,2.469989226483449e-06
1940,2.2860083390696673e-05,2.00073276346302e-06
1941,2.42259334299888e-05,2.23428742174292e-06
1942,2.4325275262526702e-05,2.4607456907688174e-06
1943,2.4700724225112936e-05,2.3951690764079103e-06
1944,2.4587301140854834e-05,2.268509376790462e-06
1945,2.4198822757171e-05,2.084828338411171e-06
1946,2.330253619220457e-05,2.262179464196379e-06
1947,2.3147947558754822e-05,2.431857751616917e-06
1948,2.3990995487110922e-05,2.2787477291785763e-06
1949,2.6094588974956423e-05,2.2549668301508063e-06
1950,2.312446713403915e-05,2.8715475082208286e-06
1951,2.3600078293384286e-05,2.1919841515227745e-06
1952,2.3280818368220935e-05,2.140595199762174e-06
1953,2.333934253329062e-05,2.1289083065312298e-06
1954,2.3157978830568027e-05,2.2867734514875337e-06
1955,2.293748775628046e-05,2.3867600589255744e-06
1956,2.3620340471097734e-05,2.219530529146141e-06
1957,2.2613279725192115e-05,2.1566327177424682e-06
1958,2.3285538645723136e-05,2.2310240979095397e-06
1959,2.234153089375468e-05,2.171759604152612e-06
1960,2.2580602035304764e-05,2.249270835363859e-06
1961,2.2507867015519878e-05,2.269268861709861e-06
1962,2.2688349417876452e-05,2.1492890027730027e-06
1963,2.3049540686770342e-05,2.303208191278827e-06
1964,2.246809572170605e-05,2.591162058251939e-06
1965,2.3249618607223965e-05,2.3710364303042297e-06
1966,2.3091848106560064e-05,2.5994878569690627e-06
1967,2.2620873096457217e-05,3.7110636412762688e-06
1968,2.25823905566358e-05,2.5538190584484255e-06
1969,2.3401407815981656e-05,2.4407406726822956e-06
1970,2.293706165801268e-05,2.674618542641838e-06
1971,2.1931194169155788e-05,2.7963158686361567e-06
1972,2.2269454802881228e-05,2.8056772976015054e-06
1973,2.1648146230290877e-05,2.5255986315642076e-06
1974,2.1962794562568888e-05,2.492128317044262e-06
1975,2.1392349026427837e-05,2.2468962583843677e-06
1976,2.2237618395593017e-05,2.4933831355156144e-06
1977,2.2999961402092595e-05,2.4829403173498577e-06
1978,2.1629692582791904e-05,2.609701823530486e-06
1979,2.206428098361357e-05,2.6287065111318952e-06
1980,2.219880752818426e-05,2.56570854162419e-06
1981,2.2504407297674334e-05,2.633958843034634e-06
1982,2.3181917640613392e-05,2.7381292966310866e-06
1983,2.281092201883439e-05,2.7080075142293936e-06
