year,grosses_ADJ eaux_NOUN
1800,2.2009151834367913e-08
1801,3.5717739876872656e-08
1802,6.265952379180817e-08
1803,5.655983770225248e-08
1804,1.2359254952798437e-08
1805,1.3361525930122298e-07
1806,3.7461699520235925e-08
1807,1.4519470425966574e-07
1808,8.157866204783204e-08
1809,1.0165637576164954e-07
1810,3.510190182964834e-08
1811,3.008491944456182e-08
1812,1.0402111882967802e-07
1813,6.901780125190271e-08
1814,5.97868634599763e-08
1815,2.6972236000233352e-08
1816,3.7081662185300956e-08
1817,1.1520863552050287e-07
1818,4.053200441944682e-08
1819,5.589566853814176e-08
1820,9.730514705097448e-08
1821,3.747365440176509e-08
1822,6.416394171537831e-08
1823,7.510841726343642e-08
1824,5.221090049190025e-08
1825,6.251864448358901e-08
1826,5.9013494535520294e-08
1827,4.516463647519231e-08
1828,4.953042775923677e-08
1829,5.1439055681612444e-08
1830,5.218418053232199e-08
1831,3.274153215215847e-08
1832,8.117981309396782e-08
1833,5.21263281427764e-08
1834,5.787409307345115e-08
1835,8.168134968400409e-08
1836,4.973355061110851e-08
1837,4.383471363667013e-08
1838,5.491580878924651e-08
1839,7.970281501457066e-08
1840,4.968357103507515e-08
1841,6.420548714913821e-08
1842,5.9032732480091e-08
1843,6.3794637128467e-08
1844,7.409557412074719e-08
1845,5.636030309119633e-08
1846,2.9272506196775794e-08
1847,8.521293182184309e-08
1848,3.861706332486392e-08
1849,4.1897074254393374e-08
1850,3.869727649430388e-08
1851,5.159551008659946e-08
1852,4.166749079104193e-08
1853,6.569125332589465e-08
1854,3.3771819119010615e-08
1855,3.8209947206269135e-08
1856,5.7466799319172424e-08
1857,7.322263684272912e-08
1858,7.34051397444091e-08
1859,5.754155907311542e-08
1860,4.073693560258107e-08
1861,3.4426534512022045e-08
1862,2.710791768834042e-08
1863,4.145535115185339e-08
1864,5.370095124135332e-08
1865,3.9066808454890634e-08
1866,4.719644408623935e-08
1867,4.076361648230886e-08
1868,3.655506830568811e-08
1869,2.783605879130846e-08
1870,1.9495765002375265e-08
1871,2.8677177965619194e-08
1872,2.1770421909650395e-08
1873,1.6760813181804224e-08
1874,3.345781252050983e-08
1875,4.062284375550007e-08
1876,4.5949711591219966e-08
1877,3.463496867084359e-08
1878,7.790424660925055e-08
1879,4.581993806596074e-08
1880,4.043243251317108e-08
1881,6.693607446095484e-08
1882,3.0614771162618126e-08
1883,4.107570461542309e-08
1884,2.970763546272792e-08
1885,3.7384687345820566e-08
1886,3.613939725255477e-08
1887,8.161156017649773e-08
1888,3.61415040117663e-08
1889,3.257871128425904e-08
1890,4.129263331265065e-08
1891,5.609313546983685e-08
1892,5.014809900671935e-08
1893,3.695049954899332e-08
1894,1.7014155417882648e-08
1895,7.162151405282202e-08
1896,3.4202766840962795e-08
1897,7.166857329821141e-08
1898,5.488604415404552e-08
1899,5.638129962903804e-08
1900,3.010810800674335e-08
1901,2.459045056468767e-08
1902,3.338993082024899e-08
1903,3.564145245604777e-08
1904,3.923476299405593e-08
1905,2.0643035725242953e-08
1906,2.4692084821253957e-08
1907,3.291419758966185e-08
1908,1.4243028090277221e-08
1909,2.2554033307642385e-08
1910,3.046165986120286e-08
1911,5.213966502992662e-08
1912,3.0735584743979416e-08
1913,1.856046338843953e-08
1914,4.419850796466562e-08
1915,4.005459075528961e-08
1916,1.7579939282086343e-08
1917,4.605898240583883e-08
1918,2.2972752589112133e-08
1919,3.314825391953491e-08
1920,1.741613253614105e-08
1921,8.405749696294151e-08
1922,2.3609393551282665e-08
1923,6.794206797167135e-08
1924,1.0313299547703991e-08
1925,3.079489729884699e-08
1926,2.0063049888108253e-08
1927,2.1183527820767267e-08
1928,1.5996457491951332e-08
1929,1.2254447234738564e-08
1930,8.402882833991043e-09
1931,1.596749932275543e-08
1932,3.3974561830518724e-08
1933,1.8353059516584835e-08
1934,1.4377896206951846e-08
1935,1.4361940969820353e-08
1936,2.5461901032031165e-08
1937,1.2591118370153254e-08
1938,1.0372171566075394e-08
1939,1.988226472349197e-08
1940,4.81798743123818e-08
1941,1.7709016475464523e-08
1942,3.944475324146879e-08
1943,2.322588166236983e-08
1944,4.4984606262232774e-08
1945,2.3963544037997053e-08
1946,9.744772988540262e-09
1947,1.1920871401116528e-08
1948,6.523132700664291e-09
1949,1.7670615193310368e-08
1950,2.5524867552917385e-08
1951,7.462981344019681e-09
1952,2.1089608281954497e-08
1953,1.723812381726475e-08
1954,7.818028890937967e-09
1955,1.5016972554349195e-08
1956,6.104799332717903e-09
1957,2.1204090927540165e-08
1958,1.6544486669545222e-08
1959,8.525822714489095e-09
1960,6.2287499602575735e-09
1961,1.737039845295385e-08
1962,1.4586500007851555e-08
1963,1.2285501505004959e-08
1964,1.7035111099517053e-08
1965,7.660860390501512e-09
1966,1.2185964237687585e-08
1967,1.232583901611406e-08
1968,9.431973424511852e-09
1969,9.537691525451919e-09
1970,1.1496812390987543e-08
1971,1.798439086542203e-08
1972,5.643161493651405e-09
1973,1.598829157956061e-08
1974,1.406392957647995e-08
1975,8.567219822452898e-09
1976,3.9994687561772935e-09
1977,1.23412418062685e-08
1978,8.910887139279566e-09
1979,7.022368020415115e-09
1980,7.390696055153967e-09
1981,6.958104314946922e-09
1982,9.311253101884631e-09
1983,5.68378455412244e-09
1984,9.278413592994639e-09
1985,1.3234227935754461e-08
1986,5.395036861699509e-09
1987,4.888653482026939e-09
1988,2.398621523624911e-09
1989,2.7440609784434855e-09
1990,8.172976073694826e-09
1991,1.1722930182145319e-08
1992,4.958949695321735e-09
1993,7.754890063438324e-09
1994,1.635227242502424e-08
1995,7.0491861237087505e-09
1996,1.1743802375008272e-08
1997,9.58978851883785e-09
1998,6.198567881199324e-09
1999,6.8553016596695215e-09
2000,7.510653432518666e-09
2001,5.257454027685071e-09
