year,chers_ADJ fils_NOUN
1800,4.496155323607809e-07
1801,3.333655618220632e-08
1802,2.0140561218795483e-07
1803,1.1702034896643454e-08
1804,4.69651695311768e-08
1805,3.980028751016107e-08
1806,1.152667650217154e-08
1807,4.555128185756985e-08
1808,8.611081314668922e-08
1809,5.353902317040138e-07
1810,4.212228166267096e-08
1811,1.7549536934780008e-08
1812,1.0668832839400011e-07
1813,6.326631774022928e-08
1814,1.3593645249443398e-06
1815,1.2407228400235226e-07
1816,3.7081662185300956e-08
1817,1.8993856265581144e-07
1818,1.418620123594394e-07
1819,4.657972552113421e-08
1820,1.898636980968149e-08
1821,4.437669787193954e-08
1822,4.210758675071702e-08
1823,1.8777104904277309e-07
1824,1.6168536376426346e-07
1825,1.0214314016820936e-07
1826,1.3300056511678093e-07
1827,1.1798109822436231e-07
1828,9.814362478266503e-08
1829,8.144517366082127e-08
1830,8.245100246995207e-08
1831,7.483779085326603e-08
1832,1.0823975715723577e-07
1833,1.204697352985562e-07
1834,1.0454674792548246e-07
1835,9.302598158456021e-08
1836,1.263500949977292e-07
1837,7.166627602472886e-08
1838,1.2434959106855104e-07
1839,1.2444825925328473e-07
1840,3.3186078790548024e-07
1841,1.6950247561098308e-07
1842,1.9655216965119848e-07
1843,1.742538693894069e-07
1844,2.5137609815928386e-07
1845,1.8972775439607403e-07
1846,2.0607845363507238e-07
1847,2.3136928906097864e-07
1848,1.5205469300338947e-07
1849,2.488686270396556e-07
1850,2.1113776949022167e-07
1851,1.1415506451228907e-07
1852,2.7800029900326706e-07
1853,2.591818357711162e-07
1854,1.309307383623448e-07
1855,1.3851105507001193e-07
1856,1.0147290874229498e-07
1857,1.8061583967332595e-07
1858,1.9281083657451958e-07
1859,1.532744233756489e-07
1860,1.4875847584305824e-07
1861,2.093887913057202e-07
1862,1.599367200899593e-07
1863,1.1487628176487519e-07
1864,9.493561314855015e-08
1865,3.5772018058821686e-07
1866,1.2358656609201546e-07
1867,1.3393759701330055e-07
1868,1.6696774240987367e-07
1869,2.1829330021372328e-07
1870,2.1617364431847363e-07
1871,2.0286448787487643e-07
1872,2.0137639444861577e-07
1873,2.388415749621231e-07
1874,1.9477225143837984e-07
1875,1.7164581400663792e-07
1876,1.8138044199922376e-07
1877,2.9192331851835007e-07
1878,2.6330426794451967e-07
1879,2.0710612691487995e-07
1880,1.6558043891556906e-07
1881,1.6315667505928388e-07
1882,2.515735628705329e-07
1883,3.4187623187964533e-07
1884,4.211882727034322e-07
1885,1.6952022319216553e-07
1886,1.716621385039474e-07
1887,2.2002475641436092e-07
1888,3.3985695080396283e-07
1889,1.6289355475596068e-07
1890,1.3895299455501942e-07
1891,1.434199528027591e-07
1892,2.030997976465443e-07
1893,2.186237866297347e-07
1894,1.7770341109724086e-07
1895,1.5889141979918975e-07
1896,1.0614652401486069e-07
1897,9.614077367547935e-08
1898,1.6352645637596197e-07
1899,2.012038553544926e-07
1900,7.838490312384039e-08
1901,1.5369032135836846e-07
1902,9.03492218817803e-08
1903,1.3068532944693345e-07
1904,1.2254145254075866e-07
1905,8.566860276726374e-08
1906,6.944649022511129e-08
1907,1.3371392704186746e-07
1908,1.6600495422736117e-07
1909,8.58153434979414e-08
1910,1.2077780764396806e-07
1911,1.0002303141298796e-07
1912,1.1512821174175514e-07
1913,9.121142197088261e-08
1914,1.1384464526642546e-07
1915,1.4019106986395968e-07
1916,1.40639516921226e-07
1917,1.0198774580416625e-07
1918,4.479686843694708e-08
1919,5.985101486638555e-08
1920,9.010955803745446e-08
1921,8.330022205349508e-08
1922,8.558404829273059e-08
1923,3.92790080461225e-08
1924,8.121723527043656e-08
1925,3.959344119230934e-08
1926,8.248142135958147e-08
1927,8.138934348700388e-08
1928,4.456155999754685e-08
1929,5.1245868659677285e-08
1930,3.676261228768851e-08
1931,5.018357018826691e-08
1932,4.1646238124748436e-08
1933,2.982372260262878e-08
1934,3.235026646564165e-08
1935,6.223507931224503e-08
1936,5.819862858302827e-08
1937,4.28098014815248e-08
1938,4.2785207376994094e-08
1939,2.752929102456392e-07
1940,1.3946805821341002e-07
1941,1.3872062476494307e-07
1942,8.495792824803061e-08
1943,6.387117434947243e-08
1944,3.213186161588055e-08
1945,8.496165815330414e-08
1946,6.542918828955635e-08
1947,7.033314064486262e-08
1948,2.5005342241257722e-08
1949,6.381055284165882e-08
1950,1.9250004901216755e-07
1951,1.9936821082922052e-07
1952,1.2337420252084286e-07
1953,2.434885031377121e-07
