year,idées_NOUN in_ADJ,idées_NOUN fines_ADJ
1800,2.2009151834367913e-08,1.2262241000371432e-07
1801,4.7623651688866175e-09,1.4048977448055666e-07
1802,4.475680270843441e-09,6.713520406265161e-08
1803,1.755305234496518e-08,9.946730017418304e-08
1804,1.4831105232815389e-08,1.8044511307380162e-07
1805,2.55858996212055e-08,1.8762992226584174e-07
1806,1.729001475325731e-08,1.556101381083863e-07
1807,2.2775640928784924e-08,4.555128185756985e-08
1808,2.2660739951163578e-09,7.931259204951857e-08
1809,0.0,7.228897658251299e-08
1810,1.1700633351097167e-08,4.212228077449254e-08
1811,2.5070767684098882e-09,6.267691787797958e-08
1812,2.6672082320544632e-09,1.3069320914382843e-07
1813,2.5881675469463516e-08,1.35159851311073e-07
1814,6.293354282149721e-09,4.090680150170556e-08
1815,5.394447111228828e-09,1.0788894222457657e-08
1816,9.270415546325239e-09,2.0858434979231788e-08
1817,3.113746815941454e-09,4.981994905506326e-08
1818,4.768470951432846e-09,1.6093589749743842e-07
1819,1.0351049795076506e-08,4.45095160728215e-08
1820,5.933240565525466e-09,8.662531314485022e-08
1821,2.070912508145284e-08,1.065040748926549e-07
1822,1.7043547018147365e-08,4.110502516141423e-08
1823,5.929612356680991e-09,1.8777104315859106e-08
1824,9.263223965660927e-09,3.452656116564867e-08
1825,1.0566531649658373e-08,4.6668848341369085e-08
1826,4.403992281964975e-09,2.2019960965735663e-08
1827,1.1060727445055818e-08,3.410390903013649e-08
1828,1.8344602503717056e-09,2.0179061976932644e-08
1829,1.2002446148073886e-08,2.5719527840806222e-08
1830,1.0436835840010872e-09,5.0096812032052185e-08
1831,0.0,3.274153215215847e-08
1832,1.6235963684607668e-08,3.111892965534935e-08
1833,8.108539617524002e-09,2.7800709290204395e-08
1834,1.8669061851994684e-09,2.42697808516823e-08
1835,1.5126175867408165e-09,2.3445572594482655e-08
1836,1.008112526790228e-08,2.2850549896702432e-08
1837,8.349468672008697e-09,1.7394727436226276e-08
1838,5.680945491803868e-09,2.1461350030449466e-08
1839,4.894032734625853e-09,1.11863602825224e-08
1840,6.3696887764308485e-09,1.4013314952876499e-08
1841,6.420548537278137e-09,3.146068650039524e-08
1842,3.3541325272778977e-09,1.7441490030023488e-08
1843,2.953455480181333e-09,2.8943864194275193e-08
1844,4.390849017710252e-09,1.6465683927435748e-08
1845,5.580227835366713e-09,1.5066614622583074e-08
1846,2.3418005312692003e-09,5.269050973311096e-09
1847,1.0786447290911383e-08,2.8584086209093584e-08
1848,8.045221711050488e-10,2.091757700384278e-08
1849,2.513824481908955e-09,1.005529792763582e-08
1850,7.467895635215882e-09,1.2899092460827433e-08
1851,3.8696632564949596e-09,1.7413483988093503e-08
1852,5.859490670445666e-09,1.0416872697760482e-08
1853,4.180352064508952e-09,2.149895550473957e-08
1854,2.0782657816909023e-09,2.6497888327980945e-08
1855,3.1841622671890946e-09,3.343370380548549e-08
1856,3.6240324075009767e-09,2.329735160344626e-08
1857,6.8341128311999455e-09,2.4895696171256532e-08
1858,7.34051397444091e-09,2.3489644007668176e-08
1859,3.5645213447565993e-09,1.9859475841599306e-08
1860,1.0985241161165504e-08,8.696649622663699e-09
1861,4.715963619617014e-09,2.2165028923382124e-08
1862,4.517986429419807e-09,1.490935552794781e-08
1863,3.995696662428827e-09,1.6482248454963155e-08
1864,9.589455896019672e-10,9.589456340108882e-09
1865,2.3534221238463715e-09,1.0825742080555756e-08
1866,1.4596839292835284e-09,3.2113046444237625e-08
1867,1.455843445796745e-09,1.164674756637396e-08
1868,6.421836395986702e-09,1.975949626142892e-09
1869,9.767038289254515e-10,2.197583626184496e-08
1870,4.013834153937523e-09,1.2614907340946502e-08
1871,2.1242354542039266e-09,9.559059321873065e-09
1872,1.8142017887967654e-09,1.269941218851045e-08
1873,2.3944017879529156e-09,5.387403856360606e-09
1874,1.1949218281515073e-09,1.6728906260254917e-08
1875,2.2886108563824337e-09,6.980263123068653e-08
1876,1.813804439976252e-09,7.376137745040978e-08
1877,0.0,2.4739264858908427e-08
1878,6.039088673581716e-10,2.8383716710322915e-08
1879,3.665595160740054e-09,2.871382953628654e-08
1880,5.776061406947974e-09,2.0537108014195837e-08
1881,0.0,2.370652651961791e-08
1882,1.9966155395678697e-09,1.7304001787010748e-08
1883,6.319338941018771e-10,1.0110942305630033e-08
1884,3.9610181801208455e-09,1.4523733327109767e-08
1885,6.445635691854079e-10,1.0313017106966527e-08
1886,0.0,1.2906927970846027e-08
1887,1.3057849246322917e-09,1.1099172247952538e-08
1888,6.340614699951175e-10,3.1703073943845084e-08
1889,6.265136742733546e-10,3.4458253139746375e-08
1890,6.554386478008212e-10,1.6385966361553983e-08
1891,1.2748440081367107e-09,9.561330394092238e-09
1892,0.0,7.522214851007902e-09
1893,0.0,2.155445777418663e-08
1894,1.2603078580752936e-09,2.520615716150587e-09
1895,0.0,1.023164486468886e-08
1896,2.948514543632541e-09,3.5382172747233653e-09
1897,0.0,4.661370844871726e-09
1898,0.0,7.921697076085366e-09
1899,1.1055156790007459e-09,9.949641111006713e-09
1900,5.191053142894475e-10,5.710158568206225e-09
1901,1.1177477832191585e-09,9.500856101851696e-09
1902,9.820567692386817e-10,1.3257766440233354e-08
1903,3.2401321625741275e-09,7.560307935250421e-09
1904,1.0749250378694342e-09,1.4511488011237361e-08
1905,1.0321518084666081e-09,7.741138396966107e-09
1906,2.0576738091193647e-09,1.0288369267641428e-08
1907,1.028568674676933e-09,1.1828539925318182e-08
1908,9.822778146428846e-10,2.161011281032188e-08
1909,3.300590023513905e-09,1.870334465081669e-08
1910,0.0,1.1757131268552712e-08
1911,5.320374141248863e-10,1.1172785363555704e-08
1912,1.5628263128064646e-09,1.3544495303108306e-08
1913,1.590896969716482e-09,1.96210621083992e-08
1914,1.3393487430235496e-09,2.9465672568562695e-08
1915,0.0,9.424609537234119e-09
1916,0.0,1.0987461607214755e-08
1917,0.0,1.864292187292449e-08
1918,0.0,4.594550517822427e-09
1919,1.8415696745321952e-09,1.4732557396257562e-08
1920,7.572231730534895e-10,1.665890891899835e-08
1921,7.572747429129834e-10,1.060184651180407e-08
1922,7.377935484775833e-10,7.377935595798135e-09
1923,0.0,1.1677542488541803e-08
1924,0.0,1.804827398643738e-08
1925,2.1996355847875293e-09,3.079489729884699e-08
1926,0.0,8.916910765321973e-09
1927,1.1149224876660924e-09,1.8953683067479687e-08
1928,2.2852082448565625e-09,1.1426041446327417e-08
1929,1.1140406375176326e-09,1.2254447234738564e-08
1930,0.0,1.7856125467119455e-08
1931,0.0,1.710803587684495e-08
1932,0.0,2.1919072779041926e-08
1933,0.0,1.1470662641954732e-08
1934,0.0,1.4377896206951846e-08
1935,1.196828414151696e-09,1.6755597798123745e-08
1936,1.2124714565686645e-09,9.699771652549316e-09
1937,0.0,1.1332006444320086e-08
1938,0.0,3.8895642262559704e-09
1939,1.5294050470515685e-09,1.070583532936098e-08
1940,0.0,5.0715658339584024e-09
1941,0.0,5.9030051957620344e-09
1942,0.0,6.068423541449874e-09
1943,0.0,2.0322646676618206e-08
1944,0.0,0.0
1945,2.178504043826024e-09,2.178504132643866e-08
1946,1.3921104269343232e-09,6.960552134671616e-09
1947,3.5762612871081956e-09,9.536696765621855e-09
1948,2.174377566888097e-09,6.523132700664291e-09
1949,0.0,2.945102384188658e-09
1950,1.0635361480382244e-09,8.508289184305795e-09
1951,0.0,1.4925962688039363e-08
1952,3.1634410646574906e-09,1.5817205323287453e-08
1953,0.0,5.386913581872932e-09
