year,tels_ADJ oeufs_NOUN,tels_ADJ feux_NOUN
1800,0.0,3.144164484325529e-09
1801,2.3811825844433088e-09,2.6193008650921e-08
1802,0.0,2.6854081625060644e-08
1803,0.0,1.755305234496518e-08
1804,0.0,4.449331569844617e-08
1805,0.0,8.528632911009026e-09
1806,0.0,8.645007376628655e-09
1807,0.0,8.540865792383556e-09
1808,0.0,2.2660739951163578e-09
1809,0.0,4.518061036407062e-09
1810,0.0,4.680253518074551e-09
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,1.1502966579257645e-08
1814,0.0,1.5733386149463513e-08
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,0.0,2.6466848268569265e-08
1818,0.0,1.1921177378582115e-09
1819,0.0,1.035105001712111e-09
1820,0.0,0.0
1821,0.0,1.0847637454958203e-08
1822,0.0,8.02049271442229e-09
1823,0.0,1.9765373782121287e-09
1824,0.0,3.789500624407083e-08
1825,0.0,3.522177216552791e-09
1826,0.0,9.688783109140786e-09
1827,0.0,8.295545583791863e-09
1828,0.0,9.172301251858528e-10
1829,0.0,5.143905745796928e-09
1830,0.0,2.0873670791843324e-08
1831,0.0,9.354723218280014e-09
1832,0.0,8.117981842303834e-09
1833,0.0,1.7375443306377747e-08
1834,0.0,8.401078055442213e-09
1835,0.0,1.0588323107185715e-08
1836,6.720750067579218e-10,1.8146025126952736e-08
1837,0.0,8.349468672008697e-09
1838,0.0,2.209256599883247e-08
1839,0.0,4.894032734625853e-09
1840,0.0,4.458782232319436e-09
1841,0.0,9.630822361827995e-09
1842,0.0,1.475818312002275e-08
1843,0.0,4.134837805480629e-09
1844,0.0,2.7442805805577564e-09
1845,0.0,5.580227835366713e-09
1846,0.0,1.7563503984519002e-09
1847,0.0,1.0786447290911383e-09
1848,0.0,8.04522137798358e-09
1849,0.0,2.513824481908955e-09
1850,0.0,3.394498016007219e-09
1851,0.0,3.8696632564949596e-09
1852,0.0,1.2370036550635177e-08
1853,0.0,6.569124799682413e-09
1854,0.0,7.27393034694046e-09
1855,5.306937111981824e-10,1.5920811335945473e-08
1856,0.0,1.346069211649592e-08
