year,aux_ADP arts_NOUN,aux_ADP phares_NOUN
1800,9.492232409868961e-06,6.288328968651058e-09
1801,6.767321032441487e-06,0.0
1802,6.494211845620157e-06,0.0
1803,7.22015596466008e-06,1.950339223455444e-09
1804,6.491080696946483e-06,2.4718509461507665e-09
1805,7.110037023139171e-06,0.0
1806,7.797796595099271e-06,0.0
1807,9.60847353326244e-06,2.2775640928784924e-08
1808,6.39712692063199e-06,4.5321479902327155e-09
1809,5.988689963487559e-06,2.710836710662079e-08
1810,7.455644006171269e-06,2.3401267590372754e-09
1811,5.773797786545742e-06,0.0
1812,6.291944060876631e-06,0.0
1813,5.906773560937495e-06,1.4378708224072057e-08
1814,5.242364110813469e-06,3.1466771410748606e-09
1815,4.436932698581586e-06,4.045835311217161e-08
1816,5.51126220216247e-06,2.0858434979231788e-08
1817,5.103430922304142e-06,4.670620223912181e-09
1818,4.667141027425714e-06,1.6689648552059566e-08
1819,5.145506875692263e-06,5.175524897538253e-09
1820,4.7655788080192e-06,1.1866481131050932e-08
1821,5.1703782375511764e-06,1.7750678149575094e-08
1822,5.469976002814292e-06,9.023054303725075e-09
1823,5.026334470414895e-06,1.1859224713361982e-08
1824,4.880876732116235e-06,2.3579115548955087e-08
1825,6.023803607035916e-06,4.0505039322624725e-08
1826,5.874925456339497e-06,3.3470339388941284e-08
1827,6.737826716118889e-06,2.7651818612639545e-08
1828,5.504298016489884e-06,1.0639869429951432e-07
1829,5.674585082715566e-06,1.2859763753869657e-08
1830,5.496037545071886e-06,2.2961039292113128e-08
1831,4.755317764448819e-06,3.741889287312006e-08
1832,4.849140797791307e-06,1.488296597074168e-08
1833,4.679786020034271e-06,2.6642345218874652e-08
1834,4.5113788909034724e-06,4.0138484536100805e-08
1835,4.065916122897306e-06,1.2100940693926532e-08
1836,3.365079589201514e-06,1.008112526790228e-08
1837,4.265187053320574e-06,2.435261770017405e-08
1838,4.1319410399864864e-06,3.029837714052519e-08
1839,4.060648924664179e-06,1.957613093850341e-08
1840,4.030738871563244e-06,8.917564464638872e-09
1841,4.0353148307303854e-06,2.118781017301785e-08
1842,4.245661074264717e-06,2.817471367322355e-08
1843,3.979486013605538e-06,2.1855571574747046e-08
1844,3.5774441826674774e-06,4.2810779143920286e-08
1845,3.26443331033488e-06,1.0044410636567136e-08
1846,3.301353384443928e-06,8.196302303531411e-09
1847,3.817323626975622e-06,2.0494249852731627e-08
1848,3.193148550906244e-06,1.930853166243196e-08
1849,3.0953558542989867e-06,2.1786478399121734e-08
1850,3.6321129783800643e-06,1.4935791270431764e-08
1851,3.092505846069571e-06,2.4507867735223954e-08
1852,3.875727676572183e-06,2.6042181744401205e-08
1853,3.4583457058090517e-06,2.5679307569248522e-08
1854,3.6463172250478237e-06,9.560022817822755e-08
1855,3.852305589191474e-06,6.899018245576372e-08
1856,3.835261829010506e-06,1.1596903704003125e-07
1857,3.3199143771867057e-06,2.39193944651106e-08
1858,3.3898493256856455e-06,2.4468379322684086e-08
1859,3.293108463253702e-06,1.3748867822016564e-08
1860,3.3207470337970335e-06,4.11946569078836e-08
