year,pinces_NOUN fines_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,1.9774807569206132e-08
1805,5.685755422035754e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,8.00162425207418e-09
1813,0.0
1814,0.0
1815,0.0
1816,2.3176038865813098e-09
1817,0.0
1818,1.1921176934492905e-08
1819,0.0
1820,8.306536791735653e-09
1821,1.97229765852569e-09
1822,1.0025615893027862e-09
1823,0.0
1824,4.210556348027694e-09
1825,8.805443041381977e-10
1826,0.0
1827,9.217273055917019e-10
1828,1.3758452155343548e-08
1829,6.001223074036943e-09
1830,0.0
1831,9.354723218280014e-09
1832,1.488296597074168e-08
1833,8.108539617524002e-09
1834,3.733812370398937e-09
1835,1.1344631900556124e-08
1836,2.688300027031687e-09
1837,7.653680356156656e-09
1838,9.468243078458727e-09
1839,2.23727205650448e-08
1840,3.057450503884951e-08
1841,1.5409316489467528e-08
1842,1.8783142152756227e-08
1843,1.063243981747064e-08
1844,5.488561161115513e-09
1845,2.2320911785556063e-09
1846,7.025401593807601e-09
1847,1.3483059113639229e-08
1848,4.82713291560799e-09
1849,5.865590679832167e-09
1850,1.3577992064028876e-09
1851,0.0
1852,4.557382027314816e-09
1853,1.4332636411040767e-08
1854,1.558699391779328e-09
1855,1.6982198758341838e-08
1856,1.4496129630003907e-08
1857,4.393358121745905e-09
1858,5.3830437884982985e-09
1859,2.3933214521321133e-08
1860,5.034902272882391e-09
1861,8.960331143725853e-09
1862,1.0843167252971853e-08
1863,9.989241656072068e-10
1864,8.151037178549814e-09
1865,3.765475486972036e-09
1866,2.432806400776144e-09
1867,1.164674756637396e-08
1868,1.4819621974027086e-08
1869,1.4650557211837167e-08
1870,1.490852596930381e-08
1871,5.098165090089424e-08
1872,7.861540751719076e-09
1873,2.6338419445437466e-08
1874,1.1949218503559678e-08
1875,1.4303817685856757e-08
1876,9.069021977836655e-09
1877,2.72131899237138e-08
1878,1.2078177569208037e-08
1879,4.27652757650776e-09
1880,1.7969970400599777e-08
1881,2.928453191053393e-08
1882,3.128031167420886e-08
1883,1.4534479397809719e-08
1884,1.9805090900604227e-08
1885,1.2246707647989297e-08
1886,6.4534639854230136e-09
1887,7.834709769838355e-09
1888,1.521747527988282e-08
1889,8.771191772893872e-09
1890,1.3764211992395303e-08
1891,1.466070642663908e-08
1892,1.002961980134387e-08
1893,1.4780200174868696e-08
1894,8.822155006527055e-09
1895,1.685212125401847e-08
1896,7.076434549446731e-09
1897,1.3401440845939305e-08
1898,5.092519295146758e-09
1899,6.633094074004475e-09
1900,3.633737311048435e-09
1901,5.588738860584641e-09
1902,4.419255628107521e-09
1903,1.0800440541913758e-08
1904,1.0749250378694342e-08
1905,1.0837593933388234e-08
1906,4.629765903985117e-09
1907,2.057137349353866e-09
1908,7.367083831866239e-09
1909,2.915521307711444e-08
1910,7.481810726517324e-09
1911,6.916486494645824e-09
