year,maladies_NOUN in_ADJ
1800,9.432493897065797e-09
1801,9.524730337773235e-09
1802,2.2378401354217203e-09
1803,1.5602713787643552e-08
1804,4.943701892301533e-09
1805,8.528632911009026e-09
1806,8.645007376628655e-09
1807,2.8469551160981155e-09
1808,2.4926814390369145e-08
1809,9.036122072814123e-09
1810,1.1700633351097167e-08
1811,2.5070767684098882e-09
1812,1.0668832928217853e-08
1813,5.176335093892703e-08
1814,3.1466771410748606e-09
1815,2.1577788444915313e-08
1816,2.3176038865813098e-09
1817,6.227493631882908e-09
1818,4.768470951432846e-09
1819,3.1053151161586356e-09
1820,7.119888678630559e-09
1821,1.97229765852569e-09
1822,7.017931125119503e-09
1823,5.929612356680991e-09
1824,4.210556348027694e-09
1825,3.522177216552791e-09
1826,4.403992281964975e-09
1827,2.7651818612639545e-09
1828,6.420610709767516e-09
1829,1.1145129263923081e-08
1830,2.0873671680021744e-09
1831,0.0
1832,1.3529969367098715e-09
1833,5.791814139399776e-09
1834,2.8003592777992026e-09
1835,6.050470346963266e-09
1836,4.032449929525228e-09
1837,2.7831562610103333e-09
1838,6.312161904276081e-10
1839,3.4957374772659477e-09
1840,2.5478754661634184e-09
1841,3.852329122366882e-09
1842,2.683306021822318e-09
1843,1.7720733769266417e-09
1844,1.6465684371524958e-09
1845,0.0
1846,5.854501328173001e-10
1847,4.314578916364553e-09
1848,1.126331028444838e-08
1849,7.54147322368226e-09
1850,2.7155984128057753e-09
1851,4.514607354622058e-09
1852,1.9531636308300904e-09
1853,2.9859659189668264e-09
1854,3.117398617025202e-09
1855,2.653468555990912e-09
1856,7.765783904822854e-09
1857,1.9526036343364694e-09
1858,3.4255731584664773e-09
1859,2.036869339860914e-09
1860,5.034902272882391e-09
1861,9.431927461278633e-10
1862,2.2589932147099034e-09
1863,2.4973103585068657e-09
1864,2.8768367688059016e-09
1865,2.3534221238463715e-09
1866,4.865612912574591e-10
1867,3.396968040192405e-09
1868,3.457911734727759e-09
1869,1.4650557433881772e-09
1870,8.027668307875047e-09
1871,2.1242354542039266e-09
1872,1.8142017887967654e-09
1873,1.1972009161809183e-08
1874,8.364453130127458e-09
1875,2.2886108563824337e-09
1876,1.813804439976252e-09
1877,1.8554447978047506e-09
1878,4.22736201599605e-09
1879,3.665595160740054e-09
1880,3.2089231272180996e-09
1881,9.761510710859511e-09
1882,2.6621540527571597e-09
1883,7.58320695126713e-09
1884,5.281357573494461e-09
1885,5.801072122668671e-09
1886,5.162771099520569e-09
1887,3.264462256069578e-09
1888,1.9021844099853524e-09
1889,6.891650528029203e-09
1890,8.520702365899524e-09
1891,6.3742202627281586e-09
1892,2.5074049503359674e-09
1893,9.237624998270633e-09
1894,5.041231432301174e-09
1895,4.814891596538473e-09
1896,7.66613794667137e-09
1897,5.2440420894583895e-09
1898,1.13167097914868e-09
