year,épines_NOUN fines_ADJ
1800,0.0
1801,0.0
1802,8.951360541686881e-09
1803,2.145373123596528e-08
1804,0.0
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,0.0
1809,0.0
1810,0.0
1811,1.7549536934780008e-08
1812,0.0
1813,0.0
1814,2.5173417128598885e-08
1815,0.0
1816,0.0
1817,0.0
1818,1.1921176934492905e-08
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,2.201360693732113e-08
1826,0.0
1827,9.217273055917019e-10
1828,8.255071293206129e-09
1829,3.429270423183084e-09
1830,1.0436835840010872e-09
1831,7.795603274018958e-09
1832,6.764984572527055e-09
1833,9.266902800675325e-09
1834,9.334531370086552e-09
1835,7.563087933704082e-10
1836,0.0
1837,0.0
1838,0.0
1839,7.131304613494649e-08
1840,0.0
1841,0.0
1842,6.037438549100216e-09
1843,7.088293507706567e-09
1844,0.0
1845,1.674068439427856e-09
1846,2.3418005312692003e-09
1847,4.853901280910122e-09
1848,2.413566457803995e-09
1849,8.379414939696517e-10
1850,0.0
1851,3.8696632564949596e-09
1852,4.557382027314816e-09
1853,2.9859659189668264e-09
1854,1.0391328908454511e-09
1855,0.0
1856,0.0
1857,2.9289055625270066e-09
1858,4.893676019968041e-10
1859,8.147477359443656e-09
1860,4.577183909670879e-10
1861,6.13075279431996e-09
1862,6.776979422085105e-09
1863,9.989241656072068e-10
1864,7.671564716815737e-09
1865,4.23615986733239e-09
1866,0.0
1867,1.455843445796745e-09
1868,4.44588676984381e-09
1869,5.860222973552709e-09
1870,1.1468097582678638e-09
1871,1.4869648623516696e-08
1872,3.628403577593531e-09
1873,5.387403856360606e-09
1874,9.559374625212058e-09
1875,6.865832347102696e-09
1876,9.673623679873344e-09
1877,8.040260901509555e-09
1878,1.268208649207736e-08
1879,3.5434087664043545e-08
1880,4.492492600149944e-09
1881,1.5339516323820135e-08
1882,3.9932310791357395e-09
1883,5.687405213450347e-09
1884,2.6406787867472303e-09
1885,6.445635691854079e-10
1886,1.4197620856748472e-08
1887,6.528924623161458e-10
1888,6.340614699951175e-10
1889,1.2530273485467092e-09
1890,5.243509182406569e-09
1891,0.0
1892,9.402768341715273e-09
1893,3.079208221734575e-09
1894,5.671385139294216e-09
1895,2.4074457982692365e-09
1896,1.3563166589847242e-08
1897,1.9228155068162778e-08
1898,2.8291773368493978e-09
1899,0.0
1900,3.114631885736685e-09
1901,1.676621730339889e-09
1902,5.892340837476695e-09
1903,7.020286574288548e-09
1904,5.374625189347171e-09
1905,1.3417973399043603e-08
1906,5.144184522798412e-10
1907,6.685696440911215e-09
1908,3.437972351250096e-09
1909,7.701377313651392e-09
1910,5.878565634276356e-09
1911,1.5961122423746588e-09
1912,2.0837684910901544e-09
1913,3.71209285532359e-09
1914,2.678697486047099e-09
1915,0.0
1916,7.69122365795738e-09
1917,0.0
1918,2.2972752589112133e-09
1919,0.0
