year,cartes_NOUN in_ADJ,cartes_NOUN fines_ADJ
1800,1.5720821977538435e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,3.900678446910888e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,3.4114531644036106e-08,5.685755422035754e-09
1806,1.729001475325731e-08,0.0
1807,1.4234776024579787e-08,1.4234775136401367e-08
1808,1.5862518409903714e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,1.6380887757350138e-08,0.0
1811,1.504245972228091e-08,5.0141535368197765e-09
1812,3.7340914360584065e-08,1.3336041604361526e-08
1813,2.8757416448144113e-09,0.0
1814,1.2586708564299443e-08,0.0
1815,2.697223555614414e-09,2.697223555614414e-09
1816,5.7940098940889584e-08,0.0
1817,9.341240669868967e-09,0.0
1818,2.384235475716423e-09,0.0
1819,8.280840235741493e-09,1.035105001712111e-09
1820,1.3053129244156025e-08,0.0
1821,2.9584463767662328e-09,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,1.2631669044083083e-08,0.0
1825,1.1447076175841175e-08,7.924898959288385e-09
1826,1.0569580766173203e-08,7.927186018719112e-09
1827,3.410390903013649e-08,9.217273055917019e-10
1828,1.8344602503717056e-09,0.0
1829,4.286587973467704e-09,0.0
1830,1.7742621594152297e-08,1.0436835840010872e-09
1831,3.430065276255334e-08,0.0
1832,2.3000948701223933e-08,0.0
1833,4.6334514003376626e-09,0.0
1834,6.534171426153534e-09,0.0
1835,2.2689263801112247e-09,0.0
1836,4.032449929525228e-09,0.0
1837,7.653680356156656e-09,1.3915781860163179e-09
1838,9.468243078458727e-09,0.0
1839,1.3283802502428443e-08,2.0974426639952526e-09
1840,2.5478754661634184e-09,0.0
1841,4.494383976094696e-09,1.926164561183441e-09
1842,8.720745015011744e-09,6.708265054555795e-10
1843,1.9492807368237663e-08,4.7255288571079745e-09
1844,1.0428266250528395e-08,0.0
1845,2.0088821273134272e-08,1.1160455892778032e-09
1846,7.025401593807601e-09,0.0
1847,8.089835468183537e-09,5.393223645455691e-10
1848,4.82713291560799e-09,8.045221711050488e-10
1849,7.54147322368226e-09,7.541473445726865e-09
1850,7.467895635215882e-09,1.5614691761811628e-08
1851,9.674158363282004e-09,2.8377531435808123e-08
1852,1.5625308824596118e-08,1.3021090872200602e-09
1853,9.55509071864924e-09,0.0
1854,1.1950028522278444e-08,0.0
1855,1.4859423913549108e-08,0.0
1856,8.801221973442352e-09,1.5531567143511893e-09
1857,2.8312753030945714e-08,0.0
1858,8.31924923394567e-09,4.404308473482388e-09
1859,4.073738679721828e-09,0.0
1860,2.2428200713298097e-08,0.0
1861,9.90352361229796e-09,0.0
1862,1.671654947799084e-08,0.0
1863,2.597202808374277e-08,0.0
1864,1.4384183621984903e-08,0.0
1865,1.6473954644879996e-08,2.3534221238463715e-09
1866,2.3841502994059738e-08,4.865612912574591e-10
1867,2.91168689159349e-08,2.91168689159349e-09
1868,2.3217407330022866e-08,0.0
1869,2.2952539424636598e-08,4.883519144627257e-10
1870,1.7202147262196377e-08,9.17447806614291e-09
1871,1.274541272522356e-08,0.0
1872,1.0885210954825197e-08,3.0236697590169115e-09
1873,2.5141218884527916e-08,0.0
1874,1.4339061826795785e-08,0.0
1875,3.261270603571731e-08,0.0
1876,1.753344314181504e-08,0.0
1877,2.2265338017746217e-08,0.0
1878,2.2948536182454404e-08,6.039088673581716e-10
1879,3.29903571127943e-08,6.10932526790009e-10
1880,4.043243118090345e-08,7.059630879879819e-09
1881,2.8587281875047665e-08,0.0
1882,1.7969540522244642e-08,2.6621540527571597e-09
1883,1.516641390253426e-08,1.4534479397809719e-08
1884,3.234831424947515e-08,1.9805090900604227e-09
1885,2.578254243434941e-08,0.0
1886,1.4842966855610484e-08,3.2267319372003556e-09
1887,6.528924512139156e-09,4.570247291724172e-09
1888,1.1413106904001324e-08,1.9021844099853524e-09
1889,6.265136853755848e-09,6.265136742733546e-10
1890,1.3764211992395303e-08,0.0
1891,1.5935549768641977e-08,1.2748440081367107e-09
1892,1.5044429702015805e-08,1.2537024751679837e-09
1893,2.7097032229139728e-08,0.0
1894,2.2685540557176864e-08,1.8904617871129403e-09
1895,1.444467478961542e-08,5.416753046105782e-09
1896,2.4177818858106548e-08,1.179405795248556e-09
1897,1.2236098356765979e-08,8.157399200570126e-09
1898,1.3014216371232123e-08,0.0
1899,1.4371703827009696e-08,4.4220627160029835e-09
1900,2.4917054419759666e-08,4.15284251431558e-09
1901,1.7325090695408107e-08,5.588738916095792e-10
1902,1.1784681341886483e-08,1.4730852093691738e-09
1903,1.0800440541913758e-08,5.400220270956879e-10
1904,2.3110889202371254e-08,1.0749250378694342e-09
1905,5.676835002077496e-09,3.6125313851442797e-09
