year,sciences_NOUN in_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,1.1866481131050932e-09
1821,0.0
1822,1.0025615893027862e-09
1823,0.0
1824,0.0
1825,8.805443041381977e-10
1826,1.7615968683770689e-09
1827,9.217273055917019e-10
1828,0.0
1829,0.0
1830,0.0
1831,1.5591206103948707e-09
1832,0.0
1833,1.1583628500844156e-09
1834,0.0
1835,2.2689263801112247e-09
1836,3.36037508930076e-09
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,5.778493683550323e-09
1842,0.0
1843,2.3627644285539873e-09
1844,5.488561272137815e-10
1845,1.1160455892778032e-09
1846,0.0
1847,4.853901280910122e-09
1848,8.045221711050488e-10
1849,0.0
1850,6.788996032014438e-10
1851,2.579775504329973e-09
1852,0.0
1853,1.1943863675867306e-09
1854,2.0782657816909023e-09
1855,0.0
1856,0.0
1857,1.464452725752352e-09
1858,3.4255732694887797e-09
1859,2.036869339860914e-09
1860,0.0
1861,1.886385547766878e-09
1862,9.035972525772706e-10
1863,1.4983862484108101e-09
1864,2.397363974004918e-09
1865,4.706844358715045e-10
1866,1.4596838737723772e-09
1867,9.7056229719783e-10
1868,4.93987406535723e-10
1869,4.883519144627257e-10
1870,0.0
1871,1.0621177271019633e-09
1872,1.8142017887967654e-09
1873,5.986004469882289e-10
1874,0.0
1875,5.721527140956084e-10
1876,1.813804439976252e-09
1877,4.9478527941460015e-09
1878,3.019544336790858e-09
1879,1.221865053580018e-09
1880,3.2089231272180996e-09
1881,2.091752326904839e-09
1882,6.655385131892899e-10
1883,6.319338941018771e-10
1884,1.3203393933736152e-09
1885,6.445635691854079e-10
1886,1.9360391623202133e-09
1887,3.9173548849191775e-09
1888,6.340614699951175e-10
1889,6.891650361495749e-09
1890,1.3108772956016423e-09
1891,2.549687905251119e-09
1892,0.0
1893,6.158416554491453e-10
1894,4.4110775032635274e-09
1895,6.018614495673091e-10
1896,1.179405795248556e-09
1897,5.826713556089658e-10
1898,3.960848315998078e-09
1899,6.633094074004475e-09
1900,2.595526460424935e-09
1901,1.676621730339889e-09
1902,0.0
1903,1.0800440541913758e-09
1904,1.6123875568041512e-09
1905,1.5482277126999122e-09
1906,6.687439713104482e-09
1907,6.685696329888913e-09
1908,2.4556945366072114e-09
1909,5.500983557560346e-10
1910,5.344150677544235e-10
1911,4.2562994240213925e-09
1912,1.5628263683176158e-09
1913,5.30298971401777e-10
1914,1.3393487430235496e-09
1915,5.890380960771324e-09
1916,0.0
1917,2.1932848870420685e-09
1918,1.1486376294556067e-09
1919,0.0
1920,2.2716695191604686e-09
1921,0.0
1922,2.951174193910333e-09
1923,1.0615948120573648e-09
1924,2.578324886925998e-09
