year,pensées_NOUN in_ADJ,pensées_NOUN fines_ADJ
1800,0.0,2.0122652699683385e-07
1801,2.3811825844433088e-09,1.5239568540437176e-07
1802,0.0,1.1189200677108602e-07
1803,0.0,1.2872239096850535e-07
1804,0.0,1.97748079244775e-07
1805,0.0,1.535153975051884e-07
1806,2.881669125542885e-09,8.645007198992971e-08
1807,0.0,1.0818429529990681e-07
1808,0.0,2.1754309997845667e-07
1809,0.0,1.7846341560101564e-07
1810,0.0,2.5507382694911485e-07
1811,2.5070767684098882e-09,1.3788921648938413e-07
1812,5.3344164641089264e-09,1.6003248770601886e-07
1813,0.0,2.444380413635372e-07
1814,0.0,6.293354060105116e-08
1815,2.697223555614414e-09,2.4275012222574333e-08
1816,1.3905623319487859e-08,1.2051540920765547e-07
1817,4.670620334934483e-09,8.095741965696845e-08
1818,1.1921177378582115e-09,1.6212801767778728e-07
1819,0.0,3.9333990287104825e-08
1820,2.3732962262101864e-09,1.222247600907167e-07
1821,0.0,1.479223215028469e-07
1822,1.0025615893027862e-09,9.724847416237026e-08
1823,9.882686891060644e-10,8.499110748516614e-08
1824,0.0,8.168479581627253e-08
1825,2.641632912414593e-09,5.987701001686219e-08
1826,3.5231937367541377e-09,6.958307352533666e-08
1827,2.7651818612639545e-09,7.742509211539073e-08
1828,1.8344602503717056e-09,6.512333544650417e-08
1829,8.57317605795771e-10,8.658907546532646e-08
1830,0.0,5.5315229730013016e-08
1831,0.0,4.677361786775691e-08
1832,2.705993873419743e-09,3.92369123858316e-08
1833,0.0,3.8225974052785716e-08
1834,9.334530925997342e-10,3.453776287187793e-08
1835,2.2689263801112247e-09,6.050470346963266e-08
1836,0.0,2.0162249814159594e-08
1837,1.3915781860163179e-09,3.965997663613052e-08
1838,1.2624323808552163e-09,3.471689069556305e-08
1839,6.9914751765765e-10,5.103776956616457e-08
1840,4.458782232319436e-09,4.0129037870428874e-08
1841,0.0,3.017657945747487e-08
1842,0.0,5.0311989241436095e-08
1843,5.906911071384968e-10,3.485077471054865e-08
1844,1.6465684371524958e-09,4.50062032086862e-08
1845,1.1160455892778032e-09,3.850357188639464e-08
1846,0.0,2.1661654248106288e-08
1847,2.6966118227278457e-09,3.128069891999985e-08
1848,0.0,3.861706332486392e-08
1849,9.217356655710773e-09,4.273501730267526e-08
1850,0.0,2.0366988096043315e-08
1851,1.2898877521649865e-09,4.450112811582585e-08
1852,6.510545436100301e-10,3.971432604998881e-08
1853,1.1943863675867306e-09,2.8665272822081533e-08
1854,1.0391328908454511e-09,4.364358119346434e-08
1855,5.306937111981824e-10,3.555647865027822e-08
1856,1.5531567143511893e-09,4.0899795550330964e-08
1857,4.881509085841174e-10,5.27202992373077e-08
1858,4.893676019968041e-10,4.893675864536817e-08
1859,1.5276520048956854e-09,2.2405561850291633e-08
1860,0.0,4.8518150469467614e-08
1861,0.0,6.225072013421595e-08
1862,9.035972525772706e-10,3.975828022362293e-08
1863,0.0,4.744889636754124e-08
1864,4.794727948009836e-10,2.3973639073915365e-08
1865,4.706844358715045e-10,2.5416959203994338e-08
1866,1.4596839292835284e-09,3.503241430280468e-08
1867,1.94112459439566e-09,4.4160586298858107e-08
1868,9.87974813071446e-10,3.013323279787983e-08
1869,4.395167341186834e-09,3.223122690965141e-08
1870,0.0,2.121598008386627e-08
1871,1.0621177271019633e-09,1.805600113868877e-08
1872,1.8142017887967654e-09,3.5679303067581714e-08
1873,5.986004469882289e-10,4.1303430009520525e-08
1874,5.974609140757536e-10,4.122480135038131e-08
1875,5.721527140956084e-10,4.863298030954866e-08
1876,6.04601479992084e-10,4.53451107773617e-08
1877,1.8554447978047506e-09,2.968711676487601e-08
1878,0.0,6.461824897385782e-08
1879,6.10932526790009e-10,4.215434401544371e-08
1880,0.0,3.529815373326528e-08
1881,2.091752326904839e-09,4.671580078330351e-08
1882,0.0,2.3959387140948252e-08
1883,6.319338941018771e-10,3.159669503816076e-08
1884,1.9805090900604227e-09,2.8387296069354306e-08
1885,6.445635691854079e-10,2.0626034213933053e-08
1886,0.0,3.226731948302586e-08
1887,0.0,1.566941953967671e-08
1888,1.268122939990235e-09,1.2047167707862627e-08
1889,0.0,2.6940087494153886e-08
1890,0.0,1.7696843102044113e-08
1891,0.0,1.4023283867459213e-08
1892,0.0,3.19694137829174e-08
1893,6.158416554491453e-10,2.0938616174248637e-08
1894,0.0,2.2685540557176864e-08
1895,0.0,1.9861428057765806e-08
1896,1.7691086373616827e-09,1.6511680911435178e-08
1897,5.826713556089658e-10,1.5149455023788505e-08
1898,5.6583548957434e-10,1.867257104493092e-08
1899,0.0,1.4371703827009696e-08
1900,1.5573159428683425e-09,2.4397950326715545e-08
1901,0.0,3.073806453812722e-08
1902,0.0,1.1293652957267142e-08
1903,0.0,1.6200660368781428e-08
1904,0.0,1.6123875568041512e-08
1905,0.0,5.160758931310738e-09
1906,3.0865106026567446e-09,9.773950537805831e-09
1907,5.142843373384665e-10,7.199980611716228e-09
1908,0.0,2.4065807124884486e-08
1909,2.2003934230241384e-09,1.4852655993990993e-08
1910,0.0,2.8323999035073655e-08
1911,0.0,1.276889793899727e-08
1912,0.0,1.3544495303108306e-08
1913,0.0,1.113627856597077e-08
1914,0.0,6.696743604095445e-09
1915,1.1780761921542648e-09,3.534228465440492e-09
1916,0.0,2.966614687238689e-08
1917,0.0,9.869782324756216e-09
1918,0.0,2.2972752589112133e-09
1919,0.0,1.6574126959767455e-08
1920,0.0,1.0601124422748853e-08
1921,0.0,2.6504616723599383e-08
1922,0.0,7.377935595798135e-09
1923,0.0,2.229349149729387e-08
1924,0.0,2.3204924204378585e-08
1925,0.0,1.0998178368026856e-08
1926,0.0,2.6750733184144337e-08
1927,0.0,1.2264147031260109e-08
1928,0.0,1.82816659588525e-08
1929,0.0,1.4482528065684619e-08
1930,0.0,2.2057568216382606e-08
1931,0.0,1.3686427990933225e-08
1932,0.0,1.0959536500543265e-08
1933,0.0,1.261772819560747e-08
1934,0.0,8.38710612072191e-09
1935,0.0,1.4361940969820353e-08
1936,1.2124714565686645e-09,4.849885826274658e-09
