year,autres_ADJ arts_NOUN,autres_ADJ phares_NOUN
1800,1.1790616412099553e-06,1.2576657937302116e-08
1801,1.1715417755908675e-06,2.3811825844433088e-09
1802,1.4456447843258502e-06,1.7902721083373763e-08
1803,1.4510523511646056e-06,1.1702034896643454e-08
1804,1.3644616831953726e-06,0.0
1805,1.3162523320175978e-06,0.0
1806,1.7952798190279395e-06,0.0
1807,1.3579975757238572e-06,2.8469551160981155e-09
1808,1.1806245985290786e-06,2.2660739951163578e-09
1809,1.267316122266493e-06,0.0
1810,1.0951793143476607e-06,1.1700633351097167e-08
1811,9.426608720275453e-07,7.521229861140455e-09
1812,7.92160854246049e-07,0.0
1813,1.167551123559818e-06,2.8757416448144113e-09
1814,7.111490525346653e-07,0.0
1815,9.440282324746363e-07,0.0
1816,1.0823209795063349e-06,1.3905623319487859e-08
1817,9.528065119113194e-07,0.0
1818,8.011031029653282e-07,4.768470951432846e-09
1819,8.932956419016591e-07,1.035105001712111e-09
1820,8.199738203984452e-07,2.3732962262101864e-08
1821,9.338829189964315e-07,1.97229765852569e-09
1822,1.0155949468071412e-06,5.012807946513931e-09
1823,1.038670390585139e-06,0.0
1824,9.33059276064796e-07,7.57900142644985e-09
1825,8.048175166308624e-07,1.2327619813845558e-08
1826,1.1785083608994995e-06,4.403992281964975e-09
1827,9.106665839198058e-07,1.8434546111834038e-09
1828,5.723515812405822e-07,8.255071293206129e-09
1829,1.018493314575153e-06,8.573175946935407e-09
1830,7.211853401134505e-07,1.0436835840010872e-09
1831,5.690790239043508e-07,0.0
1832,1.500473564064464e-06,0.0
1833,8.490799814353522e-07,9.266902800675325e-09
1834,7.822337124707701e-07,0.0
1835,7.169807147988649e-07,1.1344631900556124e-08
1836,7.701979796159719e-07,5.376600054063374e-09
1837,7.938953672237403e-07,1.6003149028165353e-08
1838,6.419468800977768e-07,1.8936485712828244e-09
1839,6.711815903059914e-07,3.4957374772659477e-09
1840,8.974891443358501e-07,9.554533164646273e-09
1841,7.268061033016693e-07,0.0
1842,7.151010565920046e-07,1.341653010911159e-09
1843,8.777669622261897e-07,2.953455480181333e-09
1844,5.889226031285943e-07,4.390849017710252e-09
1845,7.88486195280047e-07,3.9061593959388574e-09
1846,8.172883865231739e-07,5.854501328173001e-10
1847,5.921759553828565e-07,9.168480197274675e-09
1848,7.055659239085799e-07,8.84974404868899e-09
1849,4.172948635527973e-07,1.75967720394965e-08
1850,6.476702196778206e-07,1.3577992064028876e-09
1851,6.255955879996833e-07,6.449438760824933e-09
1852,1.0254109383822652e-06,6.510545436100301e-09
1853,5.219468448558473e-07,9.555090940693844e-09
1854,5.813948740218677e-07,3.117398783558656e-09
1855,7.997554156702336e-07,1.1675261646360013e-08
1856,6.849421083643392e-07,2.2779632402603056e-08
1857,6.716956666430463e-07,4.393358121745905e-09
1858,5.55921614076027e-07,9.787352039936081e-10
1859,5.835630898509692e-07,1.5276520048956854e-09
1860,5.451425864055892e-07,1.830873586072812e-08
1861,7.748328363921253e-07,1.131831339762357e-08
1862,6.704691488668146e-07,4.517986262886353e-10
1863,6.218302814886556e-07,8.490855130105501e-09
1864,6.458498544859026e-07,1.1507347075223606e-08
1865,7.827482351174808e-07,1.882737743486018e-09
1866,7.167048048373204e-07,1.6543083347642096e-08
1867,5.794256665581088e-07,9.220341823379385e-09
1868,5.685795168020036e-07,0.0
1869,6.431594505862392e-07,6.8369265804335555e-09
1870,5.395739641755881e-07,4.185855573268782e-08
1871,2.347280185777123e-07,3.18635318130589e-09
1872,4.922534344586893e-07,6.652073114565837e-09
1873,4.704999520543929e-07,2.3944017879529156e-09
1874,4.63032222342008e-07,3.5847653734322193e-09
