year,vous_PRON êtes_VERB,vous_PRON etes_VERB,vous_PRON faites_VERB
1800,3.1545402180199744e-05,9.118076960135113e-08,7.137253305700142e-06
1801,3.9963386370800436e-05,1.6668278135512082e-07,9.698556596049457e-06
1802,3.01996519738168e-05,7.161088433349505e-08,6.648623184446478e-06
1803,3.093238092333195e-05,4.29074642482874e-08,7.631677590325125e-06
1804,5.033430079492973e-05,6.673997354766925e-08,1.0361998761254654e-05
1805,3.6565093523677206e-05,7.107194033295627e-08,8.315417119320045e-06
1806,3.8902532651263755e-05,1.440834545007874e-07,1.2892587392343557e-05
1807,2.950014959424152e-05,5.12451929779445e-08,6.402802057436929e-06
1808,2.433989993733121e-05,4.7587552565175884e-08,6.589743293261563e-06
1809,3.179359600835596e-05,4.292158006791169e-08,8.306455129059032e-06
1810,4.993830407329369e-05,6.31834211617388e-08,1.1473641734482953e-05
1811,2.8314925657468848e-05,5.0141535368197765e-08,7.029843231975974e-06
1812,3.178245287926984e-05,4.800974551244508e-08,7.910939643807069e-06
1813,3.052312240470201e-05,7.476928232108548e-08,5.984418351090426e-06
1814,2.9031243229837855e-05,2.8320094713762956e-08,6.107700414759165e-06
1815,3.022778446393204e-05,3.236668266737297e-08,7.387695234228886e-06
1816,3.7366728065535426e-05,3.7081662185300956e-08,8.285434091703792e-06
1817,3.8350463000824675e-05,3.580808805025981e-08,1.0971286997119023e-05
1818,3.852328518405557e-05,5.483741727374536e-08,9.504754416411743e-06
1819,3.4307520309084794e-05,4.864993385922389e-08,8.767338954385195e-06
1820,3.989510969404364e-05,6.763894333516873e-08,1.0555235235187865e-05
1821,6.126252355898032e-05,6.01550764756098e-08,1.4816885823165649e-05
1822,5.050604431744432e-05,5.9151133768864383e-08,1.123270033076551e-05
1823,4.527456621872261e-05,6.621400228112861e-08,9.830308385971875e-06
1824,3.823690440185601e-05,3.452656294200551e-08,9.666595587987103e-06
1825,4.0359747799811885e-05,5.723538087920588e-08,9.697434620647982e-06
1826,3.307574297650717e-05,3.435113793415212e-08,7.888430673119728e-06
1827,3.395274643480661e-05,2.3964910056406552e-08,7.827308365904173e-06
1828,3.923451731679961e-05,2.5682442839070063e-08,9.087915827876714e-06
1829,3.441872922849143e-05,6.258418583371395e-08,6.932269968729088e-06
1830,4.13027328249882e-05,8.662573769413484e-08,7.871461605191143e-06
1831,4.371306476969039e-05,3.585977470521584e-08,9.318863817497913e-06
1832,4.417805484990822e-05,2.841293644806342e-08,1.0101475140800176e-05
1833,3.913065575034125e-05,4.9809600888295336e-08,8.176883284249925e-06
1834,4.077416451764293e-05,5.880754372356023e-08,8.143444688357704e-06
1835,4.965091648045927e-05,1.3311034763319185e-07,9.53554160787462e-06
1836,4.0433377762383316e-05,8.266522577571322e-08,9.253128496311547e-06
1837,3.756982823688304e-05,9.601889239263528e-08,8.309809004458657e-06
1838,3.4683435387705686e-05,6.880256453456468e-08,7.68505725545765e-06
1839,3.25544069710304e-05,9.43849123302698e-08,7.336854025652428e-06
1840,3.578427458705846e-05,8.216898095270153e-08,7.3665447644089e-06
1841,3.4571443393360823e-05,8.731946365969634e-08,7.402892379104742e-06
1842,3.741065302165225e-05,7.110760869011301e-08,7.571618937163294e-06
1843,3.6814232771575917e-05,1.2050098696647638e-07,8.177527888619807e-06
1844,3.9833234950492624e-05,9.33055392948745e-08,9.658770125042793e-06
1845,3.881773864122806e-05,8.258737338451283e-08,8.230278069731867e-06
1846,3.6335376535134856e-05,4.2152411339202445e-08,8.023008774671325e-06
1847,2.8976171961403452e-05,1.0462853694548357e-07,6.072769963338942e-06
1848,3.4452857107680757e-05,9.976075254769512e-08,7.797428850153665e-06
1849,3.198003741999855e-05,7.122502765355421e-08,7.2054588713399426e-06
1850,3.045068342544255e-05,6.313766220955586e-08,7.576519749363797e-06
