year,ses_DET îles_NOUN,ses_DET iles_NOUN,ses_DET fils_NOUN
1800,4.3389470505417194e-07,2.2009150946189493e-08,6.014786777086556e-06
1801,2.619300805140057e-07,1.6668277424969347e-08,5.741031074535385e-06
1802,3.849085032925359e-07,1.7902721083373763e-08,5.979508841846837e-06
1803,1.7553052944485614e-07,5.070882092006457e-08,5.431694944491028e-06
1804,4.2268651512245015e-07,1.7302956623055366e-08,7.252410483715721e-06
1805,2.5870187414511747e-07,1.1371510844071508e-08,1.0532861836054508e-05
1806,2.0459850702536642e-07,0.0,5.2705726716339996e-06
1807,1.7651121630990474e-07,2.562259648897225e-08,6.439812466396688e-06
1808,2.7646103717415826e-07,1.3596443970698147e-08,7.271831648836269e-06
1809,3.4337264054329353e-07,6.7770915546105925e-09,6.546670405782606e-06
1810,1.8721014605205255e-07,1.6380887313260928e-08,6.135812498087034e-06
1811,1.579458341893769e-07,2.2563691359778204e-08,8.862516040153423e-06
1812,3.78743580053964e-07,1.8670457180292033e-08,8.028296491602305e-06
1813,1.4091134414861983e-07,1.1502966579257645e-08,8.474810471170713e-06
1814,3.618678761085903e-07,1.8880061958270744e-08,9.04354965314269e-06
1815,2.6972236688571627e-07,5.394447111228828e-09,7.5441343199145194e-06
1816,2.2017236567251075e-07,4.6352077731626196e-09,5.439416291608268e-06
1817,2.693390968033782e-07,9.341240447824362e-09,6.2212662328420265e-06
1818,3.433298989552469e-07,1.192117760062672e-08,8.191041246163877e-06
1819,1.8528379541749018e-07,2.0702100700376036e-08,8.824270423701819e-06
1820,5.684044559473023e-07,9.493184904840746e-09,6.835092946744226e-06
1821,2.50481804964231e-07,1.676452932031225e-08,7.934553195809713e-06
1822,1.965020715033461e-07,2.2056354964661296e-08,7.547283672693084e-06
1823,2.9252754529807135e-07,2.2730180404550993e-08,7.142217867794898e-06
1824,2.560018250719054e-07,1.6842225392110777e-08,8.640061537334986e-06
1825,3.4605392329467577e-07,1.6730341556581152e-08,8.797517864422844e-06
1826,4.095712813345642e-07,2.025836387531399e-08,9.30651617636613e-06
1827,1.9448445698344585e-07,1.0139000472531023e-08,7.65863198637362e-06
1828,3.0452039823103405e-07,1.742737271159811e-08,7.302068851799959e-06
1829,2.6919773238320843e-07,2.0575622650120806e-08,7.209183721101908e-06
1830,3.2354192147643346e-07,3.5485241411947754e-08,8.06558651333944e-06
1831,3.0870588374476426e-07,1.2472964883158966e-08,8.13237349461815e-06
1832,3.1930727573126205e-07,2.8412935226818092e-08,7.503721178636624e-06
1833,6.081404961832959e-07,1.2162810070215357e-07,8.0378801783354e-06
1834,4.023182853529761e-07,4.1071934298031465e-08,7.658049071324058e-06
1835,3.3504479546309085e-07,4.0084366048631637e-08,7.836871560584768e-06
1836,3.2326808785398953e-07,3.6964125316174545e-08,8.997067737936959e-06
1837,2.95710352204992e-07,2.9223142350431885e-08,8.124033342937764e-06
1838,2.625859272242792e-07,3.661053993297969e-08,9.11918010615409e-06
1839,2.1883318002124952e-07,3.07624906659143e-08,8.472968744399623e-06
1840,3.337716814044711e-07,5.541628994576442e-08,8.914379577618092e-06
1841,3.2616385325923147e-07,2.760835826620678e-08,8.920709973381236e-06
1842,2.455224952235824e-07,2.951636535186708e-08,8.193475309781206e-06
1843,2.534064984516249e-07,3.5441467149954775e-08,8.697926318745886e-06
