year,vos_DET âmes_NOUN,vos_DET ames_NOUN,vos_DET femmes_NOUN
1800,5.345079756580162e-08,7.074370076409764e-07,5.219312804172205e-07
1801,1.0000967165524344e-07,7.619784128110041e-07,6.286321827531083e-07
1802,4.2518962573012686e-08,4.6770858830313955e-07,4.811356291156699e-07
1803,1.2872238985828233e-07,4.739324399594125e-07,4.914854923043777e-07
1804,1.9033252840472414e-07,6.006598087804349e-07,5.265042410940168e-07
1805,2.2458734161290295e-07,4.1506015868719714e-07,7.96005787506715e-07
1806,2.2188851911408847e-07,2.53586887488666e-07,4.7259373303631946e-07
1807,1.7366426163789583e-07,6.035544686255889e-07,3.729511099948013e-07
1808,1.1330370286444236e-07,3.036539277800898e-07,3.6937006697712604e-07
1809,1.400598961254218e-07,4.427699797915352e-07,5.218360499270602e-07
1810,1.2402671245581587e-07,5.241883958007065e-07,6.411947275353214e-07
1811,1.2535383575595915e-07,1.2535383620004836e-07,3.9361105663715534e-07
1812,1.6269970615212515e-07,3.707419580223359e-07,5.761170029927598e-07
1813,2.674439656402683e-07,1.4953856464217097e-07,3.8534937374379297e-07
1814,4.185080473284586e-07,4.185080513252615e-07,7.992560107084046e-07
1815,3.85702975336244e-07,3.128779222372202e-07,6.904892231318627e-07
1816,5.05237675696435e-07,8.551958163849349e-07,5.423192934728149e-07
1817,3.0826092256575066e-07,2.9113533628333244e-07,6.787968196420024e-07
1818,2.825319118660019e-07,2.968373085110443e-07,5.447977819983407e-07
1819,4.85464227040211e-07,2.7844325833914496e-07,6.210630196790135e-07
1820,5.422982098934881e-07,3.3582142400234716e-07,5.767109776400048e-07
1821,9.17118433640951e-07,3.7375039996234705e-07,8.165312479491149e-07
1822,4.351117155465545e-07,4.1706562114995904e-07,7.950313687388189e-07
1823,3.093281026878003e-07,4.605332060148015e-07,6.71034431576345e-07
1824,3.865290860716186e-07,6.181096852131418e-07,6.248465780345214e-07
1825,3.892005953076705e-07,6.110977208706458e-07,7.13240890348743e-07
1826,4.403992122092859e-07,3.9635928827941314e-07,4.659423620267944e-07
1827,3.613171030703022e-07,3.723778204678396e-07,4.885154769596056e-07
1828,6.310543056997631e-07,2.9993425221253034e-07,4.751252085100077e-07
1829,3.8064902696532954e-07,3.137782456086313e-07,4.938149338329367e-07
1830,3.339787426615004e-07,4.2373552422425576e-07,3.7155136034527914e-07
1831,4.069304679887864e-07,4.0693048819484545e-07,5.067141746195603e-07
1832,3.030713173757249e-07,3.4366122581008796e-07,5.520227768229802e-07
1833,3.382419399011738e-07,3.614092142223413e-07,6.31307752740895e-07
1834,6.459495649480118e-07,4.58325472685317e-07,6.403488228556853e-07
1835,6.254673934336097e-07,3.4638943446907433e-07,5.536180438525662e-07
1836,5.309392547836467e-07,6.196531495694657e-07,6.068837192785281e-07
1837,4.675702827139361e-07,3.061472118037756e-07,4.6061237135575084e-07
1838,6.451029248566442e-07,2.9856524497162695e-07,6.305849886700798e-07
1839,4.656322554197345e-07,3.111206430261859e-07,5.781949798944197e-07
1840,9.21056969360734e-07,1.44591930872906e-07,6.853784775273652e-07
1841,7.428574875234517e-07,2.388444011458546e-07,5.52167159995065e-07
1842,7.888919602017097e-07,1.8112315824936331e-07,5.809357297437145e-07
1843,7.241872865826338e-07,2.020163629712357e-07,5.009060615179806e-07
1844,9.347020117900229e-07,1.218460624063944e-07,5.389767423480407e-07
1845,1.059685256876719e-06,9.318980409567246e-08,5.016624942122405e-07
1846,8.559280662012725e-07,1.2528632176156407e-07,6.802930503368998e-07
1847,7.652984201911295e-07,9.653870591819214e-08,5.080416878300298e-07
1848,6.629262934154667e-07,1.2228736678832064e-07,5.929328281695234e-07
1849,5.664484650225177e-07,9.720121685319327e-08,5.647725753732402e-07
1850,6.727894934499545e-07,7.739455387678618e-08,4.691196320294466e-07
1851,8.584203108341626e-07,5.030562300056829e-08,4.572652159140489e-07
1852,8.340008790241882e-07,8.398603323911402e-08,4.95452511017902e-07
1853,9.793968125393349e-07,3.1054044669076575e-08,5.350851060015316e-07
1854,1.0095175726476668e-06,7.637626586731727e-08,4.582575972023051e-07
1855,9.68516022936683e-07,9.658625899078288e-08,5.471452340088945e-07
1856,1.8482566090938235e-06,1.273588535743997e-07,4.763014063158266e-07
1857,7.283211598263506e-07,8.786716276798501e-08,4.686248784580016e-07
1858,9.381177044076594e-07,7.63413441351446e-08,5.813687184996752e-07
1859,8.004896279167895e-07,2.2914781183658306e-08,5.036159302918009e-07
1860,9.470193322869136e-07,1.830873630481733e-08,6.005265209552135e-07
1861,8.550042487343035e-07,5.800635372033014e-08,5.017785440486477e-07
1862,9.415483379626721e-07,8.267915110882207e-08,4.7664756497312055e-07
1863,8.356000833487087e-07,1.0938219513478842e-07,4.265406181591658e-07
1864,9.57986650895748e-07,5.897515276132026e-08,4.161823934367703e-07
1865,1.0858689547532663e-06,5.271665681760851e-08,4.852756587681029e-07
1866,1.1322281157077896e-06,4.865612979187972e-08,4.996984408478511e-07
1867,9.293133977905654e-07,3.0572712361731647e-08,4.1685650309375433e-07
1868,6.362557667394242e-07,4.001297915223745e-08,4.3717885844785087e-07
1869,8.84893683661403e-07,3.56496907549797e-08,5.132578522193398e-07
1870,8.274232659033487e-07,1.777555125315189e-08,3.795940202167003e-07
1871,5.884132106004358e-07,3.0801414974135355e-08,5.459284935227515e-07
