year,nos_DET hôtes_NOUN,nos_DET fautes_NOUN
1800,3.1441645020890974e-07,7.828969721401791e-07
1801,2.643112679834303e-07,8.953246410925431e-07
1802,3.871463434279576e-07,6.579249713922763e-07
1803,1.1507001396182659e-07,7.333275284793217e-07
1804,2.2246658271107833e-07,7.118930511751387e-07
1805,1.7341554237049195e-07,7.675770026249751e-07
1806,1.6425513749140919e-07,6.570205641764915e-07
1807,1.708173051895301e-07,9.167195358372737e-07
1808,1.1556977064230978e-07,6.3450069065496e-07
1809,1.5361406724423432e-07,5.240950875506911e-07
1810,1.8721013850253598e-07,1.1232608425615354e-06
1811,1.4791752533938052e-07,4.3121720771921446e-07
1812,2.0270782741249604e-07,3.654075171333204e-07
1813,2.243078540686838e-07,4.399884829808798e-07
1814,4.153613915036658e-07,1.0163767445448002e-06
1815,1.3486118000116676e-07,8.604143317825219e-07
1816,2.665244416277801e-07,1.1703899644999183e-06
1817,1.6502858457556613e-07,7.613111190352129e-07
1818,2.7537919322639937e-07,7.295760700021248e-07
1819,1.4077427690217803e-07,5.455003315724127e-07
1820,2.75302352470419e-07,7.535215527099126e-07
1821,2.0413280310549453e-07,1.1104035917419708e-06
1822,2.917454366979655e-07,9.233592521695755e-07
1823,3.379878918963186e-07,6.848701925576961e-07
1824,2.0547514356650254e-07,7.882161678907096e-07
1825,2.2806097099703493e-07,7.731178746084311e-07
1826,2.554315337022217e-07,7.433938837841936e-07
1827,1.7236300209333422e-07,7.300080368533024e-07
1828,1.7885986736132509e-07,7.961557360047777e-07
1829,1.6374766609317248e-07,6.404162755657694e-07
1830,4.98880751820252e-07,7.587579720080839e-07
1831,1.9800831907446081e-07,6.579488740499073e-07
1832,2.543634209928314e-07,5.181978064427994e-07
1833,6.081404748670138e-07,8.22437600023207e-07
1834,3.63113244361557e-07,7.252930327439344e-07
1835,3.3882634653537025e-07,9.416044761678677e-07
1836,2.2312890735065594e-07,1.0356676067857506e-06
1837,2.1430303576153165e-07,6.756111821104582e-07
1838,1.9883309931856274e-07,7.536721255974044e-07
1839,2.447016349549358e-07,6.208429752518896e-07
1840,2.2867181748154053e-07,7.681844360618584e-07
1841,2.6260043739512184e-07,8.160517088739994e-07
1842,1.8984390237619664e-07,9.27082224322362e-07
1843,2.7053653539610423e-07,8.742228136959795e-07
1844,2.1350503764949735e-07,8.704858069918942e-07
1845,1.562463802784464e-07,8.481946753846614e-07
1846,2.2188560144797975e-07,8.354373282060124e-07
1847,1.7905502058823686e-07,7.243099373610562e-07
1848,2.276797772537975e-07,6.371815755024102e-07
