year,ses_DET âmes_NOUN,ses_DET ames_NOUN,ses_DET femmes_NOUN
1800,6.288328968651058e-09,6.288328968651058e-09,2.6473865695209042e-06
1801,0.0,1.1905912700171939e-08,3.331274438522769e-06
1802,6.713520406265161e-09,6.713520406265161e-09,2.830867828151895e-06
1803,3.900678446910888e-09,1.950339267864365e-08,2.317002884666408e-06
1804,0.0,2.4718509461507665e-09,3.6163180396897587e-06
1805,2.842877711017877e-09,8.528632911009026e-09,2.9338497622433124e-06
1806,0.0,0.0,2.0488668273088706e-06
1807,0.0,2.562259560079383e-08,2.533790085301746e-06
1808,0.0,0.0,3.0592000062057423e-06
1809,0.0,2.259030518203531e-09,2.6340294816407095e-06
1810,2.3401267590372754e-09,2.106114038724627e-08,2.986001682359074e-06
1811,2.5070767684098882e-09,7.521229861140455e-09,3.7305302624801584e-06
1812,2.6672082320544632e-09,2.6672082320544632e-09,2.259125464476597e-06
1813,0.0,5.751483289628823e-09,2.783717803822583e-06
1814,3.1466771410748606e-09,6.293354459785405e-08,2.3537145512619873e-06
1815,2.1577788444915313e-08,8.091670444798638e-09,1.885359310005441e-06
1816,1.1588019432906549e-08,0.0,2.1461011794343676e-06
1817,0.0,1.401186100480345e-08,2.27614884806826e-06
1818,1.0729059418679299e-08,1.1921177378582115e-09,3.1102352193723704e-06
1819,2.4842520929269085e-08,0.0,3.360985915024095e-06
1820,7.119888678630559e-09,1.1866481131050932e-08,3.46619916502533e-06
1821,1.972297603014539e-08,0.0,3.1961084454579236e-06
1822,5.012807946513931e-09,1.303330066093622e-08,2.9896387019334725e-06
1823,3.9530747564242574e-09,8.894418535021487e-09,2.837319308834907e-06
1824,4.210556348027694e-09,1.2631669044083083e-08,2.588649971713153e-06
1825,2.641632912414593e-09,5.283265824829186e-09,3.6595422159280133e-06
1826,8.807984341885344e-10,4.403992281964975e-09,2.9586019687499743e-06
1827,9.217273055917019e-10,6.452091305675367e-09,2.716330330443384e-06
1828,9.172301251858528e-10,5.503380862137419e-09,2.696656598466518e-06
1829,3.0006116702452346e-08,7.715858174606183e-09,2.49908086225048e-06
1830,9.39315203396518e-09,1.0436835395921662e-08,2.9035277808731053e-06
1831,1.4032085715598441e-08,1.4032085715598441e-08,2.2560475745336817e-06
1832,3.5177919244233635e-08,2.705993873419743e-09,3.069950093248508e-06
1833,1.6217079235048004e-08,3.706761031452288e-08,2.788179362056553e-06
1834,9.334531370086552e-09,2.240287422239362e-08,2.5725966477097018e-06
1835,1.9664028627630614e-08,2.4201881387853064e-08,2.7975861911500033e-06
1836,1.2097350121642592e-08,1.0753200274660202e-08,2.607651082620066e-06
