year,jolies_ADJ âmes_NOUN,jolies_ADJ femmes_NOUN
1800,0.0,7.263020052050706e-07
1801,0.0,8.977058314485475e-07
1802,0.0,5.124653625898645e-07
1803,0.0,6.046051339581027e-07
1804,0.0,7.959359891174245e-07
1805,0.0,8.869778298503661e-07
1806,0.0,8.933174058256554e-07
1807,0.0,6.035544970472984e-07
1808,0.0,6.390328621819208e-07
1809,0.0,7.612932790834748e-07
1810,0.0,6.950176612008363e-07
1811,0.0,6.844319386800635e-07
1812,0.0,8.695099040778587e-07
1813,0.0,1.184805569209857e-06
1814,0.0,8.118427103909198e-07
1815,0.0,7.768003911223786e-07
1816,0.0,4.264391009201063e-07
1817,0.0,6.632280928897671e-07
1818,0.0,8.619011282462452e-07
1819,0.0,6.252034268072748e-07
1820,0.0,5.114453642818262e-07
1821,0.0,8.323096380991046e-07
1822,7.017931125119503e-09,6.386317181750201e-07
1823,0.0,6.562104317708872e-07
1824,0.0,5.549513275582285e-07
1825,0.0,6.278281148297538e-07
1826,0.0,4.3159124629710277e-07
1827,9.217273055917019e-10,5.078717322248849e-07
1828,0.0,6.108752472755441e-07
1829,0.0,8.135943971865345e-07
1830,0.0,8.265973860943632e-07
1831,0.0,5.831111025145219e-07
1832,0.0,8.605060770605633e-07
1833,1.1583628500844156e-09,8.363379606635135e-07
1834,0.0,7.999693139026931e-07
1835,0.0,7.812669764462044e-07
1836,0.0,6.223414743544708e-07
1837,0.0,4.647871207907883e-07
1838,0.0,4.4311377678241115e-07
1839,0.0,4.334714560627617e-07
1840,0.0,4.579806045512669e-07
1841,0.0,4.956663701705111e-07
1842,0.0,4.736035066343902e-07
1843,1.7720733769266417e-09,4.944084821545403e-07
1844,0.0,5.450141316032386e-07
1845,0.0,4.5757869315821154e-07
1846,0.0,4.578220114126452e-07
1847,0.0,3.7213243331279955e-07
1848,8.045221711050488e-10,4.288103241378849e-07
1849,0.0,3.502595404825115e-07
1850,0.0,2.9056903372293164e-07
1851,0.0,3.6955285054318665e-07
1852,0.0,3.652415898613981e-07
1853,0.0,4.861152547164238e-07
1854,0.0,4.946272724737355e-07
1855,0.0,6.814107109676115e-07
1856,0.0,4.6750020032959583e-07
1857,0.0,6.10676806900301e-07
1858,0.0,6.665187015642005e-07
1859,0.0,5.428256599770975e-07
1860,0.0,6.82915811012208e-07
1861,0.0,3.8906699728613603e-07
1862,0.0,4.603828074323246e-07
1863,0.0,4.7598737751286535e-07
1864,0.0,4.703628064817167e-07
1865,0.0,5.558783300330106e-07
1866,4.865612912574591e-10,4.919134539704828e-07
1867,0.0,5.498235395862139e-07
1868,0.0,5.478320304064255e-07
1869,0.0,6.319273779809009e-07
1870,0.0,4.684717964664742e-07
1871,0.0,2.984550917517481e-07
1872,0.0,4.3419896655905177e-07
1873,0.0,4.3159093365829904e-07
1874,0.0,4.779687401423871e-07
