year,vos_DET airs_NOUN,vos_DET fers_NOUN
1800,2.2009151834367913e-08,2.1065901556482913e-07
1801,3.5717737434382e-08,3.357467424081051e-07
1802,3.3567602031325805e-08,1.5664880947952042e-07
1803,5.265915836716317e-08,3.803161412463396e-07
1804,1.359518080334965e-07,1.7550141429012456e-07
1805,4.548604315424143e-08,1.2792949632967066e-07
1806,1.0374009207225754e-07,1.873084869430386e-07
1807,1.7081730252499483e-08,2.790015969367232e-07
1808,4.75875534533543e-08,2.3340561838836038e-07
1809,1.3554183553310395e-08,1.355418248749629e-07
1810,1.0530570193623134e-07,2.9953621583089785e-07
1811,8.774768467390004e-08,1.9805906958936248e-07
1812,6.134578844907423e-08,8.268345785822362e-08
1813,6.039057609541487e-08,3.5084048377598265e-07
1814,9.125363398254649e-08,3.335477702925971e-07
1815,1.8880564667256294e-08,2.1308066777692147e-07
1816,3.0128852301913867e-08,1.599146646213967e-07
1817,7.472992091805963e-08,3.689789931371479e-07
1818,5.0068943213688044e-08,2.586895586631499e-07
1819,5.175524897538253e-08,3.291633934310312e-07
1820,7.950542535439808e-08,4.7584590134874816e-07
1821,6.015507691969901e-08,2.3766187240426007e-07
1822,2.5064039732569654e-08,2.4161734302197146e-07
1823,5.731958552246397e-08,2.7968003601941405e-07
1824,3.8737119290033206e-08,2.9894950337450155e-07
1825,5.459374818883589e-08,2.7913255706835116e-07
1826,2.8185549894033102e-08,2.686435232046591e-07
1827,2.0278000945062047e-08,1.7236300386969106e-07
1828,5.3199348259980184e-08,2.51321063959864e-07
1829,3.0006116702452346e-08,1.7832206689050167e-07
1830,6.575206312753323e-08,2.1812986439329052e-07
1831,3.2741533706470705e-08,2.401045700040072e-07
1832,4.058990832334075e-08,2.42186446897108e-07
1833,4.749287596528262e-08,2.328309314236776e-07
1834,2.893704542650255e-08,1.9415824348278932e-07
1835,5.218530674255817e-08,1.3916082508558247e-07
1836,2.822714967321005e-08,1.8616476998856157e-07
1837,1.8090516529234435e-08,1.2106730240546426e-07
1838,3.787297009338886e-08,1.6600986185721922e-07
1839,2.6567605448946097e-08,7.830452375401364e-08
1840,3.375935120342177e-08,1.9045369548109647e-07
1841,3.5955072252846776e-08,1.309791910486524e-07
1842,6.439934541191406e-08,9.659901500924661e-08
1843,3.7804230856863796e-08,8.683159624656156e-08
1844,3.56756482688958e-08,1.3831175005307728e-07
1845,5.6918324276011845e-08,9.039969417479199e-08
1846,4.9763260845381296e-08,1.1474822358970016e-07
1847,3.020205241455187e-08,9.923531507638472e-08
1848,5.5512030749937935e-08,1.078059739256787e-07
1849,3.854530761238095e-08,1.0222886559496658e-07
1850,5.159636806695289e-08,9.165144376765966e-08
1851,2.4507867735223954e-08,9.287191948814666e-08
1852,4.5573818718835923e-08,7.226705478480255e-08
1853,4.060913649794884e-08,9.375933140987058e-08
1854,6.33871053423718e-08,1.532721067842857e-07
1855,8.278822249963014e-08,1.1091498564042013e-07
1856,3.572260576234498e-08,1.2684112959959748e-07
1857,5.272029879321849e-08,8.542641194431155e-08
1858,5.1872966366772744e-08,9.493731645271453e-08
1859,4.786642771037464e-08,7.281808223069675e-08
1860,6.087654602637826e-08,1.2404167842872127e-07
1861,4.810282866474225e-08,1.0893876289941318e-07
1862,3.885468324860142e-08,1.6806908620381478e-07
1863,5.044567208400963e-08,1.013908055291779e-07
1864,6.856460954551835e-08,8.822299113475651e-08
1865,4.7068444919418084e-08,1.2426069329052325e-07
1866,5.1575495207956124e-08,7.34707542027202e-08
1867,5.386620571812273e-08,7.667441970227173e-08
1868,5.236266353847441e-08,5.829051508143834e-08
1869,7.325278961189952e-08,8.399652906554422e-08
1870,2.8670243512607385e-08,9.002456424767047e-08
1871,2.549082545044712e-08,7.116189082445601e-08
1872,3.9307707089264454e-08,6.71254696271717e-08
1873,2.9930021461233025e-08,8.140966012426532e-08
1874,3.5847653734322193e-08,4.1822262264457066e-08
1875,3.37570102426632e-08,4.405575759758307e-08
1876,5.6832537564943664e-08,5.501873445723504e-08
1877,6.865146029433333e-08,1.669900342449182e-07
1878,3.442280499532657e-08,6.280652420365129e-08
1879,6.048231937505477e-08,5.803859159936309e-08
1880,3.3372801855335865e-08,9.43423386079445e-08
1881,1.8128519629900808e-08,6.693607190744189e-08
1882,5.923292589748996e-08,7.653693101516978e-08
1883,4.613117443597048e-08,4.107570461542309e-08
1884,3.4328825115892414e-08,5.743476183539542e-08
1885,1.4180398411056672e-08,7.090199272141717e-08
1886,2.5813855941692054e-08,6.388929157941092e-08
1887,2.7421483972389638e-08,3.1991731541669566e-08
1888,3.4873380627686856e-08,3.6775563927449184e-08
1889,2.7566601445982997e-08,5.701274446989757e-08
1890,1.8352282582512203e-08,4.0637196274673215e-08
1891,4.971891465199718e-08,3.952016314201501e-08
1892,3.635737289009455e-08,5.0774950022258736e-08
1893,2.2170299485146927e-08,3.695049960450447e-08
1894,2.6466465019581165e-08,2.7726773765834878e-08
1895,2.407445731655855e-08,2.5880042997528108e-08
1896,3.715128332748563e-08,2.8305739308009947e-08
1897,3.43776108691074e-08,2.7968224847185752e-08
1898,1.697506502029711e-08,1.527755810748488e-08
1899,2.65323762960179e-08,3.8693050541382945e-08
1900,3.426095018799202e-08,4.4643055252535646e-08
1901,3.409130766574009e-08,4.9180901184886494e-08
1902,2.1114220427609354e-08,2.2096276808269977e-08
1903,1.4580595175672784e-08,2.5381034829408122e-08
1904,2.0961038238453966e-08,2.7948050984605288e-08
1905,1.3934049136743454e-08,5.16075902012858e-08
1906,3.806696413644062e-08,1.7490227932626112e-08
1907,3.394276593127188e-08,3.754275823553144e-08
1908,2.7503778587956162e-08,2.6521501439447093e-08
1909,3.13556076103616e-08,3.685659039076583e-08
1910,5.076943265791556e-08,4.542527920481376e-08
1911,3.724261787851901e-08,4.575521905803015e-08
1912,3.2298411722919695e-08,5.8345517472968567e-08
1913,3.606033122105501e-08,2.8105844762649212e-08
1914,3.616241528447972e-08,2.6786974693937537e-08
1915,2.1205371236732162e-08,2.1205371680821372e-08
1916,2.8567401111345703e-08,3.625862632361532e-08
1917,2.8512703309502285e-08,4.7155623406069935e-08
1918,6.087779347296873e-08,2.2972752589112133e-08
1919,3.314825391953491e-08,2.3940406601585806e-08
1920,2.8017257847068322e-08,1.817335570919454e-08
1921,3.634918815942356e-08,2.801916526573578e-08
1922,5.976127831486266e-08,3.3938504784281065e-08
1923,4.352538862661959e-08,5.201814623490009e-08
1924,5.0277336072213075e-08,5.4144823624646676e-08
1925,4.2892892793133797e-08,1.6497267552040284e-08
1926,3.78968714187522e-08,3.4553028882555736e-08
1927,5.9090890403012963e-08,3.902228784546935e-08
1928,3.313552077166548e-08,2.856510217252861e-08
1929,6.461435875237953e-08,4.121950514246464e-08
1930,3.7812974085227324e-08,2.941009036305786e-08
1931,2.8513392535955973e-08,5.7026783295555106e-09
1932,2.6302887090601246e-08,4.27421921189719e-08
1933,3.211785326584504e-08,2.867665571670841e-08
1934,1.677421224144382e-08,2.995395043114968e-08
1935,2.393656828303392e-08,3.4708023122220766e-08
1936,2.0612015205756506e-08,2.424942913137329e-08
1937,3.651424218542587e-08,2.3923124703451037e-08
1938,2.2040865133021725e-08,1.8151300906765755e-08
1939,3.6705721129237645e-08,1.070583532936098e-08
1940,4.3108308034334186e-08,5.0715658339584024e-09
1941,2.6563523380929155e-08,1.7709016475464523e-08
1942,2.7307905936524435e-08,4.247896612241675e-08
1943,5.8064703711835364e-08,2.322588210645904e-08
