year,soyez_VERB au_ADP,soyez_VERB faux_ADJ
1800,3.772997381190635e-08,0.0
1801,3.5717739876872656e-08,0.0
1802,6.713520406265161e-08,0.0
1803,4.095712213825209e-08,0.0
1804,6.673997532402609e-08,0.0
1805,1.1371510644231364e-07,0.0
1806,7.20417272503937e-08,2.881669125542885e-09
1807,3.131650538890085e-08,0.0
1808,1.11037628869326e-07,0.0
1809,3.162642769893864e-08,0.0
1810,1.3572734580691304e-07,0.0
1811,6.518399242594342e-08,0.0
1812,8.001624607345548e-08,0.0
1813,6.326631751818468e-08,0.0
1814,9.125363575890333e-08,0.0
1815,2.4275012222574333e-08,0.0
1816,4.6352077731626196e-08,0.0
1817,6.538868224659211e-08,0.0
1818,3.5763532135746345e-08,0.0
1819,7.452756101145042e-08,0.0
1820,1.6850403383728008e-07,0.0
1821,9.960103497519412e-08,0.0
1822,8.020492714422289e-08,0.0
1823,7.510841903979326e-08,0.0
1824,1.002112401948807e-07,0.0
1825,1.1447075998205491e-07,1.7610886082763955e-09
1826,7.839106164198029e-08,0.0
1827,7.189473105739808e-08,0.0
1828,7.33784091266898e-08,0.0
1829,5.572564543143699e-08,0.0
1830,5.218417786778673e-08,0.0
1831,1.4032085715598441e-08,0.0
1832,5.547287429408243e-08,0.0
1833,8.34021243178995e-08,0.0
1834,6.534171870242744e-08,0.0
1835,9.529490796467144e-08,0.0
1836,7.59444755971117e-08,4.704525213838906e-09
1837,9.74104708006962e-08,6.957890930081589e-10
1838,6.627769888467583e-08,0.0
1839,8.180026256354722e-08,0.0
1840,6.114901207610046e-08,0.0
1841,5.200644537239896e-08,0.0
1842,6.171603850191332e-08,2.0124795163667386e-09
1843,6.792947626621526e-08,0.0
1844,8.123070327492599e-08,3.2931368743049916e-09
1845,4.240973372482415e-08,0.0
1846,5.971591399145382e-08,5.854501328173001e-10
1847,2.7505439703645607e-08,0.0
1848,3.218088640011274e-08,0.0
1849,3.854530916669319e-08,0.0
1850,4.3449574604892405e-08,0.0
1851,4.7725847496238316e-08,0.0
1852,4.166749167922035e-08,0.0
1853,5.4344578614973216e-08,2.9859659189668264e-09
1854,6.39066728425064e-08,0.0
1855,7.748128183493463e-08,0.0
1856,7.196293161371159e-08,0.0
1857,4.4421733846888856e-08,0.0
1858,5.921348078530286e-08,9.787352039936081e-10
1859,6.314295131204517e-08,0.0
1860,4.8060430302143686e-08,0.0
1861,7.498382093018563e-08,4.715963730639317e-10
1862,6.234821103845434e-08,0.0
1863,6.792684192902243e-08,0.0
1864,7.4318284859487e-08,0.0
1865,6.730787704967156e-08,0.0
1866,3.503241252644784e-08,0.0
1867,4.416058452250127e-08,1.455843445796745e-09
1868,7.360412457302346e-08,0.0
