year,les_DET humeurs_NOUN,les_DET fumeurs_NOUN
1800,4.992933057224036e-06,2.2009151834367913e-08
1801,7.674551369518667e-06,3.0955373153673804e-08
1802,6.469595888347612e-06,1.3427040812530322e-08
1803,6.931505481588829e-06,8.386458816289633e-08
1804,4.8052780243779125e-06,6.179627387581377e-08
1805,6.746148912384342e-06,8.244345561791988e-08
1806,4.2475804349351165e-06,5.76333825108577e-09
1807,3.4106521411558788e-06,4.555128185756985e-08
1808,2.6331780560440166e-06,7.478044361519665e-08
1809,2.5843308861794867e-06,4.969867006821005e-08
1810,3.0234436962928157e-06,9.360506858513418e-08
1811,2.4343716376051816e-06,3.5099073869560016e-08
1812,3.328675788338842e-06,4.800974906515876e-08
1813,3.9627718990686844e-06,3.4508899293683726e-08
1814,3.983693318332371e-06,3.776012702516596e-08
1815,8.604143118873253e-06,3.236668177919455e-08
1816,4.389541828686561e-06,4.6352077731626196e-08
1817,3.64152695908615e-06,4.514933005239641e-08
1818,7.47577053061832e-06,2.026600220972341e-08
1819,3.0815076854651124e-06,3.001804549374043e-08
1820,4.016803970330329e-06,7.831877901764983e-08
1821,3.3489613784354333e-06,2.859831527146639e-08
1822,2.464296315451975e-06,1.7043547018147365e-08
1823,2.379750995373797e-06,4.842516432290722e-08
1824,2.8033883268108184e-06,1.6842226280289196e-08
1825,1.6254848240748743e-06,3.8743949160036095e-08
1826,1.313270413305645e-06,2.994714676241017e-08
1827,1.2867313401443425e-06,3.686909089140045e-08
1828,1.4794921767702363e-06,3.760643585426493e-08
1829,1.9701158606721947e-06,7.201467733253253e-08
1830,1.348439148785019e-06,5.948996606441881e-08
1831,1.708796148136571e-06,2.962329137545794e-08
1832,1.5870653733429663e-06,8.659180239511954e-08
1833,1.396985584989352e-06,9.961920821588421e-08
1834,1.4431184212071457e-06,5.41402800369184e-08
1835,1.8113595103841362e-06,6.579886502322552e-08
1836,1.7016938755887168e-06,5.174977479871501e-08
1837,2.073451405237847e-06,1.0228099700526627e-07
1838,1.7263763325559012e-06,3.85041878381287e-08
1839,1.1920465468051589e-06,9.857980121097398e-08
1840,1.446556261441856e-06,1.006410794701651e-07
1841,2.0321035378856322e-06,1.1749603867627911e-07
1842,1.4946014026406829e-06,8.184083633011596e-08
1843,1.5641500326069036e-06,1.092778523226201e-07
1844,1.5466765610483435e-06,1.6191255380881842e-07
1845,1.3230720163903698e-06,1.4117976637750829e-07
1846,1.4928978941952664e-06,1.0362467106617146e-07
1847,7.561299497638174e-07,1.0193192423457731e-07
1848,1.238964117078467e-06,1.0217431778425379e-07
