year,aux_ADP os_NOUN,aux_ADP fosses_NOUN
1800,1.2230799484314048e-06,1.1947824418712116e-07
1801,1.7382633359375177e-06,1.8811342750169047e-07
1802,1.0674497161744512e-06,5.370816325012129e-08
1803,1.4666551351183443e-06,1.3262306830519321e-07
1804,1.2927780517202336e-06,1.359517951549094e-07
1805,1.9587428141676355e-06,2.0184431170910955e-07
1806,9.653591632741154e-07,7.204172902675055e-08
1807,8.256170076492708e-07,9.679647350324672e-08
1808,4.826737836083339e-07,5.891792342893609e-08
1809,3.998484032763372e-07,1.1521055398588942e-07
1810,5.124877588968957e-07,7.488405628919281e-08
1811,3.5349782478988345e-07,5.2648610804340024e-08
1812,2.2431220259022666e-06,1.520308643421231e-07
1813,1.0784031019284157e-06,1.2078115219082974e-07
1814,9.093897119782923e-07,8.810695817373926e-08
1815,1.8071398244501324e-06,1.6183341244868643e-07
1816,8.945950753513898e-07,5.0987285504788815e-08
1817,7.192755333562673e-07,1.120948834865132e-07
1818,1.4531915439874865e-06,1.382856560372403e-07
1819,1.1210187267352012e-06,1.8631889986409078e-07
1820,9.825446340983035e-07,7.95054262425765e-08
1821,9.279660275751667e-07,1.1044866787823793e-07
1822,9.40402742344304e-07,1.0426640528748976e-07
1823,8.301457228299114e-07,1.2353358158634364e-07
1824,8.328480589625542e-07,1.406325775832329e-07
1825,1.0196703215115122e-06,1.1975402425257187e-07
1826,7.03757962128293e-07,7.046387384690433e-08
1827,7.52129494685505e-07,1.2996354692429435e-07
1828,1.1236069212827715e-06,9.264024214417077e-08
1829,1.2148190080552013e-06,1.0802202154991392e-07
1830,8.850436756802083e-07,1.2524203052421967e-07
1831,8.63752802615636e-07,1.0757932500382594e-07
1832,9.200379054163932e-07,9.065079631387363e-08
1833,1.1490959650473087e-06,1.656458863408261e-07
1834,1.3619080618809676e-06,1.092140116121243e-07
1835,1.409003289154498e-06,1.1269001021219083e-07
1836,1.0484369568075635e-06,1.2298973217639286e-07
1837,1.2934718824908487e-06,1.586399074327005e-07
1838,1.0011088988903794e-06,1.1803742538951667e-07
1839,9.969843404178391e-07,1.0976616060531796e-07
1840,8.758321996538143e-07,8.471685619682034e-08
1841,1.0773680969577981e-06,9.24559002690728e-08
1842,6.050855176908954e-07,1.0733223909653589e-07
1843,6.928806897121831e-07,1.0691509311211433e-07
1844,6.240493917175627e-07,9.934295969182827e-08
1845,9.971867029889836e-07,9.93280602767932e-08
1846,6.071118150430266e-07,1.1943182842699684e-07
1847,4.940192752656003e-07,8.575225507456707e-08
1848,6.959116944926791e-07,1.5125016261663404e-07
1849,7.868270586186554e-07,9.384945087731467e-08
1850,6.884042136334756e-07,1.2831202411689446e-07
1851,6.784809443161066e-07,1.1222023510448764e-07
1852,8.567877785026212e-07,1.3086196304357145e-07
1853,7.894893769844202e-07,1.343684621346597e-07
1854,5.865905450264108e-07,8.105236271038763e-08
1855,9.57371412368957e-07,1.3055065295475288e-07
1856,5.886464009563497e-07,7.351608605210558e-08
1857,5.979848651804787e-07,1.2935999127439146e-07
